@relation thedata

@attribute 1742 real
@attribute 2048 real
@attribute 2150 real
@attribute 2151 real
@attribute 23646 real
@attribute 3725 real
@attribute 50804 real
@attribute 5337 real
@attribute 5338 real
@attribute 5594 real
@attribute 5598 real
@attribute 5599 real
@attribute 5607 real
@attribute 5747 real
@attribute 5894 real
@attribute 6714 real
@attribute 695 real
@attribute 7006 real
@attribute 7409 real
@attribute 8437 real
@attribute 9002 real
@attribute DependentVariable {BRCA,Control}

@data
8.85288926,6.0460148965,7.656660937,5.7820869215,8.151071889,14.72492149,5.802717488,8.517296488,8.102817052,8.27215776867,7.03030591433,5.939777752,6.92162116733,9.55016911,10.11570732,6.75911734333,7.342077169,6.104761882,6.878146348,6.821490596,6.5856284605,Control
8.71258815,6.1752464015,7.6259565305,5.9553677195,7.84259257667,14.11502538,5.091500179,8.822380524,8.723286465,7.85669691467,7.157624222,5.0886580415,7.31862520433,9.45642471,10.34726733,6.586005659,7.365668755,5.355449107,6.418236866,6.790124051,5.996252561,BRCA
8.943878208,5.6572200255,8.475698669,5.460683325,8.13076223967,14.41297137,5.316879984,8.8794769,9.112766015,8.11094053067,6.689778979,5.6701097255,7.23629484767,8.9981409465,10.45388564,7.22912163867,7.320667722,5.942638389,6.805650779,7.703317251,5.7067820295,BRCA
8.818774784,5.8033952395,8.2515712815,5.22672559,7.91141483367,14.08054111,6.078210195,9.316802576,9.088311981,7.98209816267,7.046663354,5.7758281875,7.62681052767,9.0133211855,10.09500831,6.91032494133,7.813125618,6.217042247,6.327333135,8.205794624,6.1589432285,Control
8.419687541,5.974060652,9.176961807,5.762619543,8.05132914867,13.43392773,5.203505846,8.026649483,8.873068105,7.82991936767,6.79859870533,5.704258658,7.30377612233,9.0250253645,10.22872886,6.72839437467,7.547899223,5.60541377,6.328276055,7.727514001,6.014131866,BRCA
7.431102924,5.8945122075,8.0914711865,6.0651547395,8.66312416833,13.80946823,5.828841787,8.511892099,8.949827531,8.18650002,6.70524643733,6.517858181,7.05307250933,9.420287121,10.624983,6.38912935567,8.067624097,5.984481833,6.682787905,7.196875333,5.793522485,BRCA
9.772562477,6.698930436,7.138591387,7.3808563405,8.26149413933,13.91249272,5.520352508,8.946870554,8.335882847,8.451561107,7.32404088833,5.6011167705,7.036661383,8.8796586,9.961088297,7.54701473933,6.816347305,5.486079796,5.926361974,8.037328852,6.911174781,BRCA
8.983991943,5.924917202,8.196728483,6.4700891925,8.73926121467,13.96294256,5.330209918,8.972320105,8.236828767,8.171538624,7.14839452233,5.401013329,6.796289882,9.585335464,10.12277013,7.00963552967,7.356058229,5.844744204,6.739851899,7.028903723,7.038632647,Control
8.939638805,5.902567425,8.8823081985,6.184315282,8.30760287133,14.44356588,5.758164072,8.25505351,8.587722324,7.91861634733,6.63685147833,5.8779809975,7.59891329933,9.2675642675,9.9831294,6.85674479767,7.635901506,6.225020007,6.37387057,7.851844476,6.035268306,BRCA
9.017365988,6.097307219,7.877938346,5.342023225,8.31241618833,13.15952927,5.582714993,8.468869519,8.349370945,7.74245236133,6.691964128,5.5839936855,7.51244247967,8.984597332,10.28660429,6.973025285,7.135404364,5.977400858,6.73809606,6.975593289,5.208642,BRCA
8.91139283,6.5168853865,7.129007453,6.16998656,8.09839563133,14.17314893,5.229406468,9.35965136,8.976865608,8.06297051567,6.87186987967,5.9065229025,7.62381642833,8.7160245685,10.23292486,6.89592443067,8.067946709,6.426353347,7.487641348,7.266133257,6.804593667,BRCA
8.491693915,5.881726985,8.0922726865,6.4406476485,8.324634861,13.87385551,5.190132086,8.862560746,8.287990648,8.197304519,6.80618221367,5.767601547,7.12510379067,9.5799510855,10.11618835,6.98144085767,8.017839982,5.488652576,7.188443271,6.668818076,6.1096319405,Control
