ID	686	3141	DependentVariable
Instance1	9.90490971	6.546750276	Control
Instance2	9.063247518	6.8870092095	BRCA
Instance3	8.928326737	7.159865635	BRCA
Instance4	9.012345976	6.6918960715	Control
Instance5	9.018235741	6.60400497	BRCA
Instance6	9.129592857	6.4801645735	BRCA
Instance7	7.956406833	6.486682905	BRCA
Instance8	9.414051539	6.497941734	Control
Instance9	8.813541624	6.7739063285	BRCA
Instance10	9.547965054	7.053714251	BRCA
Instance11	9.410706331	6.7329066185	BRCA
Instance12	9.051032927	6.7276041315	Control
Instance13	9.835624557	6.6273656935	Control
Instance14	9.290572499	7.1790176605	BRCA
Instance15	8.986710369	6.8542180585	BRCA
Instance16	9.088152945	6.8670836965	BRCA
Instance17	9.326666054	7.1850704815	BRCA
Instance18	9.384309495	6.98012872	BRCA
Instance19	9.487448728	6.7751224625	BRCA
Instance20	8.834092648	6.7722119675	BRCA
