@relation thedata

@attribute 10076 real
@attribute 3454 real
@attribute 3456 real
@attribute 3716 real
@attribute 5967 real
@attribute 6772 real
@attribute 6773 real
@attribute 7297 real
@attribute DependentVariable {BRCA,Control}

@data
6.7133100305,10.63096808,5.011016147,11.04382723,4.997982479,10.31346778,12.53522562,11.21515091,Control
6.4020379255,9.979593509,4.332418168,9.540845393,4.113464519,10.329653278,12.61090263,11.36612562,BRCA
6.719045451,10.38077249,4.538726271,10.145837,4.720021333,10.0589241477,12.55918115,11.54144891,BRCA
6.520998898,10.35310853,5.123512303,7.64196344,5.051166787,10.100698262,12.6473067,11.88081762,Control
6.448476467,9.757607158,4.173910121,10.16184396,5.155031965,10.5729125313,11.94781234,10.88698849,BRCA
6.2351880285,9.823908995,4.785303823,11.74013292,5.190230876,10.5815088053,12.27296951,11.4712435,BRCA
7.2231956235,10.06898685,5.019714421,8.66980731,4.77796061,11.3817422673,12.97428108,12.03158587,BRCA
6.501486998,10.23539234,4.424648213,10.70365297,5.392842236,9.76574384767,12.63536109,11.23283777,Control
6.7729031425,9.976772145,4.440788181,10.41875948,4.835180387,9.956344037,12.13627672,10.99013608,BRCA
6.572986239,10.39039231,4.131934652,9.172928193,4.867663307,10.3519697093,12.70613234,11.51681803,BRCA
6.6156340035,10.29212924,4.87013196,8.551815066,4.956069723,9.93530678933,12.59315889,11.57353372,BRCA
6.537635364,9.800018618,5.336650487,10.93235154,4.87013196,10.334999682,12.46365343,11.18554156,Control
6.5352634785,10.19039298,5.088959125,11.03036559,4.341403747,10.3450320487,12.47764072,11.45329393,Control
7.3863270135,10.05176671,4.561139219,10.52922583,4.866427394,10.6552894147,12.9500565,12.30980751,BRCA
7.3616244335,10.65908191,5.275203811,10.46394351,5.443947436,10.5797653207,13.32349748,12.32769025,BRCA
7.149018369,10.25507022,4.20894853,9.622015717,5.321216715,9.828262008,12.60628034,12.03792277,BRCA
7.2131919075,10.01357431,5.135874705,10.1691111,5.425938643,9.85565975467,12.75033439,12.05450776,BRCA
7.4901425165,10.37355608,5.474445169,9.546605663,4.91887665,10.041403703,12.56283634,11.744773,BRCA
7.2874422305,9.89302128,5.130530665,10.84149381,5.339058306,9.72583582933,12.61931219,11.59290561,BRCA
7.675454023,10.52753837,5.113545539,9.58528234,5.726021414,8.84918642867,12.4925881,12.55486108,BRCA
