@relation thedata

@attribute 10497 real
@attribute 10815 real
@attribute 1103 real
@attribute 1621 real
@attribute 1644 real
@attribute 22999 real
@attribute 2744 real
@attribute 4128 real
@attribute 54874 real
@attribute 57030 real
@attribute 5864 real
@attribute 60482 real
@attribute 6505 real
@attribute 6511 real
@attribute 6512 real
@attribute 6571 real
@attribute 6572 real
@attribute 6582 real
@attribute 6616 real
@attribute 6804 real
@attribute 6812 real
@attribute 6844 real
@attribute 6853 real
@attribute 6854 real
@attribute 6857 real
@attribute 7054 real
@attribute 7166 real
@attribute 8224 real
@attribute DependentVariable {BRCA,Control}

@data
7.307431087,8.549265941,5.494372823,5.78110476,6.023427942,4.466446628,9.170414035,13.1577646,7.7515131175,7.232999148,5.723156638,5.127232159,6.455167425,5.044843524,6.175929354,4.678374372,5.077255017,5.31165512067,6.78737685,6.586768964,7.410489684,10.05577764,5.50802416833,7.516590007,5.549215754,5.5858837835,5.720012484,5.561125945,Control
7.354075509,9.218624457,5.55294782175,5.219566658,5.887288406,4.911705061,9.182904002,11.8442763,7.8370534395,6.068999232,5.672079654,5.609778043,5.659433149,5.239561536,5.652207716,4.928146734,4.943700135,5.11299475667,6.609192948,6.975192016,7.18529977367,10.58383522,5.378732654,7.264598274,5.938057117,5.125650212,6.29655434,6.010830797,BRCA
6.71369968,8.760937063,5.718323118,5.819930778,5.312711681,5.36790503,8.632641862,10.08093113,7.8150590835,6.921278994,5.066316611,4.894588914,6.245890761,4.768993337,6.124127129,4.991874681,4.354981714,5.21959765733,7.114893166,7.081033649,6.48546311533,10.30762238,5.50879984367,7.7596018,6.236545833,5.5904720335,5.609778043,5.5330397065,BRCA
7.376431753,9.469728867,5.5071908215,5.291135005,5.357737827,4.700180125,9.160338576,12.02630394,7.75651941,7.499688706,6.360369215,5.611623335,6.018929689,5.114378737,6.574181472,4.700180125,5.734852697,5.19324693833,8.223815268,7.715191761,6.57239004733,10.51475871,5.40018062167,8.394158141,5.114378737,5.8439838165,6.052574163,5.309988559,Control
7.773437814,8.122803572,5.76818500825,5.249266367,5.297935366,5.84386532,8.660014728,11.21616247,8.304445007,6.712427693,5.653784658,5.193782829,6.667115534,5.278366982,5.593959684,5.287630431,4.957695542,5.48127610967,7.3756054295,6.458370212,6.82339386,10.6829685,5.21129274167,7.193129126,6.633580605,5.5701302945,5.947964885,5.24181066,BRCA
7.432753017,7.575257723,5.428788493,5.712053188,6.143337929,5.395072441,9.003350039,12.05151325,8.6740279945,6.440541669,5.499695432,5.614718124,5.880692411,4.950248224,5.759695977,5.346435058,4.620038905,5.28269905433,6.477823674,6.86505622,7.517797043,9.907754874,5.13906333533,6.8628750025,6.647318557,4.992983245,6.338964187,5.622834226,BRCA
7.49197557,8.952028549,5.66859481375,5.447092526,4.720021333,5.36650691,9.145690907,11.45071911,7.550994221,8.18992476,5.447092526,5.532793245,8.591897347,5.520352508,6.725676834,4.754902895,5.242422681,5.298810938,8.418540522,6.698639127,6.31398031067,9.785085055,5.99397477033,7.7028297165,6.063724706,5.8633026145,5.721927133,5.4351695435,BRCA
7.169627227,8.419065983,5.58548870425,5.89936372,5.665912346,5.193979903,8.939837117,11.60131362,8.183402349,7.31134218,5.487205952,4.937828406,5.741879005,6.110097626,6.174182303,5.479142629,5.224977213,5.536409134,6.8454990825,6.560413565,7.00778646933,10.28801852,5.235982167,6.8655017225,6.2950853,5.423904716,6.119880723,5.801405861,Control
7.553746634,8.290227544,5.568358614,5.739855695,5.620154746,5.488973851,8.727649179,10.5650833,8.681821026,6.542920132,6.143184845,5.210049084,6.264635533,4.542894537,5.839966671,4.528802152,4.835180387,5.289983942,7.2681816375,6.832007438,6.956630158,10.82820416,5.29079480733,7.259377905,5.87615546,5.73397804,6.095613938,5.200994988,BRCA
7.454753984,8.880242515,5.336764042,5.764746385,5.154627002,5.806589092,8.884385094,12.30758799,7.654598594,6.329935892,5.177231401,5.279296008,5.778347403,5.871604195,5.797150007,4.596397442,5.127025752,4.91855735333,6.8123894965,6.971661738,6.571316384,10.65531183,5.00452336933,8.251350523,5.139972076,5.484697035,5.78136709,5.2736395795,BRCA
8.404887293,8.18589271,5.8909675935,5.704879743,5.47558044,5.704879743,9.272280513,11.8471671,7.348306161,7.555933317,5.606154407,5.958907183,6.316422399,5.061140288,5.799094593,4.47893856,5.061140288,4.968836814,7.2233732875,6.922498552,7.228641719,10.98552909,5.585796965,7.346137593,6.097089942,5.1678288455,6.104971499,5.41722336,BRCA
7.481761346,7.694795113,5.565636855,5.961629839,7.864930713,5.715283369,9.119292054,12.07353083,8.345183436,6.597162874,5.503198645,5.10518698,6.436299805,5.895794131,5.894763964,5.517914408,4.605899234,5.424835412,6.8815510025,6.294671862,7.04003560967,10.45871961,5.166307069,7.571842428,6.363088376,5.5989541065,5.860721532,5.510446459,Control
7.773866348,8.336429709,5.70209202375,5.572140279,5.301049141,5.032994809,9.004881345,13.074006,8.120463945,6.898030318,5.612950486,5.297385178,6.040569875,5.615159695,6.128361072,5.349622922,4.431796925,5.090023549,6.2958628705,6.691782333,7.45962413033,10.57581366,5.270135068,8.1414583155,5.403618168,5.5417165275,6.271981767,5.4020188665,Control
8.544675792,9.838645,5.659484358,5.515077886,5.511287161,5.676811285,8.965922146,12.32769025,8.141501593,6.665410981,5.673281687,5.341906825,6.448988165,5.573201246,6.01436157,5.518229233,4.764223297,5.303633852,7.746916147,8.021647846,7.33583168833,11.2546007,5.07529409167,7.876543697,6.528263138,7.5803338885,6.234966481,5.3828300505,BRCA
8.716554664,8.309761823,5.517131432,5.722063796,5.287261033,5.185877691,9.424665541,11.71890753,7.924189773,7.933190677,5.985791427,5.443947436,7.795846682,4.788047896,5.865430938,4.209457899,5.089806641,5.62884727533,8.463316998,7.319810118,7.14027804567,9.127737169,5.41971547267,7.1482697785,6.360325315,5.66740394,5.979917442,5.497181876,BRCA
7.854075345,9.540709807,5.66697744925,5.520666802,8.906275159,5.777361355,8.899841107,11.58069917,7.5415370775,6.502239591,5.890696716,4.789744015,6.407527489,5.5828655,5.890696716,4.936651187,5.262105418,5.34851970633,6.7390347675,7.808322499,6.91298685167,10.96223109,5.73555330467,7.6263949845,6.810253901,5.3806743205,6.422153617,5.246063851,BRCA
