@relation thedata

@attribute 10892 real
@attribute 1147 real
@attribute 23118 real
@attribute 3108 real
@attribute 3109 real
@attribute 3111 real
@attribute 3112 real
@attribute 3113 real
@attribute 3115 real
@attribute 3117 real
@attribute 3118 real
@attribute 3119 real
@attribute 3122 real
@attribute 3123 real
@attribute 3125 real
@attribute 3127 real
@attribute 3551 real
@attribute 3635 real
@attribute 3932 real
@attribute 4790 real
@attribute 4792 real
@attribute 50852 real
@attribute 5170 real
@attribute 5290 real
@attribute 5291 real
@attribute 5295 real
@attribute 5296 real
@attribute 5588 real
@attribute 5728 real
@attribute 5970 real
@attribute 6885 real
@attribute 7189 real
@attribute 7334 real
@attribute 7335 real
@attribute 84433 real
@attribute 8517 real
@attribute 8767 real
@attribute 8915 real
@attribute 915 real
@attribute 916 real
@attribute 917 real
@attribute 919 real
@attribute 920 real
@attribute DependentVariable {BRCA,Control}

@data
6.5494246345,9.004698798,6.0750662075,12.53699151,11.71707458,8.653437275,6.986698549,12.55918115,7.781935242,11.54630621,5.298302041,9.05221557,13.17461947,5.209464331,8.455307825,4.927435762,7.1307406325,7.745155171,5.69019779725,12.34771002,15.00532806,5.2343059375,7.1007852408,6.685313404,7.339184439,7.0703331436,11.7240492,9.112401142,10.48283344,8.69026092,9.487800372,7.37822060033,10.72598418,5.927862874,7.80790408,10.2072374,10.17328397,7.6455704,7.280935014,6.11956952,6.720624337,8.7285712195,7.587142037,Control
7.0204960835,8.974945912,6.2352424805,12.64414927,12.24572955,9.739840141,7.281144442,13.34981755,8.649032592,11.98934847,5.536838744,10.20167708,13.80159564,6.166218956,10.05747773,4.805564985,7.787354885,7.742126034,5.74326863275,12.34109771,13.91249272,5.316858236,7.4312568682,7.098719371,6.741201091,7.6111323212,12.12504541,8.486142286,10.32512022,8.669346719,9.4310771815,7.05787236967,10.74964553,5.856502149,7.508252593,10.39985497,9.689124896,6.944305399,8.193154688,6.912593359,7.355551793,9.701700705,7.564704211,BRCA
6.5719996595,8.986710369,6.077757674,12.41967063,12.12389031,10.36525103,7.608404767,13.42453443,8.937801287,12.03603115,6.236545833,10.70468636,13.830710045,6.220528877,9.645289663,5.616777635,7.4532495275,8.060129988,5.8326297955,12.51631937,14.51605303,5.66236424,7.2445861642,6.212526175,6.813047234,7.448654099,12.67203307,8.525326145,10.4297627,9.073024297,8.9013859115,7.01943370733,10.73861188,5.95443558225,8.028929788,10.04121461,9.67954657,7.301361579,8.37636907067,7.731643389,8.04094875,10.17915014,7.27775495,BRCA
6.198731223,8.742495656,6.211699109,12.73729283,12.44264168,9.910005977,7.829676956,12.65253473,8.826152109,10.73799536,6.235732444,10.52975779,13.10958531,5.78869305,9.452334495,5.99820185,7.4011955135,8.06060289,6.064440107,12.26985874,14.35403309,5.6486455475,6.9971733014,5.584068992,6.506054132,7.6522265588,12.52623397,8.832068081,10.18190731,7.67194989,8.417672848,6.46814411567,10.8590069,5.84380663775,8.511556122,10.50969117,9.609179258,6.617949048,8.21299733433,7.627900667,7.285266093,10.0511208,7.757275197,Control
6.871744083,8.684828488,6.0872080685,12.54078076,11.97837451,9.620316579,7.554207264,13.40746897,8.252229158,11.62550351,5.561716584,9.840864894,13.67035693,12.58150432,11.12211636,5.56971228,7.5245616955,7.919118257,5.91669616975,12.37603319,13.73047547,5.302252523,7.3395574808,7.405441727,6.944393257,7.950268865,11.96427598,9.001704532,10.27256013,9.268495874,9.2133861525,7.059741909,10.67589996,5.79409647175,7.748764991,9.78258103,9.692040543,7.73132094,8.28606754333,7.904094356,7.74183962,9.3494460205,7.922110302,BRCA
7.1765038415,9.33884841,6.15580083,12.60891324,11.80634431,9.126537434,7.231847873,12.82188064,7.960568361,11.3294966,5.78110476,6.358348455,13.80707185,12.50251243,10.51325413,13.23175973,7.5689740425,7.186711317,5.66966000725,12.87483063,13.77694807,5.1344603195,7.3955993004,7.460253403,7.80732453,7.4183463498,12.02694363,8.982823296,10.16250498,9.673230059,9.9163703245,7.331943975,11.50955249,5.805529573,7.747674602,10.54285319,10.29787953,8.417495092,6.930751522,6.389657687,6.529942434,8.381411497,7.239410274,BRCA
6.321526661,8.17437786,6.572961414,13.03029388,12.38541089,9.037218243,8.219678124,11.51045032,8.154072682,9.519577839,5.920240442,7.503032882,12.56767587,10.54658128,9.4537342,11.67464041,7.550193916,8.082270314,5.862304229,12.52075501,15.02279519,5.06481923,7.3536038904,6.662423158,5.996847001,8.3350079456,13.11366653,8.596218763,10.31455241,7.262755244,8.575344218,6.42166024533,11.06222513,5.59473477175,8.39528898,10.10111594,8.89713537,6.869350546,8.51372939333,7.380766509,7.791799626,9.811707063,7.114005486,BRCA
6.1198193845,8.824657385,6.095394251,12.60023009,12.15504123,9.091403071,7.56483756,13.04549694,7.851001152,12.09119909,5.651777341,8.982538116,13.646442645,11.59208337,9.770623066,5.464350722,7.4520617975,7.46131803,5.88068915225,12.20475003,14.22362506,5.697377335,7.0445753338,6.020263967,7.162847292,7.757716558,12.07897478,8.793913049,10.71573921,9.194320487,8.9471097785,7.018808194,10.55937736,5.87162845725,8.06939757,10.4077487,9.780392589,7.753920581,7.87859624933,6.876858011,6.566324756,9.1744218995,7.840024324,Control
6.9464471845,8.659854224,6.3311955985,12.23971048,11.79378019,9.779514641,7.754087662,13.32090986,7.884523325,12.05538931,5.841225451,9.306774385,13.92629211,12.10466109,10.89786457,12.95548196,7.530604743,7.57557919,5.81485113325,12.42766909,14.37348409,5.331173993,7.1591884674,7.205282841,7.428655643,7.6719006758,12.20624983,8.98794691,10.36365325,9.012625324,9.204869818,7.05702786333,10.86554405,5.5822821905,7.888714524,9.861979055,10.23716846,7.834346409,7.83390275633,6.663348622,6.735255184,8.5153541335,7.470071357,BRCA
6.642608904,8.645245129,6.2017657865,12.08864757,11.68597092,9.513254412,7.082364963,12.38431166,7.134300849,10.29950601,5.241850906,8.930486858,12.911595045,11.29724747,9.397268784,6.698430771,7.6541093245,8.076790383,6.225327925,12.09766027,13.54172225,5.147782584,7.3339069032,7.606018576,6.850940421,7.3060563712,12.27296951,8.796235248,9.653830832,8.33670864,8.9430429875,6.71155131933,10.61443405,5.70227728475,7.703490296,10.22738163,8.99818219,6.732544377,8.282150397,7.296207587,7.591674041,11.141348535,6.98547517,BRCA
