@relation thedata

@attribute 1020 real
@attribute 1432 real
@attribute 183 real
@attribute 186 real
@attribute 2185 real
@attribute 2534 real
@attribute 2767 real
@attribute 2770 real
@attribute 2782 real
@attribute 2792 real
@attribute 2885 real
@attribute 3265 real
@attribute 3717 real
@attribute 3827 real
@attribute 4137 real
@attribute 4638 real
@attribute 5335 real
@attribute 5578 real
@attribute 5579 real
@attribute 5594 real
@attribute 5595 real
@attribute 5599 real
@attribute 5604 real
@attribute 5605 real
@attribute 5894 real
@attribute 6464 real
@attribute 6654 real
@attribute 6772 real
@attribute 6773 real
@attribute 6774 real
@attribute 6775 real
@attribute 6776 real
@attribute 6777 real
@attribute 6778 real
@attribute 801 real
@attribute 805 real
@attribute 808 real
@attribute 815 real
@attribute 816 real
@attribute 817 real
@attribute 818 real
@attribute DependentVariable {BRCA,Control}

@data
7.99887404,7.09994864525,6.811827823,6.201247285,6.25614507167,9.2289642325,12.11539657,7.1915641815,13.02719506,5.028139516,9.4954151895,7.4423513115,8.378404463,5.6227922,6.8173136115,9.50331156833,7.6745180755,8.688181342,6.21136540967,8.27215776867,11.634256725,5.939777752,10.49127719,11.44994835,10.11570732,9.15105029633,8.001564595,10.31346778,12.53522562,11.45883824,8.010809379,11.46083484,9.961088297,9.701471572,13.11037161,13.59313376,12.33572539,4.967873236,6.3931703428,6.71763387475,8.533227316,Control
7.779327238,6.60639379225,5.751685476,5.994699217,6.39478587333,8.8907159655,12.64178371,6.0573658185,13.00956452,5.682862067,9.5539178325,7.8897640555,7.325982508,5.313618859,7.21451483,9.09094023867,7.862876923,9.433471275,6.479820979,7.85669691467,11.27623323,5.0886580415,9.559434991,11.52169626,10.34726733,8.42779587067,7.481398095,10.329653278,12.61090263,11.6077021567,8.022133529,11.3989816,10.15001415,10.00164081,12.75620088,13.5121695,12.47764072,5.03365563,6.9553527598,6.8818081325,8.715636586,BRCA
8.635084252,6.58493097,5.019269629,6.433214548,6.332382502,8.275073194,12.18094263,5.457103785,12.9979954,4.963487128,9.480270588,7.856102429,7.458490947,4.98710623,7.15698446525,9.01551201767,7.7021225845,8.48506563,5.889051372,8.11094053067,11.198356615,5.6701097255,9.65317699,11.72288448,10.45388564,8.45925672733,7.228580927,10.0589241477,12.55918115,11.5512263767,8.172253881,12.10466109,10.28344757,10.53976977,12.13760287,13.47944813,12.54827894,5.935819934,8.109608713,6.405921396,8.2596790005,BRCA
8.620477476,6.0589973865,6.201639374,7.033260895,6.660246028,8.08464112175,12.07926902,5.725019338,13.11510467,5.29683478,9.432546201,8.398114105,6.114997467,5.494744603,7.49441041925,8.53219426233,8.054801422,9.211511834,6.312672729,7.98209816267,11.274247985,5.7758281875,9.580847928,11.42772678,10.09500831,7.73867912133,6.648325671,10.100698262,12.6473067,10.720960379,7.177023614,11.96551025,10.10956988,10.64202486,12.20536419,13.35270561,12.76004735,5.198898037,8.725184586,6.1456479,7.7082282335,Control
8.40571707,6.730522711,6.17712611,6.15977612,6.22310588433,8.34620788925,12.56435203,6.8901006515,12.87743566,5.536217098,9.66718229,7.697637374,7.364180901,4.968564562,7.351626188,9.705586173,7.930765467,8.977409535,7.50900425433,7.82991936767,11.21839075,5.704258658,9.966174165,11.8471671,10.22872886,8.10318445333,7.634958261,10.5729125313,11.94781234,11.54329104,7.543266046,11.9164133,9.833894617,10.10887108,12.34682957,13.37889296,12.45248586,5.062220221,6.9100805066,7.045711086,8.3252183155,BRCA
7.79902435,6.87151716925,6.18041208,6.188742749,6.30853884,8.716652398,12.03287579,6.5536864175,12.98372673,5.717272857,9.9164802245,7.3388634815,8.052107626,4.846131289,6.67599706925,9.68830932967,7.6687152575,8.467749328,6.98490046733,8.18650002,11.07534033,6.517858181,10.23164154,11.5852209,10.624983,8.70127661067,8.19601328,10.5815088053,12.27296951,11.6186680667,7.740271759,11.1888517,10.29596436,10.45090222,13.11510467,13.71343219,12.66384721,5.093825554,6.3166102882,7.03324440275,8.4054699995,BRCA
7.838134167,6.362735412,4.987447357,7.001326908,6.20690718667,8.39165280725,12.83993603,5.366277458,12.64120964,5.442621133,9.167523377,7.9742866725,6.705498046,4.846005888,7.564407717,9.12043218767,8.590203577,9.024558716,6.81582852467,8.451561107,11.151396135,5.6011167705,8.977681421,11.16076662,9.961088297,8.36198243367,7.292025067,11.3817422673,12.97428108,10.620682972,6.888624921,10.72234672,9.214514093,10.14295619,12.34260121,13.29267684,12.61750082,5.754494213,9.356122659,6.55286557675,7.7168387545,BRCA
8.301794677,7.0975611175,6.154317508,6.396952035,6.16225577733,8.80415305075,11.35299256,6.2928801065,12.98945487,5.865554662,9.1611827995,7.7095138065,8.158535374,5.110625549,6.99225089775,9.486682492,7.7549264415,8.419813926,6.87117032933,8.171538624,11.40345044,5.401013329,10.00443156,11.28922369,10.12277013,8.53051419067,7.787382059,9.76574384767,12.63536109,11.4495990067,8.219823303,10.75261086,9.788616845,10.54158093,12.57155186,13.44200721,12.74796537,5.619127766,7.580338669,6.064234489,8.729778512,Control
8.878166757,6.41978303225,5.844493149,6.682085592,6.34899972867,8.0162301535,12.07015459,6.2675959045,12.96993872,5.659076304,9.3657406255,7.94496816,7.011789475,5.057570761,7.636424019,9.58901573033,8.1175343725,8.419971893,6.13414385767,7.91861634733,10.99057863,5.8779809975,9.452231522,11.82274022,9.9831294,8.16926655967,6.878728789,9.956344037,12.13627672,11.6033707233,7.272352474,11.94573106,9.93285737,10.145837,12.3148028,13.70458133,12.4865699,5.662925563,7.4789113804,6.4879534175,8.057131251,BRCA
8.725767673,6.2012063225,6.779329085,6.438214347,6.460940443,8.42904151725,12.53965448,6.489380715,13.02126635,4.958159726,9.70078824,8.148239231,7.088605737,4.753833848,7.318270244,9.227921381,8.2287174245,8.01888328,6.39658479233,7.74245236133,11.551814785,5.5839936855,9.69476318,11.64681981,10.28660429,8.39504068233,7.4960371,10.3519697093,12.70613234,11.0351359567,8.06708625,11.45097165,9.955468697,10.21491439,12.71572616,13.30755735,12.57561022,4.482788153,7.9155472442,6.59589787525,8.3082798515,BRCA
