@relation thedata

@attribute 10011 real
@attribute 10062 real
@attribute 10370 real
@attribute 10891 real
@attribute 1375 real
@attribute 1387 real
@attribute 1843 real
@attribute 1854 real
@attribute 1962 real
@attribute 2033 real
@attribute 2168 real
@attribute 2195 real
@attribute 3295 real
@attribute 3303 real
@attribute 3320 real
@attribute 335 real
@attribute 336 real
@attribute 3630 real
@attribute 3725 real
@attribute 4023 real
@attribute 4199 real
@attribute 4609 real
@attribute 4792 real
@attribute 4843 real
@attribute 51 real
@attribute 5154 real
@attribute 5290 real
@attribute 5294 real
@attribute 5295 real
@attribute 5465 real
@attribute 5469 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 5578 real
@attribute 5579 real
@attribute 5594 real
@attribute 5595 real
@attribute 5743 real
@attribute 5925 real
@attribute 5970 real
@attribute 6256 real
@attribute 65003 real
@attribute 6667 real
@attribute 6776 real
@attribute 6777 real
@attribute 7025 real
@attribute 7124 real
@attribute 8204 real
@attribute 8431 real
@attribute 8648 real
@attribute 948 real
@attribute 9611 real
@attribute 9612 real
@attribute DependentVariable {BRCA,Control}

@data
7.248817326,11.21226855,11.24400418,8.588209721,7.1805287985,9.174412855,14.96942161,8.65628527367,8.035405516,9.886672502,5.358089615,10.64076035,11.09730811,11.35464901,11.0093826917,5.287261033,5.468103682,5.169936271,14.72492149,11.99463462,7.732457674,11.83974258,15.00532806,5.496412483,7.088856485,6.70121473533,6.685313404,6.299304767,7.0703331436,5.9306844235,8.142746712,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,8.688181342,6.21136540967,8.27215776867,11.634256725,9.3930229045,8.976299993,8.69026092,12.34948589,8.80407582233,10.08912308,11.46083484,9.961088297,8.964168373,8.519696323,11.04508749,5.011016147,7.80502360867,12.2115918747,8.870434945,9.760872578,Control
7.3332291065,10.59585913,10.76919343,7.63955981,7.105110568,9.719195242,13.94018008,8.86747317133,6.802099894,10.41990782,5.331285345,10.73727294,10.91180038,11.57740772,11.030777654,4.752897783,5.34066129,5.773212576,14.11502538,11.04153957,7.526344936,10.569760214,13.91249272,5.36548732067,6.27776847133,6.927342899,7.098719371,7.09127967,7.6111323212,6.2647755765,8.739072693,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,9.433471275,6.479820979,7.85669691467,11.27623323,8.8139773665,7.958452847,8.669346719,12.1490422,8.619255472,10.32795428,11.3989816,10.15001415,10.84003064,7.177920594,10.52858624,4.708480413,8.123724749,9.47518757767,8.091145926,10.0093969627,BRCA
7.1298936905,10.40696526,11.26721992,7.130779359,7.557228887,9.441990946,14.43231028,9.12384909033,6.935698777,9.740911174,5.001702332,10.60490092,11.12068843,12.42106423,11.1437694107,5.161092822,4.757305356,5.870864797,14.41297137,9.774869866,5.266984428,11.54593261,14.51605303,5.691198038,6.260049093,6.43184992733,6.212526175,6.323194968,7.448654099,5.9169092905,8.327284429,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,8.48506563,5.889051372,8.11094053067,11.198356615,8.056837029,8.409052632,9.073024297,11.75795051,9.41988400867,10.30951646,12.10466109,10.28344757,9.423804585,8.414834386,10.51730058,5.249645622,8.10987543733,8.73530426033,8.933248873,10.2414610627,BRCA
7.5090758915,11.20184229,10.3712052,8.913428843,7.161266844,9.0089772035,13.07191821,9.07992671533,4.910026549,9.510601559,4.379281551,10.75019637,10.55438287,11.27393851,10.6939344647,5.62000808,5.051166787,5.793122872,14.08054111,10.80850192,6.002540089,10.2570662725,14.35403309,5.37344951167,6.11308810333,6.29958050633,5.584068992,6.299945779,7.6522265588,5.9013934145,8.444229248,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,9.211511834,6.312672729,7.98209816267,11.274247985,7.8889224205,6.610216975,7.67194989,11.71789713,8.8469895,9.80247643,11.96551025,10.10956988,8.255407641,8.370459788,10.25881955,4.978894894,8.21261250933,9.66659547467,7.275242521,9.99650003667,Control
7.2927524235,10.20626383,11.744773,7.334164045,7.429388344,9.6688997565,13.00161496,9.132987602,6.860966288,10.27748534,5.278366982,10.7182377,10.87758344,11.18505522,11.2182175033,5.368603583,5.278366982,5.536217098,13.43392773,11.76903417,7.285959595,11.50644256,13.73047547,5.24425162867,6.33714486733,7.33859063467,7.405441727,7.300126299,7.950268865,6.3050950175,9.435868748,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,8.977409535,7.50900425433,7.82991936767,11.21839075,7.9471266005,8.022008655,9.268495874,11.58147143,8.63923247033,10.75902287,11.9164133,9.833894617,9.802791438,6.675961001,10.52792683,5.291135005,8.662960931,10.9707605477,8.511892099,9.86432586567,BRCA
7.416876561,10.58594865,10.53019687,7.057101267,7.65673704,9.509274839,14.67922443,8.45000545933,7.684715533,9.934575887,5.202134845,11.1794428,11.02017803,12.41355925,11.374489615,5.202134845,5.46712559,5.73607124,13.80946823,11.72497433,8.389826114,12.17961768,13.77694807,5.431006781,7.16167000633,6.96108608367,7.460253403,6.725540512,7.4183463498,6.2632584125,8.48631327,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,8.467749328,6.98490046733,8.18650002,11.07534033,8.852128455,9.286795183,9.673230059,11.56493436,7.84527374767,9.923045577,11.1888517,10.29596436,9.161296382,6.320264091,10.74581949,5.294814856,8.36956528433,11.069213795,9.290952566,9.99534691433,BRCA
7.4775972315,10.42864835,10.39714011,7.629176499,7.446373475,9.006275549,12.90048482,9.05641503767,5.650629048,10.17277787,5.754494213,10.68420973,10.02722219,10.45145612,10.4929184813,5.472984221,5.447092526,5.705709271,13.91249272,9.421602612,6.013356873,10.2032142635,15.02279519,5.26103280633,6.096097165,6.89649601933,6.662423158,7.476910459,8.3350079456,5.8009201885,9.853185215,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,9.024558716,6.81582852467,8.451561107,11.151396135,7.978764199,8.555107826,7.262755244,11.14654022,8.450152089,10.3743606,10.72234672,9.214514093,11.53140597,6.423120638,9.944646595,5.046808884,8.53886432533,7.52927220333,7.161134718,10.019898556,BRCA
7.420809224,10.94796217,11.44205205,7.776434883,7.3648785115,8.7304792815,14.73750669,8.89594887333,7.330157527,9.744439113,5.82324701,10.83319472,11.38105635,11.62774602,10.7716702567,4.29432028,5.206732344,5.451879748,13.96294256,10.32819838,6.371999292,11.820520445,14.22362506,5.32847452233,6.80441426667,6.60636141433,6.020263967,6.726903149,7.757716558,5.7914813845,7.509302192,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,8.419813926,6.87117032933,8.171538624,11.40345044,7.884541234,9.023671978,9.194320487,11.50810934,8.82086978267,10.1003079,10.75261086,9.788616845,9.48161839,6.14308278,10.72425827,5.30196368,7.88948201833,10.9210727577,8.858836661,9.40777784033,Control
7.132303996,10.59236386,10.93858741,8.132681099,7.2456390605,9.1075112315,14.74286599,9.38524725133,7.223376994,9.125801619,4.5799221,10.93133239,11.10564356,11.58210918,11.3126835957,6.078850631,5.661287319,5.541182786,14.44356588,9.424439853,6.095613938,12.140966635,14.37348409,5.32697615567,6.705124989,7.743697197,7.205282841,6.426437217,7.6719006758,6.3224235275,8.312861547,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,8.419971893,6.13414385767,7.91861634733,10.99057863,9.7271422725,8.717951507,9.012625324,11.16693525,9.23305910867,10.31961599,11.94573106,9.93285737,8.584211958,8.252974189,10.61799567,4.984374307,8.14837359867,9.16133675633,8.706548791,10.1828814903,BRCA
7.6006411045,10.71269919,10.94250372,8.847089556,7.6423836295,9.532397347,12.66850837,9.14084531633,7.358126164,9.827664684,4.883390185,10.52328778,10.93055646,11.97407764,10.9901063043,5.630093262,5.582714993,5.233822166,13.15952927,11.33290385,7.628921423,9.975804059,13.54172225,5.609631797,6.54412221033,6.83351091333,7.606018576,6.76752611,7.3060563712,6.2051601515,9.174452064,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,8.01888328,6.39658479233,7.74245236133,11.551814785,7.7737994165,7.473200667,8.33670864,12.29242381,8.83092969033,10.38034502,11.45097165,9.955468697,9.885094283,6.105390642,10.80422,5.396956849,8.287506428,10.719990343,8.064420951,10.13424536,BRCA
7.85096288,11.52028732,10.8697367,7.505535937,7.629178203,8.6873024975,14.63055838,8.776342606,6.893365624,8.279449386,5.376786337,10.24073801,10.94417051,12.01315176,10.8381684493,6.073719165,5.427950757,6.062214149,14.17314893,11.69812525,7.64569648,10.829470512,13.43573605,5.58811651867,6.50628927267,6.364402101,6.657000843,6.847562044,6.9076540764,5.8725703995,7.577959591,5.0578073466,6.287994543,9.08887684467,7.988004536,8.176760488,5.492182674,8.202296649,6.39932068633,8.06297051567,11.573459625,9.678145087,6.142419181,8.687254178,12.34109771,9.11119456167,9.685818029,11.89929188,9.998485053,10.44796168,6.992205122,10.31728008,4.649498512,8.058169178,10.0096238773,8.221068824,9.71978379333,BRCA
7.057441725,10.57829275,10.91454605,7.709361509,7.239824374,9.023964326,14.90075929,8.77334325033,7.504284952,9.378501395,5.332628502,10.78710288,11.25727898,11.48354892,11.034315424,5.563166712,5.678079829,5.773212576,13.87385551,11.56134298,9.23553628,11.023407075,14.39776555,5.54010262667,6.98107631233,6.21373216567,6.822223857,6.739109305,7.509195938,6.219897013,8.197119763,5.3421536938,5.822227442,7.99293009967,7.5453142,8.94526175,5.564539174,8.474558864,6.68769140167,8.197304519,11.32136754,9.0197711345,9.062316786,8.875473781,11.74803988,8.53543428533,10.0436019,11.36056745,9.562147541,9.439052265,7.871691396,10.96733275,5.321036278,7.841611827,11.104288605,8.853372818,9.64927309867,Control
7.3963201725,11.23083122,11.53538974,7.865023539,7.641248674,8.87704806,14.8317704,8.710718794,8.589277669,9.675384217,5.773080673,10.85730868,11.3989816,10.45621094,10.7678923323,5.612950486,5.416511492,5.252865266,14.67256817,12.13627672,8.301451753,11.5313713,14.10537413,5.381457097,6.84816379133,6.15490403367,6.672535396,6.521369295,7.3656981534,5.96626105,8.080472632,5.4913025734,5.416511492,9.194411155,7.626842693,9.004516227,5.301049141,8.584390499,6.24070564267,8.151507585,11.488573795,8.1763049215,8.997758931,8.978067698,12.29564706,8.80887688567,10.24730484,11.68668229,10.15541314,9.068416299,6.162699096,11.00891197,5.316336975,7.843108492,12.3392253657,8.931846371,9.650336593,Control
7.7033118175,10.26349255,10.44129753,7.208968629,8.0582819305,8.924929238,13.91614961,8.61637961967,7.410368932,9.604664936,5.284487528,9.056218477,11.71363365,9.138598914,10.9296346363,5.363706598,5.558735431,5.69544494,13.48222565,7.572133883,5.619861398,9.689899517,14.13459319,5.24729020433,6.65011322267,5.8424588,4.904979261,5.09930704,7.1534205814,5.846915317,6.088105148,5.4387987878,5.237842121,8.633415693,7.240984771,7.750842834,5.268482349,7.646632733,6.35314852433,8.08129530567,11.695521545,7.101106939,9.187897079,9.226388785,12.02662382,8.99410836233,9.603413599,11.50045491,10.12611757,8.700423353,5.841225451,10.33270825,5.438302209,7.39871487733,10.445825676,9.586361839,10.5399980683,BRCA
7.661501704,11.00891197,9.104717417,8.117774412,7.8385435755,8.787588937,13.66590217,8.990145936,7.124305192,9.80990119,4.931696351,9.827049342,11.47374394,8.07586835,10.482276888,5.007208117,5.12102706,5.133205159,13.17144427,9.636896969,6.37504432,10.043318064,13.98232431,5.659962881,6.513235533,6.864827898,5.472171943,6.107798352,7.0222287176,6.119031791,6.801647336,5.8117429202,5.913135501,8.41487604833,7.292669322,8.335480939,5.287261033,7.883225397,6.73899581333,7.95451796533,11.206231375,7.913887503,9.308988054,8.761435816,11.1794428,8.45379514533,9.911706981,11.31253714,10.35359929,10.5927189,5.923868951,11.24903656,4.693784032,7.68990650533,10.3239841677,8.975390248,9.69454428667,BRCA
7.308538338,10.10831572,10.34544991,7.367329836,7.5427276195,8.856661681,14.12961268,8.78461464367,7.131705547,9.987029866,5.325000691,9.320304784,11.33051934,8.892854791,10.592174145,5.264922245,5.06588596,5.247843274,14.09890062,7.612815293,5.504788206,9.7187563365,13.70909946,5.78350582667,6.27521312633,7.08695119167,4.944168843,6.07692847,6.9209080238,6.062075285,5.979345877,5.3283454926,5.754627826,8.30846996767,7.370450116,7.540595216,5.765409598,8.420129842,6.39469361333,8.00665617633,11.49634678,8.3071702885,8.652093075,8.629266563,12.0344036,9.18288325067,9.953964008,11.50810934,9.873298423,10.79032021,7.264445239,10.78457782,5.01168711,7.66070936333,9.257288012,8.884385094,9.88162942267,BRCA
7.7537292895,9.973525583,10.02914955,7.743186956,8.1545453245,9.171450661,13.65917147,8.802056212,7.615631706,9.985543523,4.759970032,9.111501597,11.49113672,8.651124474,10.5236420607,5.638733653,5.422747045,5.034316149,14.01211384,7.733796852,5.443947436,9.654362623,13.58466312,5.48929581033,6.68017163467,6.03008672167,5.538546893,5.439300032,6.8965544166,5.8819610365,6.40650744,5.4065428568,5.634165776,8.24833877567,7.801516189,7.582482852,5.66903474,7.621284726,6.135427533,7.86577453733,11.796022585,8.881647653,8.567082519,9.515749664,12.06390576,9.22085408067,9.999429686,11.37712933,10.15087731,8.066965207,6.665268844,10.79412363,5.31868854,7.65936062367,9.98928892333,9.567043945,10.8669942003,BRCA
