@relation thedata

@attribute 10163 real
@attribute 10458 real
@attribute 10580 real
@attribute 10810 real
@attribute 117178 real
@attribute 1387 real
@attribute 1457 real
@attribute 1459 real
@attribute 1460 real
@attribute 1495 real
@attribute 1496 real
@attribute 1499 real
@attribute 1500 real
@attribute 1956 real
@attribute 2033 real
@attribute 2064 real
@attribute 2241 real
@attribute 2260 real
@attribute 2534 real
@attribute 25945 real
@attribute 29119 real
@attribute 3480 real
@attribute 3643 real
@attribute 387 real
@attribute 4008 real
@attribute 4087 real
@attribute 4088 real
@attribute 4089 real
@attribute 4233 real
@attribute 4301 real
@attribute 51176 real
@attribute 51701 real
@attribute 52 real
@attribute 5594 real
@attribute 5595 real
@attribute 56288 real
@attribute 5770 real
@attribute 5777 real
@attribute 5787 real
@attribute 5792 real
@attribute 5795 real
@attribute 5797 real
@attribute 5818 real
@attribute 5819 real
@attribute 5879 real
@attribute 5880 real
@attribute 5881 real
@attribute 60 real
@attribute 6591 real
@attribute 6615 real
@attribute 6714 real
@attribute 6885 real
@attribute 6932 real
@attribute 6934 real
@attribute 7046 real
@attribute 7048 real
@attribute 7082 real
@attribute 71 real
@attribute 7414 real
@attribute 7454 real
@attribute 7525 real
@attribute 81 real
@attribute 81607 real
@attribute 83439 real
@attribute 87 real
@attribute 88 real
@attribute 8826 real
@attribute 89 real
@attribute 8936 real
@attribute 8976 real
@attribute 9855 real
@attribute 998 real
@attribute 999 real
@attribute DependentVariable {BRCA,Control}

@data
11.81532136,7.0821243244,8.994564082,10.16171172,6.461565904,9.174412855,7.90764269433,10.66411416,12.38307791,12.970346955,5.603041174,6.94578590514,6.527119521,7.05035509475,9.886672502,7.90862600467,8.081138701,6.63167228267,9.2289642325,8.883830184,5.116659172,7.634903824,6.361861002,12.37603319,5.68566776,6.170533443,10.68629503,11.0532575,5.899182429,5.828587949,7.5908954075,5.773740066,10.94240366,8.27215776867,11.634256725,5.994133479,11.09785784,6.80465488733,9.640760601,11.885711165,5.808521004,11.72040472,5.62181327975,8.70463678933,8.85850435833,9.146785748,8.243782269,14.7883179233,10.465535924,5.319953181,6.75911734333,9.487800372,5.303029586,9.499816557,6.451380618,11.1277065827,10.712634375,14.665256985,9.67691596567,9.100426551,8.956696408,11.86027624,7.487359976,9.014572276,13.43392773,6.68951277,9.638590278,5.69544494,5.1241386875,11.4461297,7.449646227,7.16387589625,12.00989343,Control
12.12065594,6.9701418796,8.100563197,9.606322445,6.931656836,9.719195242,7.803043395,11.05254447,12.58150432,12.9002596,5.545359333,6.96887473943,6.6127320924,6.79791370075,10.41990782,7.97213650833,7.847622917,6.761059759,8.8907159655,9.2395806605,5.037056875,7.713354077,5.911818141,12.57624761,6.59544818,6.372627633,10.45921159,10.8409276,6.1044474,6.22776574,7.9480842695,6.809868189,10.46539756,7.85669691467,11.27623323,5.919108385,10.92233559,6.92689952033,8.597597398,12.290645045,6.280033578,11.03579075,5.99887986025,8.396903982,9.23532012167,9.807552605,8.678284212,13.8159086333,9.266731846,5.748737112,6.586005659,9.4310771815,5.5473183655,10.1669919,6.425850025,10.8486273113,10.4216436375,14.318888115,9.12675963167,9.110745023,9.025562565,12.21133327,8.722535293,9.552203712,13.88775422,6.68426165,10.06753558,5.483179924,5.26166635,11.4951169,7.587498371,7.17118701125,12.20475003,BRCA
11.81116605,7.1161750778,7.1405365504,9.137619512,7.139298411,9.441990946,7.94848537033,11.16113206,12.83066776,13.044669795,5.942638389,7.126093946,6.2696480308,6.80402066425,9.740911174,8.06895283033,7.288038103,6.26887747967,8.275073194,8.035975337,4.8317607205,7.935549803,6.617140962,12.07257321,6.243750589,6.60179747,10.2807653,11.02832761,6.482691508,6.04843851,8.5167067915,6.513574141,11.338476545,8.11094053067,11.198356615,6.234487549,10.94914844,6.94614165833,7.156085921,12.75184948,6.316874894,9.834408286,5.785037344,8.515433634,9.280236709,10.53833958,9.330839099,14.49928798,10.63348296,4.730656095,7.22912163867,8.9013859115,5.2594447425,9.596027176,6.18913825,10.3325384797,9.7908854805,14.52431873,9.01275273233,9.515168153,8.927023183,12.03758051,8.874398256,9.290572499,13.69550076,6.570846646,9.809000815,5.014814152,5.6771915915,11.70577504,7.413926432,7.03238297825,12.80365393,BRCA
12.14356347,7.022262725,7.201491944,9.144327561,6.327333135,9.0089772035,7.444988463,11.18856429,12.80254267,12.98230153,5.941641146,6.25068708814,6.2848404562,6.3257817405,9.510601559,8.41389790167,6.64393238,5.89010381667,8.08464112175,8.460124816,5.186514179,7.68113495,6.187258653,12.17972416,6.248929103,6.7426452755,10.1682337,10.65863127,5.838328613,6.252954533,8.468887702,5.963942952,10.021899053,7.98209816267,11.274247985,6.708398067,10.74552751,6.773314497,6.369340517,12.748840355,6.097511381,9.905109092,6.00254861525,8.52603302833,9.422761191,10.65628209,9.868360018,11.1284900313,8.074715335,4.766080198,6.91032494133,8.417672848,5.361841212,10.09834176,5.673352364,9.576518828,8.76925178,12.912810505,8.737483073,9.057775928,8.724992221,12.42457843,9.521502846,9.512108899,14.12961268,7.162091995,9.305851495,5.346612346,5.6326827355,11.19831015,7.925926933,6.55593589375,12.55838012,Control
12.43921023,6.9348426826,7.8104902422,9.58528234,6.429955363,9.6688997565,8.520100527,11.26326937,12.57220763,12.901448725,5.841099622,7.18244667671,6.5924215122,6.78190965925,10.27748534,8.097692024,8.178442174,6.706029596,8.34620788925,8.3454203835,5.282046476,7.919550328,6.468750795,12.74633592,6.097300677,6.7719424625,9.769929197,11.06244102,5.978202066,5.850631456,6.8894093365,6.850377908,11.028609505,7.82991936767,11.21839075,6.114372881,11.08348284,6.95957036867,7.789437666,12.62687432,6.200413743,9.638590278,5.721517129,8.52308099,9.29741101033,10.3594479,8.752532121,14.66759481,9.664341897,5.305251227,6.72839437467,9.2133861525,5.7593689035,10.14243933,6.53056679,10.893048167,10.1686366885,14.515533555,8.90807702667,9.305475333,9.180823621,12.28676141,9.106668358,9.488543691,13.52549699,6.308617188,10.42552569,5.468103682,5.473898856,11.62848212,7.414898982,6.99171327025,12.44726543,BRCA
11.48919834,7.4484754452,8.3400575382,9.685318716,7.158562039,9.509274839,8.51193804167,10.60490092,11.95277228,13.345227255,5.989145395,7.271366378,6.4886357234,7.10041818325,9.934575887,8.12132754867,8.152134131,7.05955089,8.716652398,8.4466293725,5.136521652,9.087722135,6.511519926,13.08540943,6.973499708,6.996606232,10.22471354,11.60575973,6.638801971,6.264635533,8.097828749,6.761887351,10.98222086,8.18650002,11.07534033,6.246603446,11.71457622,7.329467798,8.91139283,12.43708136,6.841316277,10.80793066,5.75476285725,9.44234958633,9.14697742367,10.47450477,7.941137313,15.0760746733,9.356738977,6.146803484,6.38912935567,9.9163703245,5.46848766233,8.429543916,6.537921615,11.242027743,10.65238272,14.9749406,9.82544504333,9.216237264,9.552621611,11.86752597,8.262201898,8.234483507,13.39262134,6.448203566,10.7254091,5.694818396,5.2548835515,12.05670215,7.670870646,7.00999639125,13.02343475,BRCA
12.10791023,6.713013424,8.0118703498,8.268461442,7.508450689,9.006275549,7.90176327133,10.46083242,12.14433968,12.567749395,5.899484569,6.587592285,6.3745823812,6.9842760015,10.17277787,8.122738224,6.769246515,6.91813654967,8.39165280725,9.9586772805,5.162107613,7.203154957,6.512547399,12.27941189,7.688567011,6.786368352,10.43082915,10.12003731,6.272028439,6.518854253,8.8341510175,6.28540742,9.645270522,8.451561107,11.151396135,5.682019293,10.92879244,7.417935019,6.156291057,11.66732817,6.11442494,9.105149732,5.33596100175,8.56421940767,9.62804284167,10.71717755,9.25803663,10.2940315303,9.5314514485,5.209854193,7.54701473933,8.575344218,5.8858777265,11.59635064,7.387675143,10.2865973123,8.692626511,13.05627132,9.11190392067,9.490330011,8.18992476,13.01183005,9.802294663,9.001071145,14.57543497,6.401567006,9.083067818,6.038980014,5.462605335,10.73380366,8.583798412,7.10702874775,11.40859261,BRCA
10.8300717,6.7917732254,7.7903724246,9.402511748,6.24289363,8.7304792815,8.330459995,10.87420354,12.64414927,12.832913565,6.084708086,7.12159637657,6.182989157,6.998917209,9.744439113,7.79389694967,7.946308499,6.477000624,8.80415305075,8.4878315945,5.3039740435,7.320803087,5.826809832,11.89259415,6.18448425,6.47982421,10.42491714,10.90767581,5.651777341,6.355928609,8.155621054,6.051486983,11.55447771,8.171538624,11.40345044,6.007201809,10.68230579,7.27179105267,8.872275583,11.79348819,6.037278568,10.787358,5.25640052575,8.80281133533,8.82865486733,10.03012262,8.339650867,14.9143649833,11.12430342,5.427112717,7.00963552967,8.9471097785,5.48916194417,9.218358063,6.018039483,10.851322655,10.38864548,14.795549445,9.380750741,9.600610375,8.84840474,11.29220962,7.68113495,8.191603516,12.86342169,6.884418198,9.918028798,5.853628472,5.438280489,11.5141002,8.152476418,7.09973287325,12.40979539,Control
11.85977947,7.1341541558,7.4007412088,9.337187648,6.949946687,9.1075112315,8.343961905,10.86754538,12.53119874,12.876117185,5.789736585,7.27824373014,6.4813948162,6.85070537275,9.125801619,8.019000875,7.775645051,5.68970163167,8.0162301535,7.714322137,5.084708589,7.809255459,5.887653968,12.60350703,6.385953509,6.895004248,10.30035288,11.18856429,5.995038554,5.833276737,7.9414165605,6.94204856,11.549614035,7.91861634733,10.99057863,6.440873838,10.78374334,6.87905191167,7.921887229,12.484417515,6.494380106,9.941260812,5.7172838405,9.02423309467,9.29235500067,10.26043183,8.940035402,15.0102008533,10.0166121225,5.210049084,6.85674479767,9.204869818,5.40220329333,9.080831598,6.385953509,10.487156052,9.931861128,14.61562869,9.253283331,8.933366916,9.527448232,11.8267889,8.47004987,9.202332696,13.11510467,6.341457111,10.28837619,5.529517425,5.5683801275,11.6557522,7.165914764,7.18183415025,12.47414328,BRCA
12.28491381,7.0933870746,8.4197805262,9.459872723,6.74143707,9.532397347,7.705001504,10.79666855,12.41833894,12.710907205,5.69321599,6.66799436186,6.5779264378,6.30061577025,9.827664684,7.913761785,7.174454171,6.59057193467,8.42904151725,9.012490288,5.596049021,8.284894788,6.078850631,12.28213433,6.25333282,6.7272770485,10.53162541,10.84298691,5.819036642,5.997750375,7.841531879,7.370646272,10.628681155,7.74245236133,11.551814785,6.536368163,11.13901746,6.98522982867,7.336866073,12.770755465,6.184285874,10.17606751,5.76865980625,8.801573127,9.23513699733,9.886672502,8.620294181,14.4683583733,8.819358363,4.596397442,6.973025285,8.9430429875,5.292395849,9.445998278,6.276734513,10.2302503277,9.574496847,14.06674172,8.70731128767,8.952028549,8.558077339,12.45248586,9.038233906,8.92018991,13.75810714,6.908516092,9.733392952,5.524354632,5.001086456,11.21515091,7.65478123,7.09000222,12.68293541,BRCA
