@relation thedata

@attribute 51085 real
@attribute 5207 real
@attribute 5208 real
@attribute 5209 real
@attribute 5210 real
@attribute 5515 real
@attribute 5516 real
@attribute 5518 real
@attribute 5519 real
@attribute 5528 real
@attribute DependentVariable {BRCA,Control}

@data
9.8422378125,8.302274634,5.89793947733,12.860869275,8.144302782,11.688477345,8.82094285433,12.47196608,8.486261975,7.96756283667,Control
9.8637952495,7.339674386,6.00853079767,11.395106815,8.962058135,11.725137905,8.45745837133,12.56790862,7.037171767,7.44463675467,BRCA
7.3587319895,6.172033026,6.62894661367,10.58756278,9.069866689,11.639330205,8.297715334,12.66850837,6.469405549,7.775337819,BRCA
9.248497936,8.010459746,6.33544587,11.0525900495,9.566083123,11.80875598,7.178084026,12.57347448,7.27396389367,7.15936184067,Control
8.110729287,6.829662885,6.36337141333,12.04429709,8.311874446,11.458095575,8.52183209933,12.75620088,7.069555338,7.58979746267,BRCA
8.5017205815,6.745207494,6.54453151733,11.983715765,8.879339047,12.40345346,9.370871616,12.86342169,7.561705909,7.917623909,BRCA
6.798508101,5.155031965,5.731491637,9.850373524,9.981439248,12.072677105,7.46461112133,12.04072818,6.68902141267,7.05650117433,BRCA
7.889339584,6.732001603,6.087816793,11.298284455,8.078592657,11.932399345,9.17209626933,12.30526243,7.08180120033,7.630858662,Control
7.154996642,5.977400858,6.26309315467,11.507428945,8.302091812,11.55756824,8.63116965933,12.62816419,6.71771492967,7.539110223,BRCA
9.1189615105,8.431122648,6.37934042267,11.232332545,9.062910366,11.593713005,8.44322777467,12.69546762,8.46005630567,7.42782175433,BRCA
9.7256882035,8.324744376,6.103133411,10.961812267,8.455040631,11.25085226,8.16934643067,12.7003986,8.21155236,7.76578908133,BRCA
8.9980441765,7.821807658,6.64747643967,11.70917814,8.33670864,11.817863435,8.800541064,12.31595909,7.38821850733,7.47167449833,Control
10.2845254015,8.547261958,6.211690882,12.743131755,7.987919294,11.68167441,8.77440562733,12.40526256,8.586240551,7.97689047067,Control
9.6551750455,7.697873054,6.552126854,10.938707434,9.10528726,11.736023615,8.70510697067,12.89109452,6.82775403067,7.67746532633,BRCA
8.594977321,7.567216718,6.50797233933,11.42927823,9.500653254,11.7690989,8.474468248,12.63275562,7.51099557433,7.38802305667,BRCA
7.98045235,6.763946394,6.484659393,10.7152440105,9.275589767,11.54137497,8.202123709,12.76004735,6.629468797,7.40432172967,BRCA
7.9758065565,7.037687304,6.55113829467,10.719947743,9.32873165,11.71439964,8.527860513,13.06629278,6.60952083033,7.63460766867,BRCA
8.480780422,7.843483192,6.656141449,10.931663923,8.909121384,11.698874855,8.05470427767,13.11037161,7.377204594,7.48674032467,BRCA
7.9293350295,6.427443278,6.577842161,11.41841943,8.921618659,11.60967717,8.62611672467,13.12486126,6.93058673833,8.00883452333,BRCA
10.1106294565,8.158535374,6.22984031133,11.913684245,9.332881953,9.2723260095,9.02082982733,13.32349748,6.741190456,7.588837224,BRCA
