@relation thedata

@attribute 10746 real
@attribute 11221 real
@attribute 1386 real
@attribute 1647 real
@attribute 1738 real
@attribute 1846 real
@attribute 1850 real
@attribute 207 real
@attribute 2549 real
@attribute 2645 real
@attribute 3554 real
@attribute 3725 real
@attribute 4214 real
@attribute 4215 real
@attribute 4216 real
@attribute 4217 real
@attribute 4293 real
@attribute 4294 real
@attribute 4296 real
@attribute 4775 real
@attribute 5069 real
@attribute 50804 real
@attribute 51776 real
@attribute 5598 real
@attribute 5599 real
@attribute 5601 real
@attribute 5602 real
@attribute 5607 real
@attribute 5609 real
@attribute 6416 real
@attribute 6464 real
@attribute 6885 real
@attribute 7157 real
@attribute 7182 real
@attribute 7189 real
@attribute 7786 real
@attribute 9175 real
@attribute 998 real
@attribute DependentVariable {BRCA,Control}

@data
7.5897722855,7.24433684825,8.727649179,10.62754363,9.213761077,7.713639689,9.477526124,9.746089281,6.11877664633,5.30303857733,6.981713185,14.72492149,10.46146439,7.727140233,8.1704885395,9.636896969,6.186565552,6.319315918,9.485326755,7.5492931052,6.615927983,5.802717488,9.063106541,7.03030591433,5.939777752,7.621649748,6.7523535558,6.92162116733,7.887344199,8.585478725,9.15105029633,9.487800372,8.333402628,6.322383937,7.37822060033,6.350767395,6.840309404,7.16387589625,Control
7.254019895,7.38113434875,7.390558334,9.28877759,8.711943205,7.9725748555,11.32101501,9.68028616833,5.87580800833,5.53179062767,6.464101029,14.11502538,11.6627575,7.609246281,8.036449489,9.908805826,6.680926028,5.452044542,9.912253574,7.2620358308,6.436841129,5.091500179,8.63380391,7.157624222,5.0886580415,7.563421716,6.347242776,7.31862520433,7.798165773,8.106593131,8.42779587067,9.4310771815,8.508984299,7.151552216,7.05787236967,6.678780134,8.036999319,7.17118701125,BRCA
7.099749051,6.228517484,7.432878264,10.689909005,8.729281802,8.42336365,10.24783886,9.69256516467,5.489172308,5.131792113,5.697600956,14.41297137,11.77105209,7.4638150875,8.1426863055,9.513535713,7.087943107,5.583918611,9.785984134,7.332988387,5.661572365,5.316879984,8.24960448767,6.689778979,5.6701097255,7.8060539105,5.84197348,7.23629484767,8.166013814,8.6701660175,8.45925672733,8.9013859115,9.660905593,6.690001901,7.01943370733,6.791654965,7.348642132,7.03238297825,BRCA
7.2297368405,5.98703599375,6.4694836,8.5101240955,8.239194094,6.4582917475,11.44994835,9.98949733167,5.427851752,5.41224549733,6.135766351,14.08054111,12.00382718,6.539903837,8.3087359185,10.2853274,7.290182754,5.759562832,10.257618,7.1860203686,5.68566776,6.078210195,7.46867241733,7.046663354,5.7758281875,6.9189611885,6.4393043462,7.62681052767,8.473463378,8.231806127,7.73867912133,8.417672848,8.338826757,8.078352484,6.46814411567,7.279381043,8.324001746,6.55593589375,Control
7.7935442875,6.9677448165,7.558059277,8.93817669,9.505246433,8.0824437485,10.85788793,9.506100771,5.95688781033,5.381060378,6.5434229,13.43392773,11.72645885,7.0459737065,8.2072773585,9.842350785,7.144329712,4.638105195,9.757873796,7.5168645844,6.128979632,5.203505846,8.60843887267,6.79859870533,5.704258658,8.1880407455,6.3743216144,7.30377612233,8.264326623,8.6043275615,8.10318445333,9.2133861525,9.701150974,6.506054132,7.059741909,6.571984385,7.573687183,6.99171327025,BRCA
7.841849263,7.716286818,8.61053686,10.2133474445,10.04101607,9.518144322,9.697098373,9.688092646,6.364237361,4.78029427967,6.777719287,13.80946823,11.51112271,7.516631177,8.3583418895,9.445998278,7.1507656,5.572291894,9.354624679,7.5289073748,6.112601751,5.828841787,9.02138476733,6.70524643733,6.517858181,8.3174977465,6.511764621,7.05307250933,7.443878302,8.9337864765,8.70127661067,9.9163703245,8.868576523,6.678498469,7.331943975,6.410964842,6.97665326,7.00999639125,BRCA
7.727730022,7.09236880775,6.689582656,10.24418129,7.325532861,7.717614527,11.89497319,10.0480993307,5.846801913,5.24441804267,5.672857555,13.91249272,12.26224618,6.6799591085,7.890181034,10.88558411,5.701348918,5.46859248,9.76328754,7.3270793584,5.375918034,5.520352508,7.745457282,7.32404088833,5.6011167705,6.747341416,5.495877927,7.036661383,8.963388234,8.457614913,8.36198243367,8.575344218,8.315445233,8.246765682,6.42166024533,7.108213734,9.309829381,7.10702874775,BRCA
6.266308923,7.05708291225,8.441575941,11.003760265,9.130455455,8.2197528715,8.568565267,9.436876068,6.14872126967,5.44014183767,6.218786615,13.96294256,10.99477083,7.490035246,8.068051145,8.478204487,6.222848625,5.659219053,9.31805757,7.3160751194,6.784605811,5.330209918,8.88402296867,7.14839452233,5.401013329,7.762308173,6.3190254744,6.796289882,8.267911597,8.519260169,8.53051419067,8.9471097785,8.92056956,6.211553127,7.018808194,6.456769707,6.32224872,7.09973287325,Control
7.4878088285,7.309174729,7.598929252,9.09608678,9.439182162,8.864788033,9.629630344,9.58057105933,5.98389700833,5.20127672467,6.279801496,14.44356588,11.9611296,7.0317903905,8.154143817,9.024350935,7.383015446,5.553676326,9.421602612,7.4954770344,6.276967088,5.758164072,8.46780249033,6.63685147833,5.8779809975,8.3694050275,6.1710283688,7.59891329933,8.382668468,8.505661469,8.16926655967,9.204869818,9.680166591,6.792989118,7.05702786333,6.227476961,7.261274872,7.18183415025,BRCA
7.381040729,6.59699370975,6.79980331,8.880544262,8.94941173,8.0649007185,10.49207878,9.75364579767,5.85947821333,5.52820953933,6.854778406,13.15952927,11.43790563,6.992861854,8.281412746,9.918602815,7.803584057,5.630093262,9.980729078,7.6296535984,6.026142315,5.582714993,8.481048456,6.691964128,5.5839936855,7.524249938,6.6645194764,7.51244247967,8.896605722,8.616861979,8.39504068233,8.9430429875,7.766597025,6.593283266,6.71155131933,6.98547517,8.338291947,7.09000222,BRCA
