@relation thedata

@attribute 1282 real
@attribute 1284 real
@attribute 1285 real
@attribute 1286 real
@attribute 1287 real
@attribute 1288 real
@attribute 2149 real
@attribute 2153 real
@attribute 2157 real
@attribute 2158 real
@attribute 2159 real
@attribute 2160 real
@attribute 2161 real
@attribute 2243 real
@attribute 2244 real
@attribute 2266 real
@attribute 3818 real
@attribute 3827 real
@attribute 462 real
@attribute 5624 real
@attribute 5627 real
@attribute 710 real
@attribute DependentVariable {BRCA,Control}

@data
13.17957018,10.06394142,5.5662848295,5.323380202,8.7528568605,6.22269146867,11.7906038575,6.186565552,6.7050653335,5.443947436,8.701749275,5.7619906325,7.190568257,6.212296819,5.66197871,5.61663289,5.983342088,5.6227922,5.28356184,4.850263431,12.29448586,9.6511123165,Control
12.03104303,9.662846866,5.521636581,4.783471516,8.456458626,5.50909937167,11.750443977,6.175530214,5.870139424,5.956411734,7.877531272,5.346055261,8.301794677,5.7937330178,5.223664671,5.08042485533,5.887288406,5.313618859,5.214524337,4.06456111,12.39041358,9.1528763845,BRCA
10.65812692,8.511012465,5.6717042015,5.395243853,9.016602648,6.32727236533,11.386995669,5.989656332,6.17879070775,5.503993644,6.401780305,5.6687672635,8.66705043,5.862260741,5.7185873855,5.12813079533,6.059188284,4.98710623,4.96764272,5.857490426,11.62074231,8.8817688625,BRCA
12.43530962,9.841761329,5.6567520235,5.754627826,8.5825771995,6.12400306867,10.928805556,5.899786645,5.7388006725,5.243946308,5.763551833,5.7971553895,9.287147382,6.142895466,6.1111201375,5.394216664,6.311526388,5.494744603,4.628224624,4.845002284,11.6659178,8.821092343,Control
11.48468963,9.517187651,5.406455813,5.806975681,8.0194344075,5.820521944,11.7514471335,6.128979632,6.43636971125,5.391468086,6.53056679,5.189254443,8.465740992,6.0545063174,5.524787686,5.16471474267,6.219416008,4.968564562,5.394386591,4.906423146,11.67950002,9.1025596075,BRCA
12.15911615,9.981902989,5.372043052,5.80774855,9.089106031,5.81522003967,12.191046306,6.249071368,6.644667242,5.226326687,7.484220974,5.4087702635,7.543536723,6.1325254104,5.8811445325,4.86237598533,6.244178877,4.846131289,5.070616072,5.499695432,12.26341894,8.9754783835,BRCA
12.70613234,10.24008207,5.293021282,5.779661087,8.784683382,5.76016431267,12.426379765,6.067010094,6.11671554125,5.418536788,8.609253665,6.005685044,9.362470505,5.8629718688,5.5239862235,5.183358411,6.64810992,4.846005888,5.219373048,5.019714421,12.53522562,8.925445463,BRCA
12.13864308,9.484486155,5.8644482025,4.923875634,9.583290087,6.17054467033,12.080271783,5.559423936,6.62473679025,5.212093857,9.342497592,5.607798524,8.197119763,6.2905934128,6.0018505655,5.73127573267,6.24289363,5.110625549,5.2209212,5.555364666,12.41967063,9.438031278,Control
11.59733576,9.528835552,5.8691149425,5.641409649,8.916717513,5.627103762,11.6814712815,6.081356272,6.382479944,5.522472662,6.982426435,5.601511002,9.013574704,5.777716958,5.5854962715,4.90385191767,6.172933113,5.057570761,5.007656643,5.015037253,11.60505131,8.7430805635,BRCA
12.32198735,9.798480357,5.873255617,5.853503721,8.383828745,5.95411342967,11.2871386965,6.274406692,6.1460391455,5.34483848,6.842950948,5.272661299,7.871814585,5.834084272,5.882017596,5.373245961,6.268944869,4.753833848,4.827579315,5.28356184,11.24631027,9.031066788,BRCA
12.04226139,9.95258151,5.790232062,6.1022441,7.5747111425,5.596975461,11.75733557,6.209263877,6.31647721525,5.418705435,9.362086899,5.588446105,8.566416689,5.8878688452,5.589234893,5.10876104267,6.298205225,6.157150477,5.167429435,4.832651143,11.99760301,9.721075938,BRCA
12.57561022,9.847234001,5.573893621,5.137105138,8.892008195,5.920923915,11.9564860075,6.199285243,6.85286268525,5.37574431,7.774854787,5.6995932365,7.718363553,5.890793344,5.3609119885,5.33171452,6.274732813,5.298668624,5.622060057,5.091923254,12.07828769,9.2349913925,Control
13.18229429,10.72100969,5.8254393855,5.397898131,8.6811245715,5.92918940233,11.749596883,6.469890553,7.106402131,5.346257748,8.226967397,5.61522276,7.978740664,5.9960739032,5.578027233,5.43919162867,5.897247233,4.699347423,4.944168843,4.944168843,12.10010062,9.5884618825,Control
11.83486615,9.637567286,6.076605462,5.057462456,10.4345005835,6.265588094,10.9551055265,6.499252446,6.641701621,5.592016873,7.566817294,5.343361147,7.97625067,5.8533394194,5.7407899085,5.244861722,6.836117042,5.387510099,4.872103847,4.700318863,11.32848436,9.58490841,BRCA
13.95070399,11.14837189,6.0934717055,5.461570507,10.439916445,5.798142002,12.47184107,6.993564335,6.77862712175,4.939004665,7.69122204,5.342631537,7.60485179,6.6576685756,7.706848707,5.892500193,6.785194558,5.149758548,5.23994335,5.31307462,12.22502371,9.13890811,BRCA
11.78375755,10.08948727,6.4729748835,5.088535181,10.1133745185,6.33121760033,11.106139519,6.345809388,6.47275380575,5.933933296,8.14949453,5.5567976915,8.254711101,5.871486022,5.679065704,5.01693401867,6.993281271,5.383541223,4.649642211,4.795210185,11.78049682,9.3611948655,BRCA
