@relation thedata

@attribute 1020 real
@attribute 10681 real
@attribute 107 real
@attribute 108 real
@attribute 109 real
@attribute 111 real
@attribute 112 real
@attribute 113 real
@attribute 114 real
@attribute 115 real
@attribute 1385 real
@attribute 156 real
@attribute 196883 real
@attribute 23236 real
@attribute 2767 real
@attribute 2769 real
@attribute 2770 real
@attribute 2771 real
@attribute 2773 real
@attribute 2774 real
@attribute 2775 real
@attribute 2776 real
@attribute 2779 real
@attribute 2780 real
@attribute 2781 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 346562 real
@attribute 3708 real
@attribute 3709 real
@attribute 3710 real
@attribute 4988 real
@attribute 5136 real
@attribute 5137 real
@attribute 5141 real
@attribute 5142 real
@attribute 5143 real
@attribute 5144 real
@attribute 5153 real
@attribute 5173 real
@attribute 51764 real
@attribute 5321 real
@attribute 5330 real
@attribute 5331 real
@attribute 5332 real
@attribute 54331 real
@attribute 5443 real
@attribute 5499 real
@attribute 5515 real
@attribute 5516 real
@attribute 5518 real
@attribute 5519 real
@attribute 5528 real
@attribute 5530 real
@attribute 5532 real
@attribute 5533 real
@attribute 5534 real
@attribute 5566 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 55811 real
@attribute 55970 real
@attribute 59345 real
@attribute 801 real
@attribute 805 real
@attribute 808 real
@attribute 814 real
@attribute 84152 real
@attribute 94235 real
@attribute 9630 real
@attribute DependentVariable {BRCA,Control}

@data
7.99887404,6.888464479,8.2081635635,7.149597572,12.63069834,6.614529956,10.327292123,7.377212971,5.645450388,8.748277668,10.707890538,4.673577309,10.97207892,6.8772890085,12.11539657,8.935666829,7.1915641815,11.95442182,8.056110832,5.87181796667,5.32399731333,9.668318219,6.0910670075,5.952107108,5.539477758,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.05290182,10.99802289,9.844635599,11.35799469,5.33752469283,7.51070125725,6.400884238,5.916841601,7.0086621455,9.970837406,7.479903767,7.91184304,6.173532859,5.232287804,5.689167221,7.476788978,5.876585242,6.9141724395,9.177283189,6.17142705,9.5855365545,11.688477345,8.82094285433,12.47196608,8.486261975,7.96756283667,7.181967161,11.8054921,9.584314798,11.95847307,6.36946717,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,4.917445181,10.1038422,7.4230773135,13.11037161,13.59313376,12.33572539,5.12403454,8.290350062,5.641987591,6.639670365,Control
7.779327238,7.24025073833,6.3425008425,6.461320332,13.03258307,5.841225451,10.2384186075,7.013074525,5.65593226,8.080472632,11.4528809893,4.771900633,10.9073904,6.8906417385,12.64178371,9.171240063,6.0573658185,11.95691889,8.621833133,5.97456910267,5.80333317067,8.930930318,5.978911191,7.124305192,5.442455259,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.4319186925,10.75503384,9.525335383,12.08864757,5.23353476233,7.302862322,5.76593995,5.808134829,7.6260947615,10.3592945595,6.790124051,6.962552276,5.672079654,5.31868854,5.663779561,7.453231788,6.036839159,7.100683958,7.381134364,6.1866653115,9.3156588355,11.725137905,8.45745837133,12.56790862,7.037171767,7.44463675467,7.328338472,11.54241539,9.028818534,11.93616504,6.0929297895,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,5.091500179,9.681370693,8.3643319965,12.75620088,13.5121695,12.47764072,5.020239923,8.22362460033,5.277995204,5.605858198,BRCA
8.635084252,6.84021840933,7.5711783515,6.767195028,12.19349773,6.323194968,9.769915947,7.338293201,6.0290173,8.026856932,10.8440250817,4.95444207,9.496554786,6.771545835,12.18094263,9.060122471,5.457103785,11.84327345,8.38961104,5.83721516933,5.697396068,9.213384421,5.682511268,6.528849161,6.16058305,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,4.929278405,11.137683,10.74066222,12.01135666,5.451595897,5.959958017,6.385953509,5.788040457,7.5927457605,9.5510153285,6.283834401,6.804231473,6.577621898,5.206732344,5.682862067,7.462177348,5.98687237,6.8982166245,6.36768175,5.8836651175,9.882436552,11.639330205,8.297715334,12.66850837,6.469405549,7.775337819,7.238491368,11.24175993,8.789730168,11.74088764,5.9034588485,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,5.515393331,9.362086899,7.196995946,12.13760287,13.47944813,12.54827894,4.850435434,9.05380610433,5.72110688,5.95414468,BRCA
8.620477476,6.610917172,7.0913602235,6.763813641,12.23565236,6.331145921,10.3820872935,7.478529234,5.876032641,8.120096744,11.337274206,5.182703468,10.39270411,7.226006717,12.07926902,9.612320761,5.725019338,11.56304622,8.480952861,5.83686306467,5.12699757367,7.435526765,5.8427422035,7.138991368,5.150368004,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,4.7652595985,10.00164081,9.439182162,11.97218475,5.42444445367,6.01900601475,5.956702124,6.20496783,7.28363888025,9.922303231,5.797150007,6.450638557,6.060593939,4.790526167,5.460424154,7.601141445,6.1476177,7.2768077175,4.851263383,5.826429837,9.0515971275,11.80875598,7.178084026,12.57347448,7.27396389367,7.15936184067,6.422323287,11.56978693,8.74769044,11.09993968,6.323322532,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,5.224205518,7.986995525,6.7231615275,12.20536419,13.35270561,12.76004735,4.9603811275,8.43667429067,5.842043069,5.391983545,Control
8.40571707,6.84786461333,7.084991265,6.854560258,12.7347446,5.680472929,9.671974648,7.297193996,5.824138541,8.28785217,11.0490871027,4.778486368,9.358629843,6.848015995,12.56435203,9.312021348,6.8901006515,12.12850358,7.944479462,6.009193146,5.43099958733,9.924501194,6.1813963545,6.147515948,5.213747029,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,4.8221372515,10.864964,9.689574849,11.58766984,5.28590037233,6.74562531875,5.699476154,6.152036976,7.98537344725,9.822630009,6.745106629,6.344522837,5.671725924,4.850263431,5.599028548,6.773076963,5.887775801,6.6548276045,7.573687183,6.1219312495,9.717115444,11.458095575,8.52183209933,12.75620088,7.069555338,7.58979746267,7.7125980515,11.00452968,9.157246578,11.83833739,6.52394041,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,6.212477538,9.546605663,9.010303599,12.34682957,13.37889296,12.45248586,4.957250341,9.14056430033,5.615159695,6.316965376,BRCA
7.79902435,6.695170111,6.50402659,6.543500233,12.65857307,6.872247394,9.753034207,7.806535324,6.352798794,8.529822044,10.8002004453,4.950248224,10.16002932,6.727722821,12.03287579,9.80023708,6.5536864175,11.63993091,8.556449653,5.95830637067,5.06825095367,10.54993411,5.9861867665,6.381893849,4.181466234,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.2181527295,11.45443311,9.814991395,12.06588572,4.97932348467,7.72772594175,6.304424909,6.088423213,8.29800503325,9.8734032605,7.562015554,6.787253282,6.073612065,5.178725843,6.376000002,7.658927519,5.94872421,6.9752829565,8.547261958,5.74631893,10.080564477,12.40345346,9.370871616,12.86342169,7.561705909,7.917623909,7.745704965,11.73619062,9.836169177,12.08138533,5.9174340255,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,5.294814856,11.06412655,7.9243325035,13.11510467,13.71343219,12.66384721,4.630667642,8.24528599467,5.093825554,6.506966537,BRCA
7.838134167,7.252915346,6.201503818,6.456482249,13.34505663,5.057462456,9.1297731835,7.967285529,5.779661087,8.167494826,11.1354255073,4.95444207,9.341019005,7.4861886795,12.83993603,9.550891589,5.366277458,11.48011881,8.162543804,5.627851163,5.72716198833,7.39744174,6.4506964585,5.528580108,5.981059894,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,4.851344315,9.557684409,7.511675823,12.23463043,5.26675186,6.68615010625,5.961514085,5.268482349,6.906668604,10.250764182,5.626739362,7.029787251,5.907137786,4.959319531,5.333433796,6.111350232,5.48205062,6.945356743,6.049582442,5.964404679,8.7738660505,12.072677105,7.46461112133,12.04072818,6.68902141267,7.05650117433,6.5896621115,11.41213066,7.747456426,11.2413041,6.330484187,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,6.381677589,9.132211242,8.7523926965,12.34260121,13.29267684,12.61750082,5.102706884,8.37808477567,5.486079796,5.583918611,BRCA
8.301794677,6.439102376,7.6188571805,7.109938036,12.39966386,6.091811548,9.643814388,7.667823176,5.862458365,8.80888466,10.258386433,4.584732512,9.812386363,6.719520862,11.35299256,9.068624547,6.2928801065,11.95442182,8.2669635,5.686055121,5.32302536333,9.665460782,6.0383772225,5.190033289,5.212093857,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,4.7814393755,10.66388964,9.583290187,11.37383049,5.52115353117,7.47864321375,6.238171237,6.001358226,7.5559315745,9.6349655985,7.368487091,7.120344487,5.571078532,5.229406468,5.891304496,6.898937271,6.202570157,6.5861642735,8.11035427,5.404807758,9.8100499835,11.932399345,9.17209626933,12.30526243,7.08180120033,7.630858662,7.480559564,11.39154181,9.508320259,11.67233485,5.9718598575,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,6.222848625,10.18190731,7.0132000305,12.57155186,13.44200721,12.74796537,4.781675766,8.46741775967,5.42266296,6.749873197,Control
8.878166757,6.907508702,8.092918242,6.816347305,12.05932765,6.099511534,9.557649091,7.357466507,5.813403636,8.17986074,10.6759547673,4.931459981,9.898586698,6.995146243,12.07015459,9.270663911,6.2675959045,11.46383867,8.546914832,5.66709768233,5.793978829,9.303998235,6.1629603705,5.927666126,5.570167841,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,4.972818254,10.78521972,10.67301333,11.74966846,5.27747319783,6.33624571475,6.101403861,6.319315918,7.849210548,9.629076299,6.557123331,6.507997257,5.247558487,5.411944154,5.847816088,7.321975714,5.352274105,7.024481502,6.738839176,6.2184456665,10.06551331,11.55756824,8.63116965933,12.62816419,6.71771492967,7.539110223,7.5245411315,10.77439198,9.212004536,11.67233485,6.3825279205,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,5.287261033,9.085353696,7.2793614545,12.3148028,13.70458133,12.4865699,4.710335668,8.82541069933,5.104977394,6.020263967,BRCA
8.725767673,6.995387545,7.599297253,7.016310012,11.61491238,6.072647808,10.0619138165,7.247645413,5.659004925,8.633940747,11.1110274023,4.067773563,9.608828239,6.432879816,12.53965448,8.89464433,6.489380715,11.67867508,8.628081972,5.81929786033,5.527496062,8.352640608,6.0702674705,5.797150007,5.582714993,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,4.9939534825,11.44285036,9.67905828,11.77144213,5.16983089517,6.29758044475,5.906897358,5.717272857,7.03517084,9.868581196,6.236976265,6.425178655,5.637647374,4.607083101,5.838328613,7.469827229,5.586623085,7.1430110225,7.211063618,5.8213620425,9.747962555,11.593713005,8.44322777467,12.69546762,8.46005630567,7.42782175433,7.3344224225,11.36752411,9.015945424,11.71789713,6.3457281585,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,5.312893162,8.350852048,7.9356885615,12.71572616,13.30755735,12.57561022,4.9414115465,8.33971659633,5.034976365,5.69321599,BRCA
