@relation thedata

@attribute 10672 real
@attribute 10681 real
@attribute 2767 real
@attribute 2769 real
@attribute 2776 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 51764 real
@attribute 54331 real
@attribute 55970 real
@attribute 59345 real
@attribute 6915 real
@attribute 94235 real
@attribute 9630 real
@attribute DependentVariable {BRCA,Control}

@data
8.4534541335,6.888464479,12.11539657,8.935666829,9.668318219,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.232287804,9.177283189,10.1038422,7.4230773135,5.45627725533,5.641987591,6.639670365,Control
8.420983873,7.24025073833,12.64178371,9.171240063,8.930930318,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.31868854,7.381134364,9.681370693,8.3643319965,5.34176664833,5.277995204,5.605858198,BRCA
8.355686187,6.84021840933,12.18094263,9.060122471,9.213384421,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,5.206732344,6.36768175,9.362086899,7.196995946,5.05988235767,5.72110688,5.95414468,BRCA
8.470632059,6.610917172,12.07926902,9.612320761,7.435526765,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,4.790526167,4.851263383,7.986995525,6.7231615275,5.27411230067,5.842043069,5.391983545,Control
9.0143276255,6.84786461333,12.56435203,9.312021348,9.924501194,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,4.850263431,7.573687183,9.546605663,9.010303599,5.33256408333,5.615159695,6.316965376,BRCA
9.5554462935,6.695170111,12.03287579,9.80023708,10.54993411,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.178725843,8.547261958,11.06412655,7.9243325035,5.480868779,5.093825554,6.506966537,BRCA
8.505339801,7.252915346,12.83993603,9.550891589,7.39744174,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,4.959319531,6.049582442,9.132211242,8.7523926965,6.24835161833,5.486079796,5.583918611,BRCA
8.291126504,6.439102376,11.35299256,9.068624547,9.665460782,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,5.229406468,8.11035427,10.18190731,7.0132000305,5.52508715367,5.42266296,6.749873197,Control
8.848894832,6.907508702,12.07015459,9.270663911,9.303998235,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,5.411944154,6.738839176,9.085353696,7.2793614545,5.74249156433,5.104977394,6.020263967,BRCA
8.389578647,6.995387545,12.53965448,8.89464433,8.352640608,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,4.607083101,7.211063618,8.350852048,7.9356885615,5.11583337933,5.034976365,5.69321599,BRCA
8.5717472095,6.97244898767,11.36612562,9.246622521,6.808774778,13.00161496,9.350724377,6.530878866,5.346435058,6.298205225,8.442664802,9.226485123,8.286304921,12.94317143,5.704879743,5.994246645,5.452703528,7.365471921,7.23239964,7.5026355755,5.17689135433,5.091711732,6.563429392,BRCA
8.5570198115,6.389883566,11.23978961,8.878435012,9.546605663,13.04989878,8.378404463,6.225261069,5.478819157,6.055397005,9.163298157,9.260367468,9.92562903,12.82636383,5.291135005,6.187456621,5.285412622,8.135274649,10.07238089,7.2400353085,5.525142298,5.551986008,6.288640599,Control
8.1488016765,6.757115983,11.54241539,8.70989467,9.998851701,13.26893746,8.616586634,6.362562487,5.550447635,5.650485447,9.04801075,8.825389039,10.33248729,13.11366653,5.465820435,6.122264392,5.293711886,8.384871286,10.16363116,7.055096439,5.234299088,5.238988625,5.916841601,Control
6.9824309615,6.61616787567,11.88448737,8.919415413,9.061277435,13.29995283,9.333972157,6.798118982,5.149758548,6.389270486,9.210939846,10.09517319,10.07411507,11.61680165,5.973617732,6.768981971,5.119782831,6.997860083,9.560920839,5.9799251475,6.07044564433,5.827953159,6.469727786,BRCA
7.555290803,6.60558999133,11.6188926,9.589230319,9.803614982,13.17700839,8.807251164,7.068028862,6.121642945,5.614423668,7.763878152,9.531343017,10.34356359,11.8968755,6.049636893,5.93841004,5.44062939,9.073024297,9.949207023,6.9163256205,5.95986095067,5.706262025,7.034802057,BRCA
7.1053956975,6.784302337,12.24637996,9.006446093,8.90929393,13.33363132,9.157436075,6.86950478,5.995773509,6.663917843,8.979483163,10.26174268,9.641921287,11.32190853,5.732683853,6.655642073,5.110625549,6.821203566,8.788074828,6.976093136,5.73599947067,5.641409649,6.193383055,BRCA
6.970794802,6.51405773367,12.05836733,9.226822258,8.5896522,13.36856584,9.539954171,7.120059311,5.836183727,6.132685436,9.24482828,9.81791145,9.90199107,11.52829551,5.542111953,6.354827336,5.023045997,6.808678261,8.870851027,5.6412905805,5.88052338667,5.59381033,6.767724723,BRCA
7.221473383,6.433898499,11.74635698,9.710479778,8.886520521,13.36355512,9.306620611,6.63161771,5.527642182,6.202227307,9.252961701,10.64035818,10.08386525,11.49170796,5.655216748,6.385522173,5.24660879,8.086854242,8.673027334,6.3980360365,5.67454364833,6.083006551,6.442492064,BRCA
7.2319628505,6.36224381667,11.79550409,9.810861239,8.45292188,13.29267684,9.583727381,7.036891003,5.981059894,6.371171674,9.485326755,10.08672709,10.49650957,11.7674087,6.118635505,6.586919049,4.808142121,7.432878264,9.538005127,5.8819921345,6.06119661767,5.938762876,6.718296974,BRCA
6.895077292,6.073822667,11.7820728,10.57174817,9.284894137,13.38150649,9.930146364,6.360983667,5.052688948,5.59724157,9.799800123,8.329326713,7.075401932,12.75033439,5.537615426,5.687628504,5.077041333,6.412997934,9.576399845,5.8308617525,5.494402642,6.034420016,5.80517071,BRCA
