@relation thedata

@attribute 1514 real
@attribute 3479 real
@attribute 3481 real
@attribute 3483 real
@attribute 3484 real
@attribute 3485 real
@attribute 3486 real
@attribute 3487 real
@attribute 3488 real
@attribute 3489 real
@attribute 354 real
@attribute 4312 real
@attribute 4313 real
@attribute 5069 real
@attribute 5340 real
@attribute 60676 real
@attribute DependentVariable {BRCA,Control}

@data
11.2840030997,7.6246849295,6.172916221,5.682300273,8.1194355205,11.22892405,11.92769238,12.80309841,13.88154899,13.47298527,5.72617692433,5.564691589,8.066467478,6.615927983,5.742552812,4.9773893925,Control
10.3254222647,6.947135646,6.02799396967,6.060593939,5.526443797,11.24778827,10.892620015,12.77497238,13.74760534,13.04989878,5.23001387133,5.101199635,7.536346549,6.436841129,5.013251478,5.030259583,BRCA
9.90724657,5.9026635435,5.30660892367,6.25068273,6.1137081595,10.72598418,10.061191199,12.17054643,12.906061035,10.88991099,5.540074346,5.507645012,7.29489898,5.661572365,5.038053386,5.2187805985,BRCA
10.0932319593,6.5710894325,5.245282337,6.465856649,5.7058474765,10.94302045,10.17535319,12.3345988,13.076194255,10.39480059,5.52761433067,5.139460541,7.162091995,5.68566776,5.307438771,5.4382385095,Control
10.3571128263,7.739494752,6.25751565533,5.784249584,5.388810209,10.38915837,11.22900576,12.45804007,13.45348796,11.80267601,5.60240308167,5.607338636,7.447457544,6.128979632,5.073618089,4.9080935395,BRCA
11.6437957137,7.375850429,5.60864249233,5.833276737,5.849630117,10.73515005,11.3494746,12.11445497,13.716097415,13.0288437,5.723916978,5.476714818,7.385001972,6.112601751,5.460260315,5.704429556,BRCA
10.469422805,10.349737175,7.95067687233,7.254369939,5.913357003,11.31992061,11.63715279,12.62816419,13.37530945,11.65330651,5.624431146,4.981180512,8.102055909,5.375918034,5.572140279,5.4481392305,BRCA
11.403473957,7.733044401,6.29728301033,6.286609161,8.0264688,11.16113206,11.58353864,13.1577646,13.680404555,13.44437567,5.98635550333,5.252108349,9.011647369,6.784605811,5.725748823,5.2902590715,Control
10.409830604,7.2965384015,5.92043814933,6.2954527,8.335359875,10.7777528,11.22301734,12.36895254,12.976841665,11.90579323,6.744088178,5.192205263,7.691134781,6.276967088,5.244897759,4.573335061,BRCA
10.5668007327,6.6155769395,5.681676987,6.817626854,6.1869628445,10.51730058,10.367009485,12.27732381,12.78912776,11.29445435,5.68463234467,5.159075364,6.827314517,6.026142315,5.336114869,5.222813561,BRCA
10.8083578873,7.5228200195,5.612953483,6.124127129,5.521935748,9.508097379,11.504086915,13.55580301,13.077558045,14.04206419,5.75016563833,5.263890047,8.69186661,5.89185128,5.545359333,5.0631619085,BRCA
10.9290121593,8.087964069,5.854549957,6.61574411,5.628991416,10.33137076,11.858454705,12.98742218,14.13968154,12.39294532,6.55712038833,5.398154738,7.882063906,7.082764118,5.26866948,4.8441556395,Control
11.1050525637,8.090572707,6.005942811,6.21830228,5.869973768,11.29402062,11.81902331,12.9236618,13.750624865,12.81400365,5.43501730633,5.364232071,7.953354189,5.829159022,5.011016147,5.4223986645,Control
10.5301924597,5.899641789,5.97168252133,6.539744787,6.674620337,12.10791023,11.191749175,13.7210223,13.32845788,11.980959,6.177330719,5.125166757,7.141726863,5.769382488,4.911225686,5.250763015,BRCA
11.27746436,8.452876529,7.20749975567,5.997919695,8.01995518,11.04410909,11.98489388,13.35514394,13.42580673,11.87540007,5.84326879267,5.213747029,8.740962229,6.304607435,5.021047975,5.0872340545,BRCA
10.717778764,5.929829729,6.389728209,6.859414039,6.500531553,12.02131498,10.968637415,13.42222975,13.03747783,12.0767489,5.69805436367,5.240515881,7.066307529,6.121332121,4.873457956,5.1271274325,BRCA
10.783615744,5.5987233425,5.45450985767,7.230839752,7.125023166,10.95523962,10.542737915,13.93264756,13.091530075,12.1006805,5.654574798,5.169936271,7.083482319,5.821079567,5.274831217,5.2050448425,BRCA
10.435869535,7.409838005,6.17043379667,6.69104948,7.318315015,11.18352391,10.91416968,13.80581744,13.6558147,11.78170407,6.007434664,5.413637447,7.953354189,6.017928169,5.119367849,4.649093304,BRCA
10.3615350993,6.4844522785,5.688518192,6.844960312,9.186314283,12.20235811,10.690873515,14.88287635,12.99243707,11.9729763,5.76771998767,5.044843524,7.78903004,5.495704155,5.375657441,5.06514458,BRCA
11.2086594383,6.797392804,6.74415804133,7.014525813,5.192343244,11.30690631,9.55983303,13.55093015,13.495348875,12.48149555,5.55457372067,5.244707519,8.064030165,6.546204289,4.817893448,5.2732674835,BRCA
