@relation thedata

@attribute 10692 real
@attribute 221391 real
@attribute 23596 real
@attribute 2652 real
@attribute 5956 real
@attribute 5995 real
@attribute 6010 real
@attribute 611 real
@attribute 94233 real
@attribute DependentVariable {BRCA,Control}

@data
5.405661632,5.220728929,7.085198317,5.0412338635,5.061788345,5.770759606,5.316518,5.561487483,4.7430825485,Control
5.769779175,5.153101365,6.42959645833,5.1151968005,4.569042829,6.043119281,4.435394156,5.779267108,5.160097198,BRCA
5.507645012,5.287421103,7.43111428567,5.08777539,4.628224624,5.805056142,5.186670157,5.84800395,5.066630617,BRCA
5.475661496,5.1261933805,6.08350458,5.140635991,5.193979903,5.9960450585,5.254944744,5.960298117,5.0830409175,Control
4.940179966,5.4040156405,6.954355393,4.9808205395,5.530141964,5.8771922655,4.915773338,5.361953639,5.0372366665,BRCA
5.761558711,4.901555256,7.80384200367,5.3274956865,4.963718308,5.7396072805,4.596397442,4.976605648,5.151094498,BRCA
5.032113243,5.5558326475,6.76112829067,5.4817348725,5.192698437,6.4958982935,5.119575355,5.540408023,5.1035326705,BRCA
4.693784032,5.208810676,8.03157021633,5.146924194,5.540872931,6.011478627,4.947679304,5.247463545,5.0247562935,Control
5.40668228,5.3410626845,7.542747719,5.46419859,5.479627701,5.938502863,5.117810604,5.601259162,5.3503244845,BRCA
4.384657885,5.26197334,6.30573154233,4.990994964,5.279296008,5.805134734,5.087262599,5.163308771,5.203253314,BRCA
4.916251205,4.588304139,5.956038273,5.358780347,5.596496342,6.198961329,4.719610733,5.820888166,4.8390706245,BRCA
5.253432694,5.0770709025,7.30351515967,4.835871713,4.932877618,5.85154416,4.682592971,5.168332398,5.0178505475,Control
4.529423989,5.416788845,7.01415466167,4.8944706135,5.206146244,6.1483767325,5.212774804,5.375918034,5.5307556565,Control
4.916490079,4.5355783965,7.71746716667,4.9730037835,4.993687096,6.131886718,5.094670216,5.754627826,4.8247538005,BRCA
5.678079829,5.47147049,7.886475356,5.328095774,5.149758548,5.573202235,4.571466258,5.045935721,5.298518098,BRCA
5.352627229,5.2498311785,7.47870632233,4.740050587,5.015706349,5.953476789,5.321216715,5.020603594,5.015495287,BRCA
4.984374307,5.0392074275,7.45976674633,5.1115370545,4.837705203,5.9156056605,5.425938643,5.242422681,5.1673283705,BRCA
5.313256056,5.349440987,7.64100819233,4.5915021325,5.388026974,6.047236054,5.281801394,5.371568663,4.5915021325,BRCA
5.418199436,5.2928515955,8.30970193867,4.975495715,4.78687249,5.819891213,5.345015965,5.179124099,4.7848679835,BRCA
5.113545539,5.5518701515,7.161603705,4.9554723975,5.039808741,6.0995996285,4.450633198,4.977521783,5.6318342025,BRCA
