@relation thedata

@attribute 1000 real
@attribute 1001 real
@attribute 1002 real
@attribute 1003 real
@attribute 1004 real
@attribute 1005 real
@attribute 1006 real
@attribute 1007 real
@attribute 1008 real
@attribute 1009 real
@attribute 1010 real
@attribute 1012 real
@attribute 1013 real
@attribute 1016 real
@attribute 1495 real
@attribute 1499 real
@attribute 1500 real
@attribute 23705 real
@attribute 253559 real
@attribute 25945 real
@attribute 3728 real
@attribute 4301 real
@attribute 57863 real
@attribute 5817 real
@attribute 5818 real
@attribute 5819 real
@attribute 64403 real
@attribute 81607 real
@attribute 999 real
@attribute DependentVariable {BRCA,Control}

@data
7.556374089,10.44063591,6.642055755,11.85473021,7.053552644,5.29233896333,5.443947436,6.123713395,4.056699474,9.779514641,4.77796061,8.867071067,5.057462456,5.151586144,12.970346955,6.94578590514,6.527119521,10.34910181,5.700724934,8.883830184,9.22593978533,5.828587949,7.145935011,7.92292794,5.62181327975,8.70463678933,5.49947363467,7.487359976,12.00989343,Control
7.826232466,10.38197038,6.668073461,10.93507131,6.837302163,5.60803391833,4.523503679,6.353195907,4.911705061,9.614162807,7.493057094,8.528308686,5.40668228,4.943700135,12.9002596,6.96887473943,6.6127320924,10.84683237,5.853378958,9.2395806605,9.65798629833,6.22776574,6.924875212,8.212157254,5.99887986025,8.396903982,5.62561365333,8.722535293,12.20475003,BRCA
7.537647698,11.76503338,6.608332915,9.908242911,6.000339336,5.72257639933,5.079816751,6.436091549,4.878984301,9.28959884,6.926506897,6.599805472,5.434470814,5.173838258,13.044669795,7.126093946,6.2696480308,10.94627781,5.658790765,8.035975337,10.0576530213,6.04843851,6.119621392,7.808660365,5.785037344,8.515433634,5.374601183,8.874398256,12.80365393,BRCA
7.91055448,11.34028702,6.277153122,9.836169177,5.4814809135,5.25179341733,5.129088497,6.318954546,4.180143653,9.446194768,7.127223453,6.753287377,5.706538322,5.066316611,12.98230153,6.25068708814,6.2848404562,11.2835892,4.526932284,8.460124816,9.36088115533,6.252954533,6.209020126,8.521434692,6.00254861525,8.52603302833,5.33414475233,9.521502846,12.55838012,Control
7.055746423,10.58383522,6.795036757,10.04796267,5.8624679885,5.68564613933,5.510179653,6.240319696,5.403788568,9.337890083,7.619965223,7.390665805,5.400889039,5.23113596,12.901448725,7.18244667671,6.5924215122,10.72100969,5.524354632,8.3454203835,9.67758439933,5.850631456,6.381807349,7.753920581,5.721517129,8.52308099,5.49268034067,9.106668358,12.44726543,BRCA
6.85256423,10.48825468,5.579852369,11.0724812,6.2657639425,5.429492873,5.649048651,6.376000002,4.867663307,9.65659519,6.963535174,8.609743075,5.374005926,4.727392239,13.345227255,7.271366378,6.4886357234,10.7042238,5.853877943,8.4466293725,9.71617004,6.264635533,6.657000843,7.921396347,5.75476285725,9.44234958633,5.65353284033,8.262201898,13.02343475,BRCA
9.291666361,11.15959405,7.547899223,9.255294845,5.5923308015,5.56961170333,5.28356184,6.708673956,5.178725843,12.59315889,6.460337629,6.207068633,5.68566776,4.77796061,12.567749395,6.587592285,6.3745823812,12.05268701,4.789483203,9.9586772805,8.83286652133,6.518854253,8.534916724,8.655048663,5.33596100175,8.56421940767,5.30611277767,9.802294663,11.40859261,BRCA
8.950265087,10.8852123,5.972354482,10.98982397,6.603667755,5.82396929667,5.018602184,6.290853455,5.120093989,10.41429442,5.685107058,8.434358348,5.536217098,4.564786233,12.832913565,7.12159637657,6.182989157,10.35482269,4.756238089,8.4878315945,9.14835891633,6.355928609,7.380290323,7.181254459,5.25640052575,8.80281133533,5.751576261,7.68113495,12.40979539,Control
6.592012667,11.24903656,6.964344117,10.20419243,5.940327262,5.766902227,5.163811922,6.496818333,5.307438771,9.708558488,5.901054678,7.669826018,6.227476961,5.577437325,12.876117185,7.27824373014,6.4813948162,10.66574031,5.034426206,7.714322137,9.81358013633,5.833276737,6.17627851,7.696795653,5.7172838405,9.02423309467,5.62602466933,8.47004987,12.47414328,BRCA
7.680959203,10.68107171,6.047566334,10.02491841,5.740700728,5.47905402533,5.159075364,6.274406692,5.181511332,8.724600075,5.838328613,8.05923781,5.589921684,4.656520763,12.710907205,6.66799436186,6.5779264378,11.32122928,6.255789266,9.012490288,9.89908857167,5.997750375,6.604779761,8.239671468,5.76865980625,8.801573127,5.76769855267,9.038233906,12.68293541,BRCA
