@relation thedata

@attribute 3672 real
@attribute 3688 real
@attribute 3690 real
@attribute 387 real
@attribute 5747 real
@attribute 58 real
@attribute 5829 real
@attribute 5879 real
@attribute 6709 real
@attribute 6714 real
@attribute 7094 real
@attribute 7430 real
@attribute 823 real
@attribute 826 real
@attribute 84290 real
@attribute 87 real
@attribute 88 real
@attribute 89 real
@attribute DependentVariable {BRCA,Control}

@data
9.101017795,9.30169669467,6.147515948,12.37603319,9.55016911,6.569556123,7.441203595,8.85850435833,11.51681803,6.75911734333,10.9484368,12.41104094,11.2551704,11.697272845,5.309623002,13.43392773,6.68951277,5.69544494,Control
7.86511636,8.828078384,5.52873637,12.57624761,9.45642471,5.19062597,7.229350286,9.23532012167,11.61680165,6.586005659,10.35004996,12.7347446,11.68974045,11.931845525,5.355449107,13.88775422,6.68426165,5.483179924,BRCA
7.148936963,8.9042892375,5.194176951,12.07257321,8.9981409465,5.283469238,7.347468842,9.280236709,11.15088665,7.22912163867,10.20981921,12.91499054,11.88601099,12.01265521,5.724112195,13.69550076,6.570846646,5.014814152,BRCA
6.516492413,8.75186424133,5.254944744,12.17972416,9.0133211855,6.563810693,7.84508404,9.422761191,11.40622376,6.91032494133,10.43742988,13.25089354,11.65213254,11.69996459,5.442289366,14.12961268,7.162091995,5.346612346,Control
7.441058314,9.13491446,5.476714818,12.74633592,9.0250253645,5.301780818,7.615006311,9.29741101033,11.3294966,6.72839437467,9.987545106,12.63069834,11.8267889,11.99649338,5.494584616,13.52549699,6.308617188,5.468103682,BRCA
7.98845907,9.489530799,6.672712173,13.08540943,9.420287121,5.802329755,7.335951076,9.14697742367,11.64258438,6.38912935567,10.55627639,13.74850791,12.36339568,11.72437653,5.14017664,13.39262134,6.448203566,5.694818396,BRCA
7.580354917,9.251714595,5.418536788,12.27941189,8.8796586,5.472984221,7.91692611,9.62804284167,12.25692522,7.54701473933,10.32302692,13.34320241,11.27204377,11.524918645,5.28356184,14.57543497,6.401567006,6.038980014,BRCA
7.865827785,9.23773095817,5.838328613,11.89259415,9.585335464,5.551370856,7.737283051,8.82865486733,11.0691579,7.00963552967,10.49035982,12.46971692,11.60505131,11.71505535,4.494877856,12.86342169,6.884418198,5.853628472,Control
7.418993406,9.05065703483,5.40668228,12.60350703,9.2675642675,5.771232765,7.766232595,9.29235500067,11.08036472,6.85674479767,9.984080577,12.84191128,11.85690996,12.07541004,6.086407617,13.11510467,6.341457111,5.529517425,BRCA
7.512564929,9.06946628383,5.411944154,12.28213433,8.984597332,5.608965365,7.647892114,9.23513699733,11.3345919,6.973025285,10.50808719,13.04989878,11.49594259,11.963536945,5.096358059,13.75810714,6.908516092,5.524354632,BRCA
7.438794191,8.5429645305,5.576228285,12.64120964,8.7160245685,5.541492575,8.041222615,8.92818876867,11.91473092,6.89592443067,10.87277127,12.53395999,11.72339443,12.24721091,5.199683385,13.03513077,6.631326684,6.025201173,BRCA
8.342898175,9.18007328783,5.887897624,12.30040269,9.5799510855,6.167122676,6.876459007,8.97755484267,11.23612501,6.98144085767,10.38874414,12.49990449,11.72339443,11.713526895,5.401230463,12.83735302,6.454961876,6.015030979,Control
9.099519506,9.52376826383,5.582263377,12.38074251,9.807955308,6.079490783,7.126500894,8.882604615,11.30449979,6.75905554167,11.16338255,12.46600514,11.83377967,11.805286635,4.966489589,13.26600764,6.8430452,5.633148724,Control
7.626842693,9.15082053767,4.840980873,11.64892389,9.6749751715,6.848689049,7.476667486,8.867882958,12.001308,6.82951290367,11.32350252,13.54043264,11.82848969,12.18507916,4.607970639,12.95175557,6.722606479,5.65836235,BRCA
9.408383416,9.44121959,4.788047896,11.744773,9.2641454985,5.812184526,7.061023135,8.552349278,11.95277228,6.91208436433,10.42478333,13.2433667,11.81753744,11.487990085,4.780849891,14.01689273,6.837126844,5.923868951,BRCA
8.035817876,8.933464829,5.364932404,11.37964115,9.278094081,7.824005841,7.18631515,8.787767491,11.49745034,7.22720437133,10.80365511,13.27753228,11.77387079,12.14634393,5.335936286,14.08845827,6.741740415,5.579701547,BRCA
7.332867062,9.05192720867,5.229790979,11.16916418,9.5786882385,7.461993252,7.089003169,8.934366304,11.84327345,7.35444662233,10.88922276,13.56689425,11.538548,12.15871019,5.45517205,12.37349196,6.544698369,5.919942619,BRCA
8.062681816,9.04214245483,5.69000583,11.66819594,9.21652246,6.011233546,6.949625755,9.01840760867,11.67059663,7.03736704367,10.80905688,13.09870741,11.6923846,12.027194215,5.221114603,12.98137289,6.651845045,5.617365526,BRCA
7.660960561,9.0875921835,5.50954641,11.52630619,9.337026401,5.243755943,6.913790365,9.258466301,12.06768485,7.07743364033,10.86047424,13.36355512,11.59733576,12.557263195,5.052688948,12.46971692,6.556203785,5.839462851,BRCA
8.462247785,8.1006439875,4.766875281,9.38829779,9.6546657745,5.290397907,7.767226277,8.91017192567,11.59972937,6.94510312533,11.58959862,14.12251745,12.0344036,11.64622879,5.002940155,14.46865842,6.264447878,6.279290785,BRCA
