@relation thedata

@attribute 10454 real
@attribute 11213 real
@attribute 1147 real
@attribute 1432 real
@attribute 3439 real
@attribute 3456 real
@attribute 3551 real
@attribute 3552 real
@attribute 3553 real
@attribute 3554 real
@attribute 3556 real
@attribute 3557 real
@attribute 3569 real
@attribute 3654 real
@attribute 3656 real
@attribute 3725 real
@attribute 4214 real
@attribute 4615 real
@attribute 4790 real
@attribute 4792 real
@attribute 51295 real
@attribute 54472 real
@attribute 5599 real
@attribute 5606 real
@attribute 5608 real
@attribute 5970 real
@attribute 6885 real
@attribute 7040 real
@attribute 7042 real
@attribute 7043 real
@attribute 7124 real
@attribute 7189 real
@attribute 9020 real
@attribute DependentVariable {BRCA,Control}

@data
6.76556701167,8.982338457,9.004698798,7.09994864525,5.354567863,5.011016147,7.1307406325,5.428620839,9.000106455,6.981713185,5.84139580367,6.58673947333,13.60771409,9.677464692,8.337489361,14.72492149,10.46146439,9.4642502,12.34771002,15.00532806,7.804520085,9.357079711,5.939777752,5.86129168933,5.85530403967,8.69026092,9.487800372,5.682300273,6.78103548,9.289875449,8.519696323,7.37822060033,7.12458953,Control
6.67949367567,8.312759464,8.974945912,6.60639379225,5.219566658,4.332418168,7.787354885,5.19062597,8.25032344,6.464101029,5.55073851833,6.340655252,8.608616259,10.14535302,8.140562835,14.11502538,11.6627575,9.905361101,12.34109771,13.91249272,7.807517739,9.315325713,5.0886580415,5.85702554217,6.054235957,8.669346719,9.4310771815,5.101199635,6.166218956,9.578863787,7.177920594,7.05787236967,7.618204007,BRCA
7.13302304567,7.183985468,8.986710369,6.58493097,5.263044971,4.538726271,7.4532495275,5.173838258,8.349592102,5.697600956,5.64980828033,6.10435507467,7.664022547,10.42139193,8.08792836,14.41297137,11.77105209,9.70697128,12.51631937,14.51605303,8.425773069,9.466168826,5.6701097255,5.82716031317,6.35618041933,9.073024297,8.9013859115,5.014814152,5.995434345,9.330514214,8.414834386,7.01943370733,7.363480204,BRCA
7.27747024367,7.581278035,8.742495656,6.0589973865,5.139460541,5.123512303,7.4011955135,5.28559757,7.718260793,6.135766351,5.746718711,6.642641608,6.879402901,10.56828182,8.31872483,14.08054111,12.00382718,9.766156644,12.26985874,14.35403309,8.774277353,9.119570898,5.7758281875,5.05698450317,6.36100294267,7.67194989,8.417672848,4.808914358,5.797150007,10.06419075,8.370459788,6.46814411567,7.782574222,Control
6.68095800667,7.609180816,8.684828488,6.730522711,5.238033268,4.173910121,7.5245616955,5.488491912,7.361595391,6.5434229,5.67006771,6.16196665033,6.192791506,10.67791364,7.805906871,13.43392773,11.72645885,9.855452948,12.37603319,13.73047547,8.26935011,8.399428676,5.704258658,6.07725681717,5.979395943,9.268495874,9.2133861525,4.828848945,6.737352562,9.272076349,6.675961001,7.059741909,7.444230413,BRCA
6.273083892,8.20645413,9.33884841,6.87151716925,4.795989381,4.785303823,7.5689740425,5.388199225,8.525208673,6.777719287,6.05282711967,9.04818184933,10.84461576,9.548258938,8.226967397,13.80946823,11.51112271,10.48083592,12.87483063,13.77694807,7.477052175,9.161560926,6.517858181,7.15443493,5.98125183967,9.673230059,9.9163703245,5.321216715,7.238598499,9.540317507,6.320264091,7.331943975,8.197856947,BRCA
6.779059113,8.584681754,8.17437786,6.362735412,5.622938584,5.019714421,7.550193916,4.765549899,5.250782787,5.672857555,5.42503466667,6.47713653833,6.331772944,9.834609753,8.010809379,13.91249272,12.26224618,9.530631222,12.52075501,15.02279519,8.04360305,8.727649179,5.6011167705,5.4415442,6.79660585167,7.262755244,8.575344218,4.73770262,6.518854253,11.79415195,6.423120638,6.42166024533,6.740661566,BRCA
7.020737198,7.952116757,8.824657385,7.0975611175,5.093191733,4.424648213,7.4520617975,5.193979903,7.134583224,6.218786615,5.70328124467,6.165438838,10.45145612,9.860714986,7.868546526,13.96294256,10.99477083,9.695555047,12.20475003,14.22362506,7.85975393,9.204950795,5.401013329,5.8607249385,5.93944441167,9.194320487,8.9471097785,5.167931151,7.822174254,10.56613044,6.14308278,7.018808194,7.797176966,Control
6.649348596,7.324048031,8.659854224,6.41978303225,4.805564985,4.440788181,7.530604743,5.872096916,9.153147365,6.279801496,5.841540402,5.816743693,10.12252426,10.66204549,7.935549803,14.44356588,11.9611296,9.573046472,12.42766909,14.37348409,8.239194094,8.6137905,5.8779809975,6.020187685,6.398579306,9.012625324,9.204869818,5.46083367,6.303694572,9.938499406,8.252974189,7.05702786333,7.392491577,BRCA
7.04562845567,7.356190313,8.645245129,6.2012063225,5.476390801,4.131934652,7.6541093245,5.376786337,6.678428044,6.854778406,5.737978147,6.94584443267,7.723389827,10.47490271,7.243129047,13.15952927,11.43790563,9.269361142,12.09766027,13.54172225,8.721869154,9.376153138,5.5839936855,5.75900304267,5.92169088967,8.33670864,8.9430429875,5.062004299,6.274406692,9.642061229,6.105390642,6.71155131933,7.396307489,BRCA
