@relation thedata

@attribute 107 real
@attribute 1385 real
@attribute 2002 real
@attribute 2353 real
@attribute 2770 real
@attribute 2776 real
@attribute 2778 real
@attribute 2782 real
@attribute 2792 real
@attribute 3265 real
@attribute 3725 real
@attribute 4772 real
@attribute 4773 real
@attribute 4775 real
@attribute 4776 real
@attribute 5335 real
@attribute 5530 real
@attribute 5532 real
@attribute 5533 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 5578 real
@attribute 5579 real
@attribute 5595 real
@attribute 5604 real
@attribute 5894 real
@attribute 6197 real
@attribute 801 real
@attribute 805 real
@attribute 808 real
@attribute DependentVariable {BRCA,Control}

@data
8.2081635635,10.707890538,9.719046985,14.72004222,7.1915641815,9.668318219,8.533866741,13.02719506,5.028139516,7.4423513115,14.72492149,6.1646303325,5.358259724,7.5492931052,6.328365825,7.6745180755,7.181967161,11.8054921,9.584314798,5.4829326402,5.48205062,9.78527191267,7.409181146,8.786482932,4.767140212,8.688181342,6.21136540967,11.634256725,10.49127719,10.11570732,6.52702968625,13.11037161,13.59313376,12.33572539,Control
6.3425008425,11.4528809893,9.192268846,13.75148289,6.0573658185,8.930930318,8.84345400733,13.00956452,5.682862067,7.8897640555,14.11502538,6.4733698555,5.287134046,7.2620358308,6.757360421,7.862876923,7.328338472,11.54241539,9.028818534,5.5428379012,5.804719114,9.789873514,7.391761545,8.66542575,5.442455259,9.433471275,6.479820979,11.27623323,9.559434991,10.34726733,6.64235424625,12.75620088,13.5121695,12.47764072,BRCA
7.5711783515,10.8440250817,9.676230874,14.33042537,5.457103785,9.213384421,9.29076107,12.9979954,4.963487128,7.856102429,14.41297137,6.05907682475,5.0508794315,7.332988387,6.196140414,7.7021225845,7.238491368,11.24175993,8.789730168,5.4641368762,5.527329405,9.801472324,7.677704008,8.815320146,5.112503363,8.48506563,5.889051372,11.198356615,9.65317699,10.45388564,6.2422901355,12.13760287,13.47944813,12.54827894,BRCA
7.0913602235,11.337274206,9.684192438,12.01436934,5.725019338,7.435526765,8.629147321,13.11510467,5.29683478,8.398114105,14.08054111,5.969107067,4.8161306655,7.1860203686,5.745177655,8.054801422,6.422323287,11.56978693,8.74769044,5.1156792046,5.655216748,9.34823014567,6.105076296,8.115695415,5.7109519,9.211511834,6.312672729,11.274247985,9.580847928,10.09500831,6.33404855075,12.20536419,13.35270561,12.76004735,Control
7.084991265,11.0490871027,9.981439248,12.40857396,6.8901006515,9.924501194,9.35589447533,12.87743566,5.536217098,7.697637374,13.43392773,6.17905477475,5.183721743,7.5168645844,6.162799782,7.930765467,7.7125980515,11.00452968,9.157246578,5.466218321,6.407145055,7.772929909,7.418993406,9.518791383,5.377654117,8.977409535,7.50900425433,11.21839075,9.966174165,10.22872886,6.76922237325,12.34682957,13.37889296,12.45248586,BRCA
6.50402659,10.8002004453,9.979768545,13.96600025,6.5536864175,10.54993411,9.078168623,12.98372673,5.717272857,7.3388634815,13.80946823,7.79825655525,6.0739409315,7.5289073748,6.71596585,7.6687152575,7.745704965,11.73619062,9.836169177,5.6759717936,5.625863148,9.84054935,7.890402801,9.231287868,5.316879984,8.467749328,6.98490046733,11.07534033,10.23164154,10.624983,7.19245125,13.11510467,13.71343219,12.66384721,BRCA
6.201503818,11.1354255073,9.212867878,10.44201071,5.366277458,7.39744174,8.46320594233,12.64120964,5.442621133,7.9742866725,13.91249272,5.88961529475,5.0860843655,7.3270793584,6.18408747,8.590203577,6.5896621115,11.41213066,7.747456426,5.5322651396,6.430289978,9.55785931,7.572418149,8.344585666,4.904497645,9.024558716,6.81582852467,11.151396135,8.977681421,9.961088297,6.5621458705,12.34260121,13.29267684,12.61750082,BRCA
7.6188571805,10.258386433,9.290572499,14.08516788,6.2928801065,9.665460782,8.875123686,12.98945487,5.865554662,7.7095138065,13.96294256,5.9603886785,5.2291868665,7.3160751194,6.913221911,7.7549264415,7.480559564,11.39154181,9.508320259,5.3094441946,5.233822166,7.854087509,7.90344675,8.118825763,5.023045997,8.419813926,6.87117032933,11.40345044,10.00443156,10.12277013,6.575528975,12.57155186,13.44200721,12.74796537,Control
8.092918242,10.6759547673,10.01823535,14.82357723,6.2675959045,9.303998235,9.29028807333,12.96993872,5.659076304,7.94496816,14.44356588,6.02825469225,5.2554434645,7.4954770344,5.801553978,8.1175343725,7.5245411315,10.77439198,9.212004536,5.291675395,5.844493149,9.60954968233,7.548207573,9.026662535,5.398154738,8.419971893,6.13414385767,10.99057863,9.452231522,9.9831294,6.443440984,12.3148028,13.70458133,12.4865699,BRCA
7.599297253,11.1110274023,9.726661428,11.55023948,6.489380715,8.352640608,8.55731348,13.02126635,4.958159726,8.148239231,13.15952927,6.0078154565,4.4572839285,7.6296535984,6.110306469,8.2287174245,7.3344224225,11.36752411,9.015945424,5.3589494338,5.913135501,9.492243668,7.121070136,8.794173061,5.778347403,8.01888328,6.39658479233,11.551814785,9.69476318,10.28660429,6.26822091,12.71572616,13.30755735,12.57561022,BRCA
