@relation thedata

@attribute 3383 real
@attribute 3552 real
@attribute 3569 real
@attribute 3576 real
@attribute 3676 real
@attribute 3683 real
@attribute 3688 real
@attribute 3689 real
@attribute 3827 real
@attribute 6403 real
@attribute 6404 real
@attribute 7124 real
@attribute 718 real
@attribute 727 real
@attribute 729 real
@attribute 730 real
@attribute 7412 real
@attribute DependentVariable {BRCA,Control}

@data
5.250214317,5.428620839,13.60771409,9.6189422155,6.297013109,6.893001507,9.30169669467,11.423270155,5.6227922,7.545024544,4.82618143,8.519696323,9.984080577,9.118734206,7.474316635,7.244818397,8.07772679633,Control
5.652207716,5.19062597,8.608616259,6.7790147065,6.043635001,7.712339773,8.828078384,11.4456095,5.313618859,6.458780312,6.239603899,7.177920594,8.261532137,9.091660914,7.447953386,6.657501119,7.24691632933,BRCA
5.724112195,5.173838258,7.664022547,7.352992936,6.268430299,7.905749702,8.9042892375,11.82795379,4.98710623,6.451215749,5.451055498,8.414834386,9.077998072,9.298968193,6.40837698,5.948373802,7.63218285233,BRCA
6.125832527,5.28559757,6.879402901,6.039562885,5.660003917,8.08212392,8.75186424133,11.954544835,5.494744603,6.015142517,5.73024,8.370459788,7.478529234,9.796177999,5.776111392,5.327517838,7.136062181,Control
5.190230876,5.488491912,6.192791506,6.0044384665,5.694748763,7.843106264,9.13491446,11.664734205,4.968564562,7.347712434,5.852630158,6.675961001,10.22558136,8.630058784,7.627900667,7.397078021,8.760944586,BRCA
5.923750128,5.388199225,10.84461576,8.452055235,7.092337284,6.814297663,9.489530799,13.379465115,4.846131289,7.45762943,5.508912889,6.320264091,10.27605783,8.584211958,6.284297232,6.336020558,7.97951833233,BRCA
5.229406468,4.765549899,6.331772944,6.8963072275,6.042759915,7.851001152,9.251714595,11.636086735,4.846005888,6.452575359,6.082580853,6.423120638,5.442621133,9.778964625,5.278924469,5.532793245,8.35458352167,BRCA
4.759970032,5.193979903,10.45145612,7.9782570685,6.51601958,6.876858011,9.23773095817,11.69409393,5.110625549,6.809675295,5.632130956,6.14308278,10.32139858,8.838747853,7.7194592,7.638763741,8.34799793867,Control
5.659076304,5.872096916,10.12252426,8.04737784,6.379383241,6.901292687,9.05065703483,11.5577866,5.057570761,6.575921614,5.749206573,8.252974189,9.687682355,8.902421187,6.001752288,6.29655434,8.260992009,BRCA
5.391983545,5.376786337,7.723389827,5.9031564735,5.729220505,7.699539704,9.06946628383,10.97266949,4.753833848,6.894093582,5.894885198,6.105390642,7.986440979,9.801199537,6.090647705,6.232282407,7.44841126567,BRCA
6.278129404,5.038053386,9.620715209,6.926763588,5.442289366,8.083640375,8.5429645305,11.530394835,6.157150477,6.888746673,5.372961888,6.992205122,10.13161943,9.094098227,6.189879523,6.663526528,8.36555046,BRCA
5.65306808,5.557051033,10.86030351,8.7833788245,6.711395528,7.288638004,9.18007328783,12.19832114,5.298668624,7.202983612,5.812248716,7.871691396,10.28695653,8.994976437,9.27603198,7.805116889,8.73512390433,Control
6.003552345,5.524354632,11.58397843,7.1443881845,5.692100223,6.995431166,9.52376826383,11.42839688,4.699347423,7.310297228,5.790388412,6.162699096,9.936741399,9.503095822,8.473138629,6.282259665,8.26673643233,Control
5.726293954,5.292792099,8.333559164,6.1489128,6.691398504,8.137837934,9.15082053767,11.88734111,5.387510099,6.136433016,5.190823476,5.841225451,9.100032254,9.507299682,9.281014944,5.956237471,7.55920272067,BRCA
6.147312423,5.03365563,7.561137318,7.8549517575,7.991537612,7.298133898,9.44121959,12.562740285,5.149758548,6.418700692,4.772692515,5.923868951,9.202638794,9.933580429,7.126294382,6.26697916,8.845032775,BRCA
5.870618247,5.65607532,6.535668564,6.814024793,6.289101891,7.850469917,8.933464829,11.681747475,5.383541223,6.07692847,5.748737112,7.264445239,8.429700821,9.727627431,7.353766841,6.31764381,7.756862813,BRCA
6.067010094,6.161591078,10.18060575,6.874510871,6.19830322,7.978912229,9.05192720867,11.055174395,5.476876799,5.965386767,5.337899487,6.665268844,8.501002294,9.47543003,6.948136864,5.589247584,7.31795544933,BRCA
6.381807349,5.213649836,8.411575733,7.2343726315,6.82706041,7.88932314,9.04214245483,11.80706946,4.844249122,5.835804886,5.43213367,7.183985468,9.230429477,9.214671934,7.178368875,6.025976276,8.277693489,BRCA
6.298892537,5.214135735,7.543536723,6.843036893,6.768320398,7.960988197,9.0875921835,11.67906498,5.250593322,5.593959684,5.501288856,6.778573689,9.226111776,9.024766466,7.213301407,5.675259326,8.22433804633,BRCA
6.482691508,4.817893448,8.685494426,6.3321564655,6.182896477,8.527849483,8.1006439875,11.705440355,5.323740468,6.396866433,5.312983894,5.97155002,9.522278016,9.68371449,7.069372226,5.244707519,7.380815007,BRCA
