@relation thedata

@attribute 1017 real
@attribute 1019 real
@attribute 1021 real
@attribute 1026 real
@attribute 1027 real
@attribute 1029 real
@attribute 1030 real
@attribute 1719 real
@attribute 1869 real
@attribute 25 real
@attribute 2932 real
@attribute 3065 real
@attribute 4088 real
@attribute 4089 real
@attribute 472 real
@attribute 545 real
@attribute 5925 real
@attribute 595 real
@attribute 6502 real
@attribute 7027 real
@attribute 7040 real
@attribute 7042 real
@attribute 7043 real
@attribute 7157 real
@attribute 8900 real
@attribute 898 real
@attribute 983 real
@attribute 993 real
@attribute DependentVariable {BRCA,Control}

@data
9.26596478,10.36475876,9.861095099,11.459753229,9.994983337,6.348705253,8.76644567233,5.63902319,5.763286242,8.477645733,10.00381342,11.78440594,10.68629503,11.0532575,7.15912118675,5.382345047,8.976299993,13.0689563,8.34029139833,10.489828235,5.682300273,6.78103548,9.289875449,8.333402628,6.796886882,5.7706733955,5.5594032075,5.7113333935,Control
8.958604237,10.22717101,9.469403277,8.288611166,9.7467670155,5.79053164567,7.79328062833,5.748737112,6.058322584,8.14341671633,10.79867858,11.91473092,10.45921159,10.8409276,7.09089637525,5.67954943775,7.958452847,12.87039849,7.753678639,10.46698639,5.101199635,6.166218956,9.578863787,8.508984299,6.077889871,5.8681879535,5.1000844475,5.580948299,BRCA
9.1433668585,11.04936549,10.38239737,8.320702773,9.760065891,5.34429371167,6.37685407567,4.620332194,6.031886566,7.833762168,10.42204403,12.53830178,10.2807653,11.02832761,7.165383526,5.3269021,8.409052632,13.5121695,7.893025841,10.89809876,5.014814152,5.995434345,9.330514214,9.660905593,6.720350724,6.213232041,6.018363896,6.1523191905,BRCA
7.7178678995,10.81911353,9.614162807,8.2000896335,9.344181055,5.62556244233,6.92119697233,5.372439586,5.460424154,8.03563056533,11.11828268,12.34480084,10.1682337,10.65863127,6.962212015,4.95432611925,6.610216975,13.61588998,7.88025638267,10.14224707,4.808914358,5.797150007,10.06419075,8.338826757,6.183293584,5.99736739975,6.0392399955,5.697363916,Control
9.123941273,10.92385505,10.33984475,7.875076566,10.049946495,5.72645123933,7.13000493333,5.333791561,6.053008806,7.73201711767,10.40311354,12.03215778,9.769929197,11.06244102,7.2431584955,5.394762578,8.022008655,13.04549694,7.56329023367,10.17761519,4.828848945,6.737352562,9.272076349,9.701150974,6.125780878,6.29992863125,6.028693113,5.9046360085,BRCA
9.3759597995,10.4760984,10.24168562,10.112371314,9.5007422985,5.244334811,7.51817774933,6.048220516,5.770572224,8.347844869,9.953578497,12.38876812,10.22471354,11.60575973,7.08122523275,5.5992247945,9.286795183,13.37610779,7.44991218067,10.807258755,5.321216715,7.238598499,9.540317507,8.868576523,6.672712173,5.7160804985,6.0648074825,6.113079114,BRCA
7.9728052855,10.77554879,9.112401142,7.8281740715,9.015559992,5.81224373133,6.73216024933,4.998433881,6.146803484,8.06255483,12.02630394,12.20235811,10.43082915,10.12003731,6.392001616,5.20754562,8.555107826,13.46367638,8.50044386867,10.526885685,4.73770262,6.518854253,11.79415195,8.315445233,6.268944869,6.32124444525,5.427401159,5.5721428055,BRCA
9.321425499,10.6537276,9.92562903,9.436657679,10.6232973005,6.476135957,7.338088569,5.297935366,5.920180882,8.098905571,9.584981814,12.36089516,10.42491714,10.90767581,7.21389689,5.31897246825,9.023671978,12.73729283,7.73968605067,10.77234512,5.167931151,7.822174254,10.56613044,8.92056956,6.986072764,5.7012189585,5.6375433755,5.5654738825,Control
9.1526830635,11.33166731,10.90635345,8.6840196725,10.059640231,5.35894690833,6.35641451967,5.681878783,5.598879718,7.97372860733,9.460251675,12.41104094,10.30035288,11.18856429,7.14878397875,5.76377410275,8.717951507,13.81715158,8.04826253967,10.885151175,5.46083367,6.303694572,9.938499406,9.680166591,6.059891283,6.42728370275,6.505547144,6.648397732,BRCA
8.766958367,10.5411695,8.967515291,8.5305745065,9.9202580165,5.788030138,7.83504918467,5.104977394,5.672857555,7.55814684467,11.10846093,12.70249961,10.53162541,10.84298691,6.89333590125,5.13981355375,7.473200667,13.40233131,7.581904447,9.9169571465,5.062004299,6.274406692,9.642061229,7.766597025,5.906897358,5.859119673,5.4053195205,5.7118445555,BRCA
8.5614408535,11.20375193,9.62214845,8.836754421,10.1640382545,5.712608247,7.90194792633,4.866180084,6.357820835,7.96986133433,9.583290187,12.2076581,10.87489706,10.75143132,7.27735742025,5.02130020225,6.142419181,13.46367638,7.51931651067,9.794661619,6.147057976,5.609704182,10.31728008,8.06060289,6.413717301,6.179762227,5.220752803,5.91779079,BRCA
8.893995041,10.68360899,9.837833335,9.0515115425,10.0441681905,5.99415791867,7.66847662533,5.883810945,5.853877943,8.146903819,9.857779317,12.30454677,10.17969799,11.09442761,7.3263622655,5.28315010425,9.062316786,12.99332148,7.925245959,10.79646675,5.382071697,7.247787805,9.979768545,9.069960645,6.364446037,6.16318161475,6.0055657725,5.432572281,Control
9.195934583,10.23700709,9.342986415,9.93093261,9.813364775,5.68078141,8.74712282133,5.162100493,5.687208569,8.347170397,9.894916689,12.29242381,10.27293332,10.65306923,7.01677338075,5.69480086275,8.997758931,13.31043176,7.91175728367,10.63857576,5.502084908,7.420152085,9.655880007,8.376018051,6.086619917,5.667146432,6.0129300215,5.930654322,Control
9.7479615385,10.96383915,9.335714771,9.024549301,8.716991196,5.986607541,7.00145541933,4.933113756,6.099827094,7.81011906767,9.243632862,13.00770101,10.40859541,10.79459886,6.9924584855,4.95871165175,9.187897079,13.18898907,7.741317719,11.152632775,5.115003321,7.131628387,10.35287964,8.641980482,7.790741294,6.11855449125,5.5090344575,6.061094089,BRCA
9.3160147545,10.80365511,10.89385156,8.423284332,8.4863279555,6.04954423267,7.21934104333,4.939004665,5.927310565,8.02105507033,10.71182636,12.8865864,10.55937736,10.92510768,7.02110039825,5.32376425875,9.308988054,14.23655206,7.72902749733,11.52254988,4.924350826,7.112546695,11.69149721,7.522171761,6.853469023,6.4922561955,5.6287591775,5.864740453,BRCA
9.532128788,11.19882886,9.82934264,8.254945825,8.9933055285,5.98239616367,7.010125283,4.708204487,6.0664182,7.80823708267,9.940739781,12.99983714,10.55420777,10.7377039,7.00400791525,5.18875274825,8.652093075,13.61588998,8.02748141367,10.877554945,5.605710071,6.735729052,10.24482795,8.151525421,6.723391747,6.27371824275,5.441586912,6.176494816,BRCA
9.817272827,10.83893427,9.506506502,9.9223698205,8.896381156,5.58848003267,6.57025080233,5.132588408,6.240701309,7.965899745,9.388491534,13.28052217,10.66841992,10.63715491,6.79451584725,5.39494822925,8.567082519,13.2267238,8.148936998,11.10197649,5.66449084,7.229566594,10.86671119,8.650083401,6.401567006,6.19627768275,5.6210469815,6.0364801365,BRCA
9.1966010805,11.23443143,10.33792321,8.2659789275,8.753016755,6.30118840567,7.23399989233,4.634625117,6.12918576,8.04487116667,9.946226836,12.86051578,10.44034522,10.67427198,6.9124972055,5.2700602015,8.774162024,14.16199356,8.09955012733,11.244230505,5.37574431,6.535085305,10.95634187,8.873068105,6.604779761,6.47813675725,5.8102462945,6.3640118835,BRCA
9.742178486,11.16747477,9.901093579,8.414155895,9.089847459,5.94716203467,6.769539484,4.605012752,6.065072081,7.81628218733,9.355059844,12.95454627,10.53098201,10.66574031,6.99788344375,5.06185923325,8.989423683,14.14434519,8.09530966367,11.353999045,5.19062597,6.862206886,10.24378721,9.477151683,6.284297232,6.1333137935,5.34095673,5.8370662645,BRCA
9.453635543,10.8875331,9.391867114,8.570169323,8.921795507,6.439666078,7.121296619,5.753023652,5.901899413,7.69239896833,10.72853303,12.5801856,10.55871514,10.11653277,6.815099268,5.55216961675,9.119292054,13.03513077,7.73442736867,10.4543565965,5.716038325,6.989880165,10.70345182,7.632470217,7.03100122,5.9634582625,5.46625573,6.025769593,BRCA
