@relation thedata

@attribute 2149 real
@attribute 2152 real
@attribute 2153 real
@attribute 2155 real
@attribute 2159 real
@attribute 2243 real
@attribute 2244 real
@attribute 2266 real
@attribute 462 real
@attribute 5624 real
@attribute 5627 real
@attribute 7035 real
@attribute DependentVariable {BRCA,Control}

@data
11.7906038575,7.9433370895,6.186565552,5.74607311533,8.701749275,6.212296819,5.66197871,5.61663289,5.28356184,4.850263431,12.29448586,9.76322470733,Control
11.750443977,7.3219924465,6.175530214,5.580062646,7.877531272,5.7937330178,5.223664671,5.08042485533,5.214524337,4.06456111,12.39041358,9.841339379,BRCA
11.386995669,7.6827279675,5.989656332,5.85758803233,6.401780305,5.862260741,5.7185873855,5.12813079533,4.96764272,5.857490426,11.62074231,8.406974905,BRCA
10.928805556,7.028430768,5.899786645,5.71276030433,5.763551833,6.142895466,6.1111201375,5.394216664,4.628224624,4.845002284,11.6659178,8.229500393,Control
11.7514471335,7.043173699,6.128979632,5.407285048,6.53056679,6.0545063174,5.524787686,5.16471474267,5.394386591,4.906423146,11.67950002,8.953209788,BRCA
12.191046306,8.328711222,6.249071368,5.31970799833,7.484220974,6.1325254104,5.8811445325,4.86237598533,5.070616072,5.499695432,12.26341894,9.436257661,BRCA
12.426379765,6.5323662705,6.067010094,5.95868764667,8.609253665,5.8629718688,5.5239862235,5.183358411,5.219373048,5.019714421,12.53522562,9.594526537,BRCA
12.080271783,8.562401122,5.559423936,5.49413051767,9.342497592,6.2905934128,6.0018505655,5.73127573267,5.2209212,5.555364666,12.41967063,10.051001112,Control
11.6814712815,7.675963805,6.081356272,5.34907679233,6.982426435,5.777716958,5.5854962715,4.90385191767,5.007656643,5.015037253,11.60505131,8.53904212,BRCA
11.2871386965,7.298223806,6.274406692,5.582732178,6.842950948,5.834084272,5.882017596,5.373245961,4.827579315,5.28356184,11.24631027,8.409160684,BRCA
11.75733557,7.050683306,6.209263877,5.47682531867,9.362086899,5.8878688452,5.589234893,5.10876104267,5.167429435,4.832651143,11.99760301,11.0967795047,BRCA
11.9564860075,7.738052984,6.199285243,5.93528576467,7.774854787,5.890793344,5.3609119885,5.33171452,5.622060057,5.091923254,12.07828769,9.05386789867,Control
11.749596883,8.3148067115,6.469890553,5.29903190733,8.226967397,5.9960739032,5.578027233,5.43919162867,4.944168843,4.944168843,12.10010062,9.05364495533,Control
10.9551055265,7.221900266,6.499252446,5.70425736133,7.566817294,5.8533394194,5.7407899085,5.244861722,4.872103847,4.700318863,11.32848436,8.26642682067,BRCA
12.47184107,6.7938952755,6.993564335,5.98287074067,7.69122204,6.6576685756,7.706848707,5.892500193,5.23994335,5.31307462,12.22502371,9.04715206167,BRCA
11.106139519,6.603863399,6.345809388,5.89771809,8.14949453,5.871486022,5.679065704,5.01693401867,4.649642211,4.795210185,11.78049682,8.67502822533,BRCA
10.837073227,7.2184482,6.474359481,5.86989377867,7.591767528,5.9806233382,5.594069333,5.221348673,5.173738339,5.139767484,11.10215306,7.70340419267,BRCA
11.4335031145,6.715293423,6.305154876,6.135404031,8.503151056,6.2075168774,5.8824568005,6.427978353,5.568952692,4.42789603,11.85977947,8.56480189267,BRCA
10.9875720195,6.0582708195,6.461647751,6.213186906,7.846792788,5.8517522696,5.8434161095,5.34856477533,5.855623029,4.878003385,11.75128055,8.11835309067,BRCA
9.600415897,7.3283265595,6.855058834,5.691290732,7.9096848,6.2169609176,5.783726554,5.01021263533,5.334149236,6.114372881,11.36752411,9.06854788967,BRCA
