@relation thedata

@attribute 1022 real
@attribute 1026 real
@attribute 1111 real
@attribute 4750 real
@attribute 7465 real
@attribute 993 real
@attribute 994 real
@attribute DependentVariable {BRCA,Control}

@data
9.361681261,11.459753229,6.612872643,8.358696387,10.19591385,5.7113333935,8.3734885345,Control
9.155780297,8.288611166,6.363920643,8.293794782,10.02692145,5.580948299,8.122874722,BRCA
9.394656215,8.320702773,7.245317684,8.159506991,9.985543523,6.1523191905,7.833169232,BRCA
9.99050151,8.2000896335,6.97286817,8.961580736,9.827049342,5.697363916,8.242668288,Control
9.627078354,7.875076566,6.59529898,7.887511753,9.868004973,5.9046360085,7.873025333,BRCA
9.01498366,10.112371314,7.01111856,8.378404463,11.87540007,6.113079114,8.1285894485,BRCA
9.547121611,7.8281740715,6.009555025,9.267963593,9.557684409,5.5721428055,8.1527838655,BRCA
9.825825817,9.436657679,6.619123639,7.941592183,9.923803275,5.5654738825,8.2289934185,Control
10.15470456,8.6840196725,7.851094879,8.407417683,9.902390614,6.648397732,8.048147446,BRCA
9.154553037,8.5305745065,6.438214347,8.212400476,9.707877238,5.7118445555,8.3509543715,BRCA
9.6014742,8.836754421,6.638874358,8.303724962,8.911093174,5.91779079,8.7201886955,BRCA
9.65659519,9.0515115425,6.776897268,8.205415882,9.561431694,5.432572281,8.106706942,Control
9.597587563,9.93093261,6.72451769,7.769244655,10.47980075,5.930654322,7.942992206,Control
9.617614907,9.024549301,6.864034824,6.980656926,10.95004389,6.061094089,8.4020917,BRCA
10.07000053,8.423284332,7.29489898,7.69282666,9.669284207,5.864740453,8.491969698,BRCA
10.12919321,8.254945825,7.016031376,6.762884029,9.773922635,6.176494816,8.6300583405,BRCA
10.19591385,9.9223698205,7.104889949,6.881484531,10.22215524,6.0364801365,8.4242110135,BRCA
10.21780056,8.2659789275,7.423160304,7.185572043,9.596921694,6.3640118835,8.149254864,BRCA
10.13564553,8.414155895,6.880137937,6.674831803,9.584314798,5.8370662645,8.6019966815,BRCA
8.777182254,8.570169323,6.310890502,6.264447878,10.10111594,6.025769593,9.1796482685,BRCA
