@relation thedata

@attribute 1017 real
@attribute 1019 real
@attribute 1021 real
@attribute 1022 real
@attribute 1026 real
@attribute 1027 real
@attribute 1029 real
@attribute 1030 real
@attribute 1031 real
@attribute 1032 real
@attribute 1869 real
@attribute 5925 real
@attribute 5933 real
@attribute 595 real
@attribute 7027 real
@attribute 8900 real
@attribute 891 real
@attribute 894 real
@attribute 896 real
@attribute 898 real
@attribute 902 real
@attribute 983 real
@attribute 993 real
@attribute DependentVariable {BRCA,Control}

@data
9.26596478,10.36475876,9.861095099,9.361681261,11.459753229,9.994983337,6.348705253,8.76644567233,7.053543554,7.199789652,5.763286242,8.976299993,6.5887453015,13.0689563,10.489828235,6.796886882,5.331285345,12.078666735,12.88385376,5.7706733955,8.45525079,5.5594032075,5.7113333935,Control
8.958604237,10.22717101,9.469403277,9.155780297,8.288611166,9.7467670155,5.79053164567,7.79328062833,6.33560512,6.8062819375,6.058322584,7.958452847,6.071126036,12.87039849,10.46698639,6.077889871,5.309804873,11.611352095,12.94317143,5.8681879535,7.832012647,5.1000844475,5.580948299,BRCA
9.1433668585,11.04936549,10.38239737,9.394656215,8.320702773,9.760065891,5.34429371167,6.37685407567,6.291224102,6.3398775945,6.031886566,8.409052632,6.3904238705,13.5121695,10.89809876,6.720350724,5.932280461,11.239416115,12.91933548,6.213232041,7.667131787,6.018363896,6.1523191905,BRCA
7.7178678995,10.81911353,9.614162807,9.99050151,8.2000896335,9.344181055,5.62556244233,6.92119697233,6.820226827,6.758778872,5.460424154,6.610216975,5.8400655215,13.61588998,10.14224707,6.183293584,6.555360353,10.3890085145,13.45687162,5.99736739975,7.517316273,6.0392399955,5.697363916,Control
9.123941273,10.92385505,10.33984475,9.627078354,7.875076566,10.049946495,5.72645123933,7.13000493333,6.92314874733,6.6967949275,6.053008806,8.022008655,5.9923901825,13.04549694,10.17761519,6.125780878,6.520190915,11.263402045,12.53699151,6.29992863125,8.195898639,6.028693113,5.9046360085,BRCA
9.3759597995,10.4760984,10.24168562,9.01498366,10.112371314,9.5007422985,5.244334811,7.51817774933,6.82002590467,6.7887411625,5.770572224,9.286795183,6.522425026,13.37610779,10.807258755,6.672712173,6.429495141,12.09514334,12.17175704,5.7160804985,8.0884774495,6.0648074825,6.113079114,BRCA
7.9728052855,10.77554879,9.112401142,9.547121611,7.8281740715,9.015559992,5.81224373133,6.73216024933,6.466742065,6.088283748,6.146803484,8.555107826,6.099787242,13.46367638,10.526885685,6.268944869,7.168173481,10.946341345,13.85125179,6.32124444525,7.0980443305,5.427401159,5.5721428055,BRCA
9.321425499,10.6537276,9.92562903,9.825825817,9.436657679,10.6232973005,6.476135957,7.338088569,7.26308391167,6.4498707235,5.920180882,9.023671978,6.370537735,12.73729283,10.77234512,6.986072764,5.149148835,11.88460825,12.71834242,5.7012189585,8.2150115435,5.6375433755,5.5654738825,Control
9.1526830635,11.33166731,10.90635345,10.15470456,8.6840196725,10.059640231,5.35894690833,6.35641451967,6.64726578967,6.3517334465,5.598879718,8.717951507,6.41500878,13.81715158,10.885151175,6.059891283,6.342257494,11.41159953,12.66988608,6.42728370275,8.2231503775,6.505547144,6.648397732,BRCA
8.766958367,10.5411695,8.967515291,9.154553037,8.5305745065,9.9202580165,5.788030138,7.83504918467,7.065452006,6.6069759705,5.672857555,7.473200667,5.7040748415,13.40233131,9.9169571465,5.906897358,5.2209212,11.66871985,12.79544315,5.859119673,8.1149854775,5.4053195205,5.7118445555,BRCA
8.5614408535,11.20375193,9.62214845,9.6014742,8.836754421,10.1640382545,5.712608247,7.90194792633,6.79439676967,7.26081787,6.357820835,6.142419181,6.275458653,13.46367638,9.794661619,6.413717301,5.842357415,11.625566415,12.43207997,6.179762227,8.174296834,5.220752803,5.91779079,BRCA
8.893995041,10.68360899,9.837833335,9.65659519,9.0515115425,10.0441681905,5.99415791867,7.66847662533,7.19577499067,6.2138678085,5.853877943,9.062316786,6.064545157,12.99332148,10.79646675,6.364446037,5.585571947,11.59706918,12.41967063,6.16318161475,8.4740299995,6.0055657725,5.432572281,Control
9.195934583,10.23700709,9.342986415,9.597587563,9.93093261,9.813364775,5.68078141,8.74712282133,7.31294713633,6.5680005665,5.687208569,8.997758931,6.3601540045,13.31043176,10.63857576,6.086619917,5.639963781,11.855013655,12.53119874,5.667146432,8.5940360615,6.0129300215,5.930654322,Control
9.7479615385,10.96383915,9.335714771,9.617614907,9.024549301,8.716991196,5.986607541,7.00145541933,6.764573979,6.776672548,6.099827094,9.187897079,6.176179603,13.18898907,11.152632775,7.790741294,5.135464327,11.12952345,13.11936595,6.11855449125,7.1655308455,5.5090344575,6.061094089,BRCA
9.3160147545,10.80365511,10.89385156,10.07000053,8.423284332,8.4863279555,6.04954423267,7.21934104333,6.99683072633,6.8202559695,5.927310565,9.308988054,6.438639009,14.23655206,11.52254988,6.853469023,5.666480557,12.551416785,13.00646289,6.4922561955,7.126664761,5.6287591775,5.864740453,BRCA
9.532128788,11.19882886,9.82934264,10.12919321,8.254945825,8.9933055285,5.98239616367,7.010125283,7.25470899033,7.2164205245,6.0664182,8.652093075,6.21660869,13.61588998,10.877554945,6.723391747,5.51460459,11.093729415,13.06098469,6.27371824275,7.207971487,5.441586912,6.176494816,BRCA
9.817272827,10.83893427,9.506506502,10.19591385,9.9223698205,8.896381156,5.58848003267,6.57025080233,7.008242637,7.142607677,6.240701309,8.567082519,6.2830805425,13.2267238,11.10197649,6.401567006,5.524354632,11.108364475,12.5708958,6.19627768275,7.3753302775,5.6210469815,6.0364801365,BRCA
9.1966010805,11.23443143,10.33792321,10.21780056,8.2659789275,8.753016755,6.30118840567,7.23399989233,7.37218457767,6.6288968995,6.12918576,8.774162024,6.482277766,14.16199356,11.244230505,6.604779761,5.588273328,11.940891065,12.37838706,6.47813675725,7.5514060975,5.8102462945,6.3640118835,BRCA
9.742178486,11.16747477,9.901093579,10.13564553,8.414155895,9.089847459,5.94716203467,6.769539484,7.10928509433,6.9512690125,6.065072081,8.989423683,6.301718067,14.14434519,11.353999045,6.284297232,5.759562832,11.844809665,12.85954552,6.1333137935,7.2303432025,5.34095673,5.8370662645,BRCA
9.453635543,10.8875331,9.391867114,8.777182254,8.570169323,8.921795507,6.439666078,7.121296619,7.20464467467,7.147884629,5.901899413,9.119292054,6.411743172,13.03513077,10.4543565965,7.03100122,5.101619875,11.310421865,12.22502371,5.9634582625,7.3442798615,5.46625573,6.025769593,BRCA
