@relation thedata

@attribute 1386 real
@attribute 1432 real
@attribute 2353 real
@attribute 3725 real
@attribute 5594 real
@attribute 5595 real
@attribute 5599 real
@attribute 5600 real
@attribute 5601 real
@attribute 5602 real
@attribute DependentVariable {BRCA,Control}

@data
8.727649179,7.09994864525,14.72004222,14.72492149,8.27215776867,11.634256725,5.939777752,7.4995792045,7.621649748,6.7523535558,Control
7.390558334,6.60639379225,13.75148289,14.11502538,7.85669691467,11.27623323,5.0886580415,7.383968157,7.563421716,6.347242776,BRCA
7.432878264,6.58493097,14.33042537,14.41297137,8.11094053067,11.198356615,5.6701097255,7.0833900895,7.8060539105,5.84197348,BRCA
6.4694836,6.0589973865,12.01436934,14.08054111,7.98209816267,11.274247985,5.7758281875,7.0038486335,6.9189611885,6.4393043462,Control
7.558059277,6.730522711,12.40857396,13.43392773,7.82991936767,11.21839075,5.704258658,6.931778481,8.1880407455,6.3743216144,BRCA
8.61053686,6.87151716925,13.96600025,13.80946823,8.18650002,11.07534033,6.517858181,7.4215310095,8.3174977465,6.511764621,BRCA
6.689582656,6.362735412,10.44201071,13.91249272,8.451561107,11.151396135,5.6011167705,6.239058915,6.747341416,5.495877927,BRCA
8.441575941,7.0975611175,14.08516788,13.96294256,8.171538624,11.40345044,5.401013329,6.487104221,7.762308173,6.3190254744,Control
7.598929252,6.41978303225,14.82357723,14.44356588,7.91861634733,10.99057863,5.8779809975,6.9655385505,8.3694050275,6.1710283688,BRCA
6.79980331,6.2012063225,11.55023948,13.15952927,7.74245236133,11.551814785,5.5839936855,6.9279187635,7.524249938,6.6645194764,BRCA
7.29034405,5.5612686795,14.20597115,14.17314893,8.06297051567,11.573459625,5.9065229025,7.8209172285,7.597317289,6.3734932246,BRCA
8.450346395,6.791169903,14.15265365,13.87385551,8.197304519,11.32136754,5.767601547,7.3186471095,8.0098633265,6.7192971842,Control
8.394260237,6.935865955,14.61254488,14.67256817,8.151507585,11.488573795,6.1670985755,7.67532014,7.822857961,7.4496009772,Control
8.687726581,6.23780006725,13.61588998,13.48222565,8.08129530567,11.695521545,5.967633391,8.0652644275,7.8440908905,6.4529665452,BRCA
8.685117683,6.155251749,12.35733627,13.17144427,7.95451796533,11.206231375,5.329465727,7.6098380195,7.5531159175,6.5996740378,BRCA
8.420129842,6.273689165,13.96294256,14.09890062,8.00665617633,11.49634678,5.656097949,7.0284721055,7.5935132445,6.4103000694,BRCA
8.480952861,6.46315116575,13.92451704,14.01211384,7.86577453733,11.796022585,6.071716146,7.455521977,7.244024888,6.3663407464,BRCA
8.212765231,6.3805448535,12.40276968,13.34674991,8.01917131267,11.46459896,6.259376137,6.6752901625,7.5582124195,6.4518559062,BRCA
8.550709395,6.522968526,13.08977243,12.76004735,7.890844983,11.5411915,6.1648761405,7.151868078,8.134159504,6.2563490298,BRCA
9.242996091,6.65967948325,8.405238411,12.03663478,8.742530249,12.52079595,5.593235253,7.830943777,7.835265585,6.6932167248,BRCA
