@relation thedata

@attribute 1385 real
@attribute 1386 real
@attribute 1432 real
@attribute 1616 real
@attribute 1649 real
@attribute 2002 real
@attribute 2885 real
@attribute 3150 real
@attribute 3265 real
@attribute 3315 real
@attribute 3316 real
@attribute 4149 real
@attribute 4205 real
@attribute 4207 real
@attribute 4208 real
@attribute 4209 real
@attribute 4214 real
@attribute 4217 real
@attribute 4293 real
@attribute 4609 real
@attribute 5321 real
@attribute 5608 real
@attribute 5879 real
@attribute 6416 real
@attribute 6464 real
@attribute 6772 real
@attribute 6885 real
@attribute 7040 real
@attribute 7042 real
@attribute 7043 real
@attribute 7046 real
@attribute 7186 real
@attribute 8550 real
@attribute 8569 real
@attribute 8717 real
@attribute 8737 real
@attribute 9252 real
@attribute 9261 real
@attribute 998 real
@attribute DependentVariable {BRCA,Control}

@data
10.707890538,8.727649179,7.09994864525,9.030281671,8.792628551,9.719046985,9.4954151895,11.83696534,7.4423513115,13.18452521,10.71269919,6.8375421116,7.78313105,6.663490948,9.521659876,10.4068032,10.46146439,9.636896969,6.186565552,11.83974258,5.689167221,5.85530403967,8.85850435833,8.585478725,9.15105029633,10.31346778,9.487800372,5.682300273,6.78103548,9.289875449,6.451380618,7.722570406,8.6131693455,7.6838955385,8.13891188267,9.943694688,7.256578464,7.3429582785,7.16387589625,Control
11.4528809893,7.390558334,6.60639379225,9.473939649,9.578250555,9.192268846,9.5539178325,12.073843205,7.8897640555,12.74140174,9.812141649,6.6132613134,7.902708426,6.316829651,10.58265505,10.70325065,11.6627575,9.908805826,6.680926028,10.569760214,5.663779561,6.054235957,9.23532012167,8.106593131,8.42779587067,10.329653278,9.4310771815,5.101199635,6.166218956,9.578863787,6.425850025,8.156008632,8.3752710795,7.3510555305,7.57672874133,10.07879165,7.931104142,7.508147197,7.17118701125,BRCA
10.8440250817,7.432878264,6.58493097,9.369221698,8.778833709,9.676230874,9.480270588,12.621348135,7.856102429,11.85473021,9.188663714,6.665051653,7.507995028,6.52305663,9.044121624,10.32680616,11.77105209,9.513535713,7.087943107,11.54593261,5.682862067,6.35618041933,9.280236709,8.6701660175,8.45925672733,10.0589241477,8.9013859115,5.014814152,5.995434345,9.330514214,6.18913825,8.551997661,8.6506075105,7.22130858,7.91175192233,9.929872764,7.428122563,7.067906808,7.03238297825,BRCA
11.337274206,6.4694836,6.0589973865,9.851765094,9.124600272,9.684192438,9.432546201,11.493006387,8.398114105,12.10651723,9.506942805,6.3501149108,7.016310012,6.648325671,9.709937252,10.46847669,12.00382718,10.2853274,7.290182754,10.2570662725,5.460424154,6.36100294267,9.422761191,8.231806127,7.73867912133,10.100698262,8.417672848,4.808914358,5.797150007,10.06419075,5.673352364,9.141437341,8.4311802525,7.550181463,7.18497456933,10.01119619,7.4437513505,7.5757878185,6.55593589375,Control
11.0490871027,7.558059277,6.730522711,9.396953172,9.442057669,9.981439248,9.66718229,12.512242245,7.697637374,12.65578567,9.256055991,7.0390496008,7.945504008,5.86196234,10.17606751,9.976772145,11.72645885,9.842350785,7.144329712,11.50644256,5.599028548,5.979395943,9.29741101033,8.6043275615,8.10318445333,10.5729125313,9.2133861525,4.828848945,6.737352562,9.272076349,6.53056679,8.106250323,8.749129863,7.490961799,7.786651762,9.484878832,7.794648318,7.645516256,6.99171327025,BRCA
10.8002004453,8.61053686,6.87151716925,8.235417282,8.879798508,9.979768545,9.9164802245,12.33796858,7.3388634815,12.15735176,8.550151431,6.7679002552,8.516705752,6.127948551,9.550766562,10.91587586,11.51112271,9.445998278,7.1507656,12.17961768,6.376000002,5.98125183967,9.14697742367,8.9337864765,8.70127661067,10.5815088053,9.9163703245,5.321216715,7.238598499,9.540317507,6.537921615,7.922110302,8.944402292,7.9775367345,8.01981551,10.12499078,7.69743404,7.5964459115,7.00999639125,BRCA
11.1354255073,6.689582656,6.362735412,9.700778298,8.400240246,9.212867878,9.167523377,11.308558342,7.9742866725,12.66081938,9.969631552,6.926938337,7.842729237,6.060269679,10.64474883,10.09149526,12.26224618,10.88558411,5.701348918,10.2032142635,5.333433796,6.79660585167,9.62804284167,8.457614913,8.36198243367,11.3817422673,8.575344218,4.73770262,6.518854253,11.79415195,7.387675143,8.283761058,7.866317614,6.9360294185,6.84780819533,9.601752743,7.844629794,7.3846532985,7.10702874775,BRCA
10.258386433,8.441575941,7.0975611175,8.817432296,9.856531013,9.290572499,9.1611827995,12.8093075,7.7095138065,12.89900003,10.48635768,7.0799700492,7.642631408,6.500009775,8.670303166,10.37227772,10.99477083,8.478204487,6.222848625,11.820520445,5.891304496,5.93944441167,8.82865486733,8.519260169,8.53051419067,9.76574384767,8.9471097785,5.167931151,7.822174254,10.56613044,6.018039483,7.748127633,8.731566002,7.2742748985,8.008015864,9.671351374,7.921844917,7.097562405,7.09973287325,Control
10.6759547673,7.598929252,6.41978303225,9.320067806,9.174452064,10.01823535,9.3657406255,12.626348255,7.94496816,12.28769659,8.989523027,6.8624420014,7.29632232,6.308617188,8.626175475,10.19459101,11.9611296,9.024350935,7.383015446,12.140966635,5.847816088,6.398579306,9.29235500067,8.505661469,8.16926655967,9.956344037,9.204869818,5.46083367,6.303694572,9.938499406,6.385953509,8.550151431,9.1104104155,7.165259291,7.927182045,9.108531726,7.9904688245,7.4254276565,7.18183415025,BRCA
11.1110274023,6.79980331,6.2012063225,9.83968846,9.727801838,9.726661428,9.70078824,12.29931802,8.148239231,13.22888561,10.06406609,6.8567213522,7.098982487,6.124747507,9.596921694,10.26978741,11.43790563,9.918602815,7.803584057,9.975804059,5.838328613,5.92169088967,9.23513699733,8.616861979,8.39504068233,10.3519697093,8.9430429875,5.062004299,6.274406692,9.642061229,6.276734513,8.509301078,8.2279334285,7.1768613545,7.73106613,9.863923404,8.0356480365,7.581342169,7.09000222,BRCA
