ID	7846	5578	3875	7454	9076	10382	10383	10381	387	2017	6093	7280	8976	23643	25	10376	10093	10092	929	3688	10095	10094	71	4691	10109	56604	113457	4690	10971	7100	347733	79861	1499	7278	347688	51807	7277	8440	84790	60	653888	9475	81027	3059	7430	9181	10552	7099	84617	81873	7534	203068	2534	4950	998	112714	999	DependentVariable
Instance1	13.072443805	8.688181342	8.68886287333	9.100426551	8.407417683	5.398154738	11.65291678	6.801873633	12.37603319	10.0739040023	8.331209336	7.899660725	11.4461297	10.93816836	8.477645733	14.1941174	9.499690458	10.89786457	12.48380266	9.30169669467	10.09238094	11.71972476	14.665256985	10.33211648	8.15422259167	7.837046205	7.121780497	10.98495975	13.50065522	10.33984475	11.80723024	6.080503777	6.94578590514	5.37574431	5.209464331	4.602195245	7.482104333	8.433473539	13.41290062	14.7883179233	10.50407936	12.232557025	4.884855828	10.58354379	12.41104094	11.83642135	12.1820747	8.456252884	10.718289445	10.45974951	10.0952864045	12.44246648	9.2289642325	5.06812332625	7.16387589625	8.943043048	12.00989343	Control
Instance2	12.79617952	9.433471275	8.40715857833	9.110745023	11.4035182	5.696558124	11.40523204	6.528419434	12.57624761	10.1522071207	8.399610251	6.301135476	11.4951169	10.51616813	8.14341671633	14.25434036	9.417554013	11.05968771	12.773988575	8.828078384	9.837261744	11.47931054	14.318888115	10.074227995	8.15676343467	7.418044703	5.6994159315	10.84149381	13.29267684	10.8133766	11.30388933	6.322474074	6.96887473943	5.34066129	4.708480413	5.214524337	8.517473661	8.724393685	13.20290364	13.8159086333	10.54691402	12.3160764435	5.576228285	10.51270618	12.7347446	11.86434298	12.12614151	6.966306806	9.998851935	10.41695085	9.889935938	12.42498107	8.8907159655	5.0207250725	7.17118701125	6.833462944	12.20475003	BRCA
Instance3	12.980355135	8.48506563	9.72524363767	9.515168153	10.24378721	5.088959125	11.56729791	7.261603975	12.07257321	10.012650556	7.854652002	6.615081971	11.70577504	9.696107356	7.833762168	14.23655206	9.38985602133	10.9723177	12.912822165	8.9042892375	9.537097584	11.78498046	14.52431873	10.5012893	7.847913727	7.903823301	6.1586145725	10.64831289	13.56248158	10.89259805	11.47795694	7.192492866	7.126093946	5.122477305	5.001702332	5.070616072	8.770202293	8.9589157885	13.54762602	14.49928798	9.820243246	11.8573344895	5.283469238	9.804115337	12.91499054	11.64258438	12.20235811	6.90941648	8.8367880875	10.50841903	9.9154335515	12.862480425	8.275073194	5.17524123025	7.03238297825	6.480512034	12.80365393	BRCA
Instance4	12.245734715	9.211511834	8.32650319733	9.057775928	9.151968584	6.555360353	11.48413324	7.465997159	12.17972416	9.609811212	7.179165475	7.56639873	11.19831015	10.56679164	8.03563056533	14.29545473	8.56583278567	11.11140976	12.50286316	8.75186424133	7.800869372	10.5789154	12.912810505	10.381736538	8.030097108	7.021399564	6.995704449	10.73945599	13.18898907	11.19501551	11.48628211	6.771658241	6.25068708814	5.545127619	5.423251451	5.114378737	8.99094148	8.508698179	12.27296951	11.1284900313	9.033919273	11.581178851	4.845002284	10.29729206	13.25089354	12.14617574	11.976813	6.225261069	8.260153639	10.81174016	9.348023424	12.463633735	8.08464112175	5.28455863825	6.55593589375	8.32993211	12.55838012	Control
Instance5	12.856054365	8.977409535	9.30002734133	9.305475333	11.39527989	6.418532045	11.38910174	7.103002192	12.74633592	9.97809598733	7.894031227	5.806975681	11.62848212	10.36033166	7.73201711767	14.25942553	9.710707035	11.43117909	13.176504155	9.13491446	9.705036667	12.001308	14.515533555	10.6840696995	8.34836942533	7.56287418	6.1552991135	10.86805107	13.29757193	10.88836296	10.56653005	6.617471597	7.18244667671	5.185877691	5.397641479	4.824273041	9.298601687	9.1700397085	13.71793344	14.66759481	10.50042393	12.51727103	5.418368122	10.50876069	12.63069834	11.49963678	12.26795863	7.753252064	9.4396665595	10.62937509	10.0235137525	12.56996462	8.34620788925	5.2071634425	6.99171327025	7.551671977	12.44726543	BRCA
Instance6	13.77264423	8.467749328	9.68700601667	9.216237264	13.07564465	5.641409649	12.7347446	7.468056067	13.08540943	10.518768703	9.001704532	8.22222873	12.05670215	8.97466634	8.347844869	14.5197155	9.555607159	11.83572685	13.286500315	9.489530799	10.63394452	11.44205205	14.9749406	10.576719939	8.00584487167	8.074062668	6.307885276	10.69407078	14.10257573	10.66888523	11.40976762	6.190027732	7.271366378	5.066316611	4.867663307	4.856999696	9.118098254	9.2483995865	14.37348409	15.0760746733	11.23348204	12.441328291	5.144465785	10.88347212	13.74850791	11.42649031	12.07225833	8.209345068	11.162534375	10.4246495	10.8386970845	13.067456365	8.716652398	5.271321113	7.00999639125	7.165387221	13.02343475	BRCA
Instance7	11.906436665	9.024558716	7.31476250433	9.490330011	8.22256686	6.292326809	11.04525817	8.628446565	12.27941189	9.43065557467	8.073955593	6.365014999	10.73380366	12.44988381	8.06255483	14.39263877	9.01311569333	11.68668229	12.250297535	9.251714595	7.950470054	10.27097304	13.05627132	9.872988017	8.45268306967	7.982781325	8.6539353945	10.66366508	12.51339458	11.48104019	11.53930922	6.754958049	6.587592285	5.682019293	5.155031965	5.197326058	9.185154884	8.534541428	11.9684077	10.2940315303	9.25803663	12.1160117875	5.315069158	10.4944859	13.34320241	11.9128857	11.42040518	5.606746643	8.4261246795	10.98367433	9.2605399885	12.31689829	8.39165280725	5.259758242	7.10702874775	8.17951245	11.40859261	BRCA
Instance8	13.058642555	8.419813926	9.28016104033	9.600610375	9.706263374	5.655646098	11.34927862	7.60485179	11.89259415	10.1609357657	7.856831861	5.532793245	11.5141002	10.7538521	8.098905571	14.07409548	9.50779215367	11.27693876	12.88118256	9.23773095817	10.25218676	12.28941816	14.795549445	10.0584271225	8.14682343433	6.853313064	6.80397072	10.92270353	13.71343219	9.892869539	11.6923846	5.956063188	7.12159637657	4.867045482	4.846005888	5.261917434	8.216698727	8.850359256	13.73376056	14.9143649833	10.41744146	11.963258885	5.826809832	10.65722043	12.46971692	11.46940666	12.31403378	7.833192323	10.304747614	10.49226909	10.193168701	12.522197665	8.80415305075	5.6739400935	7.09973287325	7.995599168	12.40979539	Control
Instance9	13.136039135	8.419971893	10.0005797197	8.933366916	9.125000832	5.46083367	12.26341894	7.156085921	12.60350703	10.183452797	7.307431087	6.943455835	11.6557522	9.303998235	7.97372860733	14.40827668	9.783309259	11.35175104	12.657291755	9.05065703483	9.467045646	11.7987959	14.61562869	10.959330774	7.95081237733	7.795310977	6.4255607725	10.77967445	13.52549699	10.47248806	10.97179879	5.993510911	7.27824373014	5.758164072	6.047457275	5.503993644	9.111501597	9.2112986685	13.88031822	15.0102008533	10.29486801	12.3255748965	5.139562862	10.31313278	12.84191128	11.42258795	12.11639279	6.888990144	9.317154837	10.69117233	9.9899662245	12.97769962	8.0162301535	5.4688584855	7.18183415025	7.715775208	12.47414328	BRCA
