ID	2686	2678	2687	51380	2571	570	2572	124975	1036	84890	DependentVariable
Instance1	6.33411121033	6.065205944	8.344163978	8.9292507365	5.38304633667	4.993687096	5.784118687	8.722953607	10.520687727	9.704068386	Control
Instance2	7.13401517067	6.659648238	8.730589968	9.160346108	5.555093649	4.576912188	5.641409649	8.756123553	8.7710791645	9.883896123	BRCA
Instance3	7.03097167033	6.97372434233	7.53621054	8.7121984105	5.46421904767	5.48205062	5.149148835	9.899670779	7.5527339285	10.05069253	BRCA
Instance4	6.72793375733	7.15247666833	7.716855678	8.7750067405	5.54813415467	4.441925913	5.850631456	9.720834695	7.7868225515	10.19872162	Control
Instance5	6.58913345567	7.202306624	7.695960982	8.566500885	5.30357325	5.588723066	5.651059765	9.808622811	8.562258308	9.832257559	BRCA
Instance6	6.71845632	7.31318461633	7.551018227	8.454287175	5.448684967	5.36773034	5.703219255	7.687832523	9.284067943	10.42177586	BRCA
Instance7	7.024168189	6.448658398	7.636409152	8.9768677195	5.79339804	4.899068355	6.046584505	7.875228881	7.7184041835	10.00278026	BRCA
Instance8	6.503359333	6.61667624833	8.068417055	9.067952276	5.31003055167	4.703782956	5.820441464	8.86916284	9.0144737595	9.764714513	Control
Instance9	6.790811062	7.12504087833	7.561385569	8.3625118115	5.29941082167	5.352274105	5.821079567	9.807017204	7.4105324135	10.08180334	BRCA
Instance10	7.164298385	6.46160281933	7.160832288	8.8552999135	5.29248360533	5.250782787	5.921252584	9.836169177	9.485822834	9.905748433	BRCA
Instance11	6.691996078	6.77001273867	8.959249336	8.7197706915	5.39489482267	5.011910695	5.662640784	9.079012114	9.7091027535	10.03852848	BRCA
Instance12	6.84687285667	7.94637101267	8.066965207	8.9770988325	5.59080149	4.977292804	5.613687265	8.839503892	9.3037913125	9.932037957	Control
Instance13	6.67108949033	6.141981213	8.217813694	9.1122603185	4.981569429	5.602298936	5.759562832	8.316667472	10.097645673	9.492694986	Control
Instance14	6.08227019567	6.87434366967	8.375192737	9.3679041875	5.47473271133	4.933113756	5.836246857	8.794173061	8.1806469745	9.314963339	BRCA
Instance15	6.08778383933	7.25331251967	7.936492374	9.790053913	5.63404647867	5.586322838	5.541492575	8.217486565	7.8776436135	10.2800983	BRCA
Instance16	6.65832159467	7.407032583	8.117774412	9.1589924015	5.35568885767	4.518505219	5.679065704	9.288163079	7.434445017	9.530792138	BRCA
Instance17	7.15778711267	6.99502444167	7.952655534	9.21888213	6.65760496733	5.077041333	5.702942321	9.827049342	7.4338003125	9.214878315	BRCA
Instance18	5.83676535833	7.01575437633	8.298797049	8.9034085425	5.49308264767	4.931459981	5.86159021	9.320067806	8.1493631135	9.816688146	BRCA
Instance19	6.735089302	7.28690004133	8.317029418	9.0061121235	5.87214272333	5.456322582	5.766470106	10.0981575	7.238486623	9.601214178	BRCA
Instance20	6.72197647567	7.44153337733	9.320829383	7.788097681	5.37312985767	4.586234078	6.58304938	9.784757978	6.773224819	6.041117697	BRCA
