@relation thedata

@attribute 10270 real
@attribute 1655 real
@attribute 5499 real
@attribute 5515 real
@attribute 5567 real
@attribute 5568 real
@attribute 5571 real
@attribute 5576 real
@attribute 5577 real
@attribute 891 real
@attribute 983 real
@attribute 9918 real
@attribute DependentVariable {BRCA,Control}

@data
10.17096442,13.78618183,9.5855365545,11.688477345,5.4829326402,5.48205062,10.084193648,8.786482932,4.767140212,5.331285345,5.5594032075,8.923692292,Control
10.58837058,13.55973441,9.3156588355,11.725137905,5.5428379012,5.804719114,9.5416181315,8.66542575,5.442455259,5.309804873,5.1000844475,9.868745837,BRCA
10.15378036,13.34674991,9.882436552,11.639330205,5.4641368762,5.527329405,9.9835099365,8.815320146,5.112503363,5.932280461,6.018363896,9.966433757,BRCA
10.40311354,13.02515173,9.0515971275,11.80875598,5.1156792046,5.655216748,9.3324219335,8.115695415,5.7109519,6.555360353,6.0392399955,9.347278715,Control
10.06266044,13.32090986,9.717115444,11.458095575,5.466218321,6.407145055,9.8517271485,9.518791383,5.377654117,6.520190915,6.028693113,9.665780528,BRCA
10.27030734,14.57543497,10.080564477,12.40345346,5.6759717936,5.625863148,9.698559825,9.231287868,5.316879984,6.429495141,6.0648074825,9.378252108,BRCA
10.21801255,12.68497545,8.7738660505,12.072677105,5.5322651396,6.430289978,8.827384863,8.344585666,4.904497645,7.168173481,5.427401159,10.63654785,BRCA
9.683530284,13.57316849,9.8100499835,11.932399345,5.3094441946,5.233822166,10.092337449,8.118825763,5.023045997,5.149148835,5.6375433755,9.072461663,Control
10.15840177,13.40233131,10.06551331,11.55756824,5.291675395,5.844493149,9.9168075855,9.026662535,5.398154738,6.342257494,6.505547144,9.45547165,BRCA
10.22045122,13.01560762,9.747962555,11.593713005,5.3589494338,5.913135501,9.689212392,8.794173061,5.778347403,5.2209212,5.4053195205,10.03462055,BRCA
10.09063551,13.45145845,10.5894170155,11.25085226,5.0578073466,6.287994543,10.115223719,8.176760488,5.492182674,5.842357415,5.220752803,9.01498366,BRCA
10.09113158,13.57945564,9.753951278,11.817863435,5.3421536938,5.822227442,9.808880693,8.94526175,5.564539174,5.585571947,6.0055657725,9.140447083,Control
9.976514407,13.64479198,9.775057581,11.68167441,5.4913025734,5.416511492,9.917648454,9.004516227,5.301049141,5.639963781,6.0129300215,9.204596284,Control
10.65812692,13.85629375,10.043198149,11.736023615,5.4387987878,5.237842121,9.757834043,7.750842834,5.268482349,5.135464327,5.5090344575,9.341525008,BRCA
10.45670378,14.02134875,9.957884427,11.7690989,5.8117429202,5.913135501,9.854883019,8.335480939,5.287261033,5.666480557,5.6287591775,9.940739781,BRCA
10.65513514,13.28849775,9.9873893335,11.54137497,5.3283454926,5.754627826,9.921195836,7.540595216,5.765409598,5.51460459,5.441586912,9.527897792,BRCA
10.90549628,13.47574423,10.2225047675,11.71439964,5.4065428568,5.634165776,9.7498872995,7.582482852,5.66903474,5.524354632,5.6210469815,9.437815065,BRCA
10.65929157,13.57553219,10.030525935,11.698874855,5.5295343186,5.620154746,9.908543862,7.646560735,5.325990094,5.588273328,5.8102462945,9.297908507,BRCA
10.60390937,13.33363132,10.396135035,11.60967717,5.4814391052,5.341284192,10.0830347715,7.576259705,5.707781006,5.759562832,5.34095673,9.280017406,BRCA
11.08849694,13.19114487,10.5077297325,9.2723260095,5.1210123436,6.445516183,9.4812362635,7.632470217,5.002940155,5.101619875,5.46625573,9.38829779,BRCA
