@relation thedata

@attribute 1017 real
@attribute 1019 real
@attribute 1021 real
@attribute 1026 real
@attribute 1029 real
@attribute 10912 real
@attribute 1111 real
@attribute 11200 real
@attribute 143686 real
@attribute 1643 real
@attribute 1647 real
@attribute 25898 real
@attribute 27113 real
@attribute 27244 real
@attribute 2810 real
@attribute 317 real
@attribute 3479 real
@attribute 3486 real
@attribute 355 real
@attribute 3732 real
@attribute 4193 real
@attribute 4194 real
@attribute 4616 real
@attribute 472 real
@attribute 50484 real
@attribute 5054 real
@attribute 51246 real
@attribute 51512 real
@attribute 5268 real
@attribute 5366 real
@attribute 54205 real
@attribute 545 real
@attribute 55240 real
@attribute 55367 real
@attribute 56475 real
@attribute 5728 real
@attribute 575 real
@attribute 581 real
@attribute 595 real
@attribute 6241 real
@attribute 637 real
@attribute 63970 real
@attribute 64065 real
@attribute 64326 real
@attribute 64393 real
@attribute 6477 real
@attribute 651610 real
@attribute 7057 real
@attribute 7157 real
@attribute 7161 real
@attribute 7249 real
@attribute 836 real
@attribute 83667 real
@attribute 841 real
@attribute 842 real
@attribute 8493 real
@attribute 85417 real
@attribute 8795 real
@attribute 891 real
@attribute 894 real
@attribute 896 real
@attribute 898 real
@attribute 900 real
@attribute 901 real
@attribute 9133 real
@attribute 9134 real
@attribute 9538 real
@attribute 9540 real
@attribute 983 real
@attribute DependentVariable {BRCA,Control}

@data
9.26596478,10.36475876,9.861095099,11.459753229,6.348705253,9.101726968,6.612872643,6.32033029133,6.973097852,6.645049976,10.62754363,6.4584560415,5.495864018,10.74978588,8.516429993,7.460673902,7.6246849295,11.92769238,6.109057762,9.3750284035,5.4774530015,7.796949931,11.20109948,7.15912118675,6.7727345325,9.241179451,11.66436963,6.236593665,10.56355884,5.974007269,8.464342681,5.382345047,6.629950504,6.639637917,5.927073476,10.48283344,5.13832184,7.63009585267,13.0689563,4.443820456,7.03937931067,6.2621302805,7.425134323,8.911967117,11.73761689,8.9173161605,4.871364705,12.26985874,8.333402628,5.264922245,7.102536626,7.931813168,7.023812905,5.6639776582,7.924560768,8.696768599,5.56661387233,7.53281069967,5.331285345,12.078666735,12.88385376,5.7706733955,7.503743418,8.6916233745,6.31084507,5.353672182,10.1286962715,7.5206280795,5.5594032075,Control
8.958604237,10.22717101,9.469403277,8.288611166,5.79053164567,7.637278986,6.363920643,6.25695428167,7.003211842,6.494940064,9.28877759,6.505620855,4.970176368,10.12862307,8.608616259,7.8219347,6.947135646,10.892620015,5.4568451785,10.1554187405,5.63969746625,7.308022979,8.063760596,7.09089637525,6.530101884,6.935404128,11.66525609,6.271841744,10.24862174,5.6670639275,8.779925425,5.67954943775,6.93157876933,6.97607878467,5.782546988,10.32512022,5.80063055625,7.28221449733,12.87039849,4.95444207,7.36277768733,6.440101583,8.556689134,9.11655921633,12.186111025,9.233151983,5.119990277,10.93386418,8.508984299,5.588872948,7.8100749315,8.1988449165,6.983110824,5.8528914586,7.7506065195,8.589015439,5.32840669433,7.06171540467,5.309804873,11.611352095,12.94317143,5.8681879535,7.655246997,8.014534016,6.183690582,5.877209297,9.8709115345,7.453001101,5.1000844475,BRCA
9.1433668585,11.04936549,10.38239737,8.320702773,5.34429371167,8.271055753,7.245317684,6.585177168,7.314993564,6.857020303,10.689909005,7.0652904225,5.96272903,11.27014362,9.055378109,7.4969355985,5.9026635435,10.061191199,5.8381822935,10.5121557005,5.8602843415,6.84843868,8.60548982,7.165383526,6.2067188335,6.442492064,11.67671314,6.791654965,10.95206435,5.853894957,8.42928237,5.3269021,7.02786105167,7.01281310967,5.860349081,10.4297627,5.482817506,7.63291516533,13.5121695,5.605858198,7.39390802233,6.9683847455,8.413650273,9.076053647,11.6013258,8.94483761725,5.210828387,11.57272404,9.660905593,5.052471595,7.3984048785,8.03923302,6.971546787,5.7897319854,8.1061247785,8.102055909,5.44991738967,7.133501108,5.932280461,11.239416115,12.91933548,6.213232041,7.708408294,9.201461207,7.982781325,5.7851863155,10.3087342205,7.680692092,6.018363896,BRCA
7.7178678995,10.81911353,9.614162807,8.2000896335,5.62556244233,8.45875635,6.97286817,5.902611751,6.816507311,6.866076894,8.5101240955,6.518957182,6.421312202,10.22941402,9.574508914,7.949551686,6.5710894325,10.17535319,5.9473627115,9.9081981445,5.5016593965,7.415575151,8.906628426,6.962212015,5.6898668955,5.66903474,11.82578773,6.869597313,9.713799383,6.308415087,8.584211958,4.95432611925,6.91882273367,7.45180165033,9.62947553,10.18190731,5.4997449715,7.33493823133,13.61588998,5.525294697,7.22347936333,6.6722053715,8.984889163,9.22604407833,11.7274016025,9.07097934775,4.673859936,10.57445661,8.338826757,5.051166787,7.6503556025,8.049352819,7.040511999,5.6257131728,7.389583129,8.44588509,5.14516319767,7.06723032167,6.555360353,10.3890085145,13.45687162,5.99736739975,8.0041544045,7.791563161,9.036723879,5.83079519,9.564742579,8.112705398,6.0392399955,Control
9.123941273,10.92385505,10.33984475,7.875076566,5.72645123933,7.631306447,6.59529898,6.41017141933,6.35799673,6.134329409,8.93817669,6.707401449,6.09909068,9.991437211,9.045569331,7.4088003525,7.739494752,11.22900576,6.4964374115,10.85139651,5.80954885825,7.988231821,7.731999695,7.2431584955,6.5280698655,5.826174259,12.02065196,6.53263304,9.952879951,4.891742469,8.435838088,5.394762578,7.19765428367,6.66633438867,5.956005089,10.27256013,5.489793558,6.91556020333,13.04549694,6.326164856,7.344893544,5.4832777165,8.597597398,9.10345924067,11.89548972,8.87112144175,5.442123455,11.52882293,9.701150974,4.988243006,7.4082400825,8.040914571,6.629907089,5.7767472574,7.637528126,8.098559998,5.40693784633,6.52209761933,6.520190915,11.263402045,12.53699151,6.29992863125,7.4631508965,9.1368234045,7.335214194,5.8087825485,10.513879211,7.7598686305,6.028693113,BRCA
9.3759597995,10.4760984,10.24168562,10.112371314,5.244334811,7.754822588,7.01111856,6.614291049,6.883502068,6.41193939,10.2133474445,6.9285875365,5.594855484,9.625408003,8.739562185,7.755466278,7.375850429,11.3494746,6.60785894,9.9187737395,5.889292139,7.970797765,9.611403467,7.08122523275,7.459016473,10.25654518,11.92672973,5.520745364,10.60226532,5.7097357945,9.008765532,5.5992247945,7.10393851733,6.41224733333,6.377302187,10.16250498,5.44688667225,6.71227636133,13.37610779,6.953443134,7.41519809933,5.921070421,8.225232898,9.270363986,11.646249105,9.0628002675,5.256643908,13.7210223,8.868576523,5.417777635,7.2581526215,8.276164252,6.512705407,6.1557894346,8.5459358775,8.718910517,5.46230980067,7.59437240433,6.429495141,12.09514334,12.17175704,5.7160804985,7.473682153,8.574905592,7.468056067,5.840659366,10.31946413,7.257577331,6.0648074825,BRCA
7.9728052855,10.77554879,9.112401142,7.8281740715,5.81224373133,9.250826081,6.009555025,6.19429139567,8.058737407,5.460260315,10.24418129,5.973016234,6.464509503,10.51648826,10.03996125,7.5815822955,10.349737175,11.63715279,5.6801733885,9.350471959,5.78129302475,8.888257037,7.887679287,6.392001616,6.8591110825,6.992431746,11.78498046,6.925913771,9.502265515,6.111376449,6.998198677,5.20754562,6.997765579,7.09687375233,7.90620083,10.31455241,5.403958957,7.38616007233,13.46367638,5.268482349,6.55666256233,6.6694452435,8.118994427,9.25945486167,11.680504955,9.71197758525,5.025927152,11.00370783,8.315445233,5.263890047,7.399969872,8.3070644095,6.016591727,5.645039366,6.9179834015,8.517473661,5.365368967,7.25689851,7.168173481,10.946341345,13.85125179,6.32124444525,6.832299781,7.5419041815,7.52958892,5.8821083545,9.1746131595,7.549464513,5.427401159,BRCA
9.321425499,10.6537276,9.92562903,9.436657679,6.476135957,9.320620694,6.619123639,6.727954003,6.52305663,6.299625309,11.003760265,6.7475536965,5.069327579,11.09579607,8.630450181,7.645327129,7.733044401,11.58353864,6.0495207925,9.5661437945,5.3501390665,7.768252363,9.733863196,7.21389689,6.5351644145,8.527067524,11.87062298,6.015923042,10.84003064,5.583777837,8.819732939,5.31897246825,6.68421879733,6.726767429,6.749873197,10.71573921,5.451018367,7.43240197667,12.73729283,5.540872931,7.116277725,6.412312938,7.789307238,8.84709218133,11.196915825,9.0030756685,5.372961888,12.27296951,8.92056956,4.93252334,7.055090386,8.3666695385,5.84800395,6.1264922834,8.3320404855,8.846353155,5.03126904967,7.34295575933,5.149148835,11.88460825,12.71834242,5.7012189585,7.541443615,9.33442826,6.802002929,5.6699833785,10.0212982555,7.565197618,5.6375433755,Control
9.1526830635,11.33166731,10.90635345,8.6840196725,5.35894690833,8.104744359,7.851094879,6.65923442633,7.107376966,6.653207393,9.09608678,6.8634955485,5.69321599,10.2159337,8.752398314,7.8288732835,7.2965384015,11.22301734,6.337979385,10.4176792515,5.591806779,7.855337455,9.685625332,7.14878397875,6.489624237,7.3361743,12.02065196,6.725949438,10.56852647,6.344244342,8.738583034,5.76377410275,7.27101536333,6.91922579833,7.909294774,10.36365325,5.384067832,7.18054352333,13.81715158,6.760856726,7.61039616467,6.8743787795,8.952756624,9.08132747167,11.646821095,8.66360591525,4.759171133,11.58397843,9.680166591,5.541182786,7.327968466,8.288078818,6.573727177,5.8838277246,7.7930385845,8.212157254,5.37371189,7.429006978,6.342257494,11.41159953,12.66988608,6.42728370275,8.0975591715,9.0179349165,8.70009385,5.731781437,10.4461190985,7.3864322845,6.505547144,BRCA
8.766958367,10.5411695,8.967515291,8.5305745065,5.788030138,8.254404044,6.438214347,6.430398513,6.207019812,7.181105347,8.880544262,6.652290476,5.767794645,10.46214465,9.030143702,7.5688881555,6.6155769395,10.367009485,5.7598219305,10.0360914415,5.8421495495,7.488404794,7.349527002,6.89333590125,6.544407535,6.246413431,11.72339443,6.239651629,10.26782285,5.919385176,8.85611511,5.13981355375,6.55746748367,7.075398508,6.429578829,9.653830832,5.35209323175,7.481413311,13.40233131,5.447092526,6.96601306267,6.310304716,9.19237982,8.98324299033,11.92212445,8.78443234275,5.300134022,10.78761308,7.766597025,5.538702079,7.271314855,7.806017873,7.315763483,5.7581840748,7.6247556515,8.302274634,5.19083377467,6.717633511,5.2209212,11.66871985,12.79544315,5.859119673,7.173934176,8.5475544065,6.438214347,5.3856671345,10.2550957685,6.810704758,5.4053195205,BRCA
