@relation thedata

@attribute 10000 real
@attribute 117145 real
@attribute 1326 real
@attribute 207 real
@attribute 208 real
@attribute 2475 real
@attribute 253260 real
@attribute 2534 real
@attribute 2885 real
@attribute 3932 real
@attribute 4067 real
@attribute 5058 real
@attribute 5062 real
@attribute 5170 real
@attribute 5290 real
@attribute 5295 real
@attribute 57761 real
@attribute 5879 real
@attribute 64223 real
@attribute 6714 real
@attribute 7409 real
@attribute 7525 real
@attribute 79109 real
@attribute 9020 real
@attribute 940 real
@attribute 9402 real
@attribute 941 real
@attribute 942 real
@attribute 998 real
@attribute DependentVariable {BRCA,Control}

@data
6.02664600925,6.743323514,10.80733502,9.746089281,7.466690585,10.40794251,5.817758343,9.2289642325,9.4954151895,5.69019779725,10.63456176,9.037678125,8.225782395,7.1007852408,6.685313404,7.0703331436,8.468095662,8.85850435833,8.366847964,6.75911734333,6.878146348,8.956696408,8.334523256,7.12458953,6.411176756,5.162704759,4.757305356,6.79245448633,7.16387589625,Control
5.94776533325,6.178023026,10.36118197,9.68028616833,6.43012268,10.37262599,5.887288406,8.8907159655,9.5539178325,5.74326863275,11.67867508,9.447476465,8.658878356,7.4312568682,7.098719371,7.6111323212,8.994354232,9.23532012167,8.842626225,6.586005659,6.418236866,9.025562565,7.842049506,7.618204007,5.313618859,5.313618859,5.244897759,6.92323968,7.17118701125,BRCA
5.52044016575,6.947055725,9.118734206,9.69256516467,6.416760061,10.44466839,6.223234887,8.275073194,9.480270588,5.8326297955,11.59799678,9.822754492,7.83784169,7.2445861642,6.212526175,7.448654099,9.791114496,9.280236709,9.630577078,7.22912163867,6.805650779,8.927023183,8.09744639133,7.363480204,6.037388399,5.583918611,4.516306872,6.76904778167,7.03238297825,BRCA
5.58777326775,7.239410274,8.425615737,9.98949733167,5.863140121,10.39039231,6.082580853,8.08464112175,9.432546201,6.064440107,11.00452968,10.03852848,7.70770520067,6.9971733014,5.584068992,7.6522265588,10.14854685,9.422761191,10.00278026,6.91032494133,6.327333135,8.724992221,7.59615406733,7.782574222,5.706538322,5.057029153,5.660003917,6.47797389533,6.55593589375,Control
5.87271996825,5.894824582,8.860001471,9.506100771,6.860966288,9.62228117,5.44461013,8.34620788925,9.66718229,5.91669616975,12.12951334,9.507874464,8.07563913267,7.3395574808,7.405441727,7.950268865,9.421265976,9.29741101033,9.484878832,6.72839437467,6.328276055,9.180823621,8.19961830567,7.444230413,5.593959684,5.885825234,5.661216049,6.589569865,6.99171327025,BRCA
6.0241266485,6.847624679,10.87230572,9.688092646,7.477052175,10.04182378,6.162799782,8.716652398,9.9164802245,5.66966000725,11.79461296,9.3312535,8.35808952433,7.3955993004,7.460253403,7.4183463498,8.755431019,9.14697742367,8.90097329,6.38912935567,6.682787905,9.552621611,8.96012964167,8.197856947,6.062214149,5.222467693,5.443615974,7.12296279167,7.00999639125,BRCA
5.88751933675,6.773076963,7.890402801,10.0480993307,6.742953157,9.710815526,5.495384375,8.39165280725,9.167523377,5.862304229,11.980959,9.354305108,8.02893851733,7.3536038904,6.662423158,8.3350079456,10.39297237,9.62804284167,9.95563942,7.54701473933,5.926361974,8.18992476,8.17914310267,6.740661566,6.314112464,5.301415026,4.932168974,7.111896621,7.10702874775,BRCA
5.55851851825,6.416168916,9.914654631,9.436876068,6.689303092,9.922785491,6.08693831,8.80415305075,9.1611827995,5.88068915225,10.68348837,8.901176988,7.68379282967,7.0445753338,6.020263967,7.757716558,9.038034948,8.82865486733,9.017533022,7.00963552967,6.739851899,8.84840474,8.49577643867,7.797176966,5.651777341,4.475747249,5.212093857,6.889955486,7.09973287325,Control
5.650041658,6.458739307,9.2670448,9.58057105933,6.500527718,10.26710886,7.016922821,8.0162301535,9.3657406255,5.81485113325,11.06871466,9.625618044,7.77701585767,7.1591884674,7.205282841,7.6719006758,9.783440744,9.29235500067,9.695411499,6.85674479767,6.37387057,9.527448232,8.31359507267,7.392491577,5.802975918,5.656790406,5.028581582,6.54146572467,7.18183415025,BRCA
5.56331123875,7.409075047,7.853467268,9.75364579767,6.827314517,9.976514407,6.038266749,8.42904151725,9.70078824,6.225327925,11.11942121,9.599773923,7.95022355167,7.3339069032,7.606018576,7.3060563712,10.3235449,9.23513699733,9.099374852,6.973025285,6.73809606,8.558077339,8.02412086467,7.396307489,5.909779853,5.144669712,5.287630431,6.567837574,7.09000222,BRCA
