@relation thedata

@attribute 10252 real
@attribute 10253 real
@attribute 10254 real
@attribute 1173 real
@attribute 1175 real
@attribute 1211 real
@attribute 1213 real
@attribute 160 real
@attribute 161 real
@attribute 163 real
@attribute 1950 real
@attribute 1956 real
@attribute 2060 real
@attribute 2885 real
@attribute 29924 real
@attribute 30011 real
@attribute 58513 real
@attribute 6456 real
@attribute 7314 real
@attribute 8027 real
@attribute 867 real
@attribute 8874 real
@attribute 9146 real
@attribute 998 real
@attribute DependentVariable {BRCA,Control}

@data
11.389792088,11.15623181,7.849031477,11.2613104,12.243005895,9.38372377367,6.414182583,6.55015525567,8.768731126,10.066436801,6.141397664,7.05035509475,9.533198854,9.4954151895,12.4670082,9.98829076133,7.83385643,5.899182429,14.001314075,9.696920214,7.886226753,7.11874968225,12.02694363,7.16387589625,Control
10.2026241403,11.35175104,7.094133452,10.94792585,12.07866152,9.53175688367,6.386384717,6.33747983233,8.850844048,9.799591711,6.795134192,6.79791370075,9.517788029,9.5539178325,12.32198735,9.50756223733,7.643587688,6.168126147,13.81882705,9.287147382,7.645116667,6.81468351325,12.27296951,7.17118701125,BRCA
10.0214506843,10.6650141,7.145578432,11.162174555,12.3965886,9.71986458233,6.314475052,6.42725820467,8.769293322,10.195515158,7.503172055,6.80402066425,9.31002259,9.480270588,12.47620706,9.18683022167,7.380766509,5.956992456,13.884698385,9.48897542,7.644869593,6.9184467285,12.42907592,7.03238297825,BRCA
9.6289469735,11.15342712,7.127223453,11.27700269,12.07110544,9.798891922,6.015142517,6.79699623533,8.891161787,9.818157181,7.0134654,6.3257817405,9.630012754,9.432546201,12.15911615,9.332527148,7.60485179,6.183293584,13.10949585,9.242031472,7.1870936865,6.8753532685,12.5173582,6.55593589375,Control
10.4028997455,11.03904603,7.423433468,11.397832345,12.28154315,9.756818775,6.41397111,7.262440087,8.282904386,9.7827240025,8.466587485,6.78190965925,9.443296418,9.66718229,12.44183936,9.57719953933,7.522662196,5.577890454,13.92393915,9.33884841,7.59092276,7.042316968,12.02845184,6.99171327025,BRCA
10.21478133,10.84257057,8.173903359,11.12104221,11.928151635,9.413046261,7.03100122,6.667704523,8.762399584,9.9980316435,7.455781587,7.10041818325,10.07069158,9.9164802245,12.82346582,9.284282035,7.45762943,5.413806667,13.72048402,9.847785999,7.9410335545,7.04212019375,12.53119874,7.00999639125,BRCA
10.644420728,12.16491644,6.899511381,11.202937405,12.367794435,9.730725188,5.952340119,6.39423566067,8.058737407,9.5811370385,6.973327498,6.9842760015,9.727453002,9.167523377,12.39041358,10.131335918,7.754672292,5.259377247,13.157660585,8.761568788,7.242328474,7.086501719,12.55314694,7.10702874775,BRCA
11.1180831728,11.21259383,7.644327017,11.388759195,12.456368675,9.89617905533,6.394296014,6.734569732,8.695994791,9.7220428385,6.405231362,6.998917209,9.406577658,9.1611827995,12.3196976,9.50148216567,7.553285857,5.502721434,14.498215135,9.700964648,7.794277783,6.878128638,11.93792927,7.09973287325,Control
10.2109400455,11.48188533,7.476059875,11.31699387,12.5301635,10.0363647903,6.61574411,6.84260002933,8.773379189,10.274861495,7.872399588,6.85070537275,9.103957277,9.3657406255,12.38431166,8.98266926433,6.935904996,6.041117697,14.242274775,9.619303471,7.465168109,6.68912259525,12.15122597,7.18183415025,BRCA
10.0361446377,10.52013519,6.665268844,11.225414225,12.278551005,9.884582852,6.052030675,6.688774195,9.0923747,10.43837603,6.79717879,6.30061577025,9.243103231,9.70078824,12.43700564,9.60267537967,7.436838787,5.696975347,13.80215118,9.037369266,7.356733999,6.83729661375,12.1476375,7.09000222,BRCA
