@relation thedata

@attribute 1439 real
@attribute 2353 real
@attribute 2885 real
@attribute 3265 real
@attribute 3562 real
@attribute 3563 real
@attribute 3717 real
@attribute 5595 real
@attribute 5604 real
@attribute 5777 real
@attribute 5894 real
@attribute 6464 real
@attribute 6654 real
@attribute 6776 real
@attribute 6777 real
@attribute DependentVariable {BRCA,Control}

@data
4.894103816,14.72004222,9.4954151895,7.4423513115,5.089382945,7.748764991,8.378404463,11.634256725,10.49127719,6.80465488733,10.11570732,9.15105029633,8.001564595,11.46083484,9.961088297,Control
5.52873637,13.75148289,9.5539178325,7.8897640555,5.541105329,7.057317924,7.325982508,11.27623323,9.559434991,6.92689952033,10.34726733,8.42779587067,7.481398095,11.3989816,10.15001415,BRCA
5.834857349,14.33042537,9.480270588,7.856102429,5.29242402,6.513574141,7.458490947,11.198356615,9.65317699,6.94614165833,10.45388564,8.45925672733,7.228580927,12.10466109,10.28344757,BRCA
4.932877618,12.01436934,9.432546201,8.398114105,4.893861206,7.232855289,6.114997467,11.274247985,9.580847928,6.773314497,10.09500831,7.73867912133,6.648325671,11.96551025,10.10956988,Control
5.780579955,12.40857396,9.66718229,7.697637374,4.885099957,6.735559831,7.364180901,11.21839075,9.966174165,6.95957036867,10.22872886,8.10318445333,7.634958261,11.9164133,9.833894617,BRCA
6.183789814,13.96600025,9.9164802245,7.3388634815,5.421064416,6.73488275,8.052107626,11.07534033,10.23164154,7.329467798,10.624983,8.70127661067,8.19601328,11.1888517,10.29596436,BRCA
5.843614112,10.44201071,9.167523377,7.9742866725,5.516024013,6.464509503,6.705498046,11.151396135,8.977681421,7.417935019,9.961088297,8.36198243367,7.292025067,10.72234672,9.214514093,BRCA
6.18448425,14.08516788,9.1611827995,7.7095138065,4.626327643,7.256848204,8.158535374,11.40345044,10.00443156,7.27179105267,10.12277013,8.53051419067,7.787382059,10.75261086,9.788616845,Control
5.253432694,14.82357723,9.3657406255,7.94496816,5.476714818,6.654210406,7.011789475,10.99057863,9.452231522,6.87905191167,9.9831294,8.16926655967,6.878728789,11.94573106,9.93285737,BRCA
5.434637608,11.55023948,9.70078824,8.148239231,5.072117861,6.470297392,7.088605737,11.551814785,9.69476318,6.98522982867,10.28660429,8.39504068233,7.4960371,11.45097165,9.955468697,BRCA
5.079816751,14.20597115,9.153599552,8.198599078,5.10371924,7.182248152,7.660782339,11.573459625,9.736317839,6.812437156,10.23292486,8.62624266567,6.507481989,11.89929188,9.998485053,BRCA
5.372961888,14.15265365,9.5256586835,7.4409667175,4.884855828,7.097508418,7.948076801,11.32136754,9.990983614,7.04071315267,10.11618835,8.601359139,8.512524314,11.36056745,9.562147541,Control
5.096779711,14.61254488,9.597360232,7.6537280945,4.263099122,7.372475773,7.573687183,11.488573795,10.29596436,6.803089398,10.13087976,8.523978557,8.640083234,11.68668229,10.15541314,Control
5.614055514,13.61588998,9.06038523,8.1909422715,5.605117409,7.222073073,8.115591386,11.695521545,10.01433476,7.516461694,10.76657469,9.16094315833,7.7584583,11.50045491,10.12611757,BRCA
5.61044262,12.35733627,9.5800955565,7.2806843915,5.001814906,6.909746482,8.41854957,11.206231375,9.712540381,7.13020930867,10.37973064,8.789516499,7.8511886,11.31253714,10.35359929,BRCA
5.411605257,13.96294256,9.0393998015,8.539009948,5.391983545,6.547670085,7.821265561,11.49634678,9.812386363,7.417477812,10.55366796,8.419142242,7.192690117,11.50810934,9.873298423,BRCA
5.524354632,13.92451704,8.9731778835,8.146852134,5.183299167,6.765439022,8.145615208,11.796022585,9.916141133,7.881687676,10.73881029,8.58330978467,7.688986551,11.37712933,10.15087731,BRCA
5.338790969,12.40276968,8.9213733295,8.041917075,4.727256081,6.68832419,7.912322211,11.46459896,10.0322459,7.267388056,10.51457134,8.49027171233,7.192172276,12.16093036,10.23716846,BRCA
5.69000583,13.08977243,9.111304808,7.888636145,5.115835678,7.01892656,8.111841355,11.5411915,9.833428205,7.79308931833,10.54450111,8.95843216133,7.574595656,11.77876926,10.29197677,BRCA
5.636777762,8.405238411,10.2970447,8.85628218,5.557280839,7.862639101,6.034420016,12.52079595,9.724718956,6.99649640933,5.97155002,8.67313689733,8.480033951,11.62476132,10.5038757,BRCA
