@relation thedata

@attribute 10352 real
@attribute 10667 real
@attribute 124454 real
@attribute 23395 real
@attribute 23438 real
@attribute 25973 real
@attribute 2617 real
@attribute 3735 real
@attribute 51067 real
@attribute 54938 real
@attribute 55157 real
@attribute 55699 real
@attribute 57038 real
@attribute 57176 real
@attribute 57505 real
@attribute 5859 real
@attribute 79587 real
@attribute 79731 real
@attribute 80222 real
@attribute 92935 real
@attribute DependentVariable {BRCA,Control}

@data
5.771100681,10.03126048,8.480952861,7.773569684,10.1173058,5.619861398,11.21785793,10.10138519,10.12277013,8.002535343,7.67246269,11.41001948,10.4054024,10.18121784,8.572009618,12.98742218,7.108213734,8.016392025,7.410580934,6.8180915925,Control
8.138106815,9.993561549,8.883942361,7.92068204,10.74006345,5.773212576,11.42903544,10.27030734,9.928970257,9.004516227,8.195262847,11.24301642,10.55192478,9.442410225,9.099519506,13.34055118,7.032103943,8.128382501,7.5453142,6.6164794605,BRCA
5.438967501,10.35987613,9.116110723,8.523739464,10.62715107,6.889051006,11.40394419,10.71640389,10.15270033,9.520668337,8.176423915,11.27204377,10.36865954,9.705218147,9.209758642,13.69898245,6.743929347,8.115760429,7.800869372,6.7589382085,BRCA
5.407702206,10.45834538,8.800140445,8.055487334,10.8507848,7.489167837,11.12873886,10.77735008,9.674898929,9.260196903,8.881153068,10.86620503,10.20252214,10.32957805,9.324226193,13.80179072,8.072107308,8.266787858,7.970308868,6.6331033035,Control
8.485629214,10.17764724,8.631578266,7.495377629,10.30739469,6.702834562,11.86693899,10.89969322,10.41142654,8.34245377,7.925556109,11.24651217,10.18382799,9.640182167,8.931846371,13.65917147,7.559035019,7.885118455,7.930857249,6.785164346,BRCA
8.253411568,9.732744526,8.278683064,7.839520524,10.02278431,6.089906589,12.09367844,10.80850192,10.36457548,8.857670911,8.219968468,11.90502978,10.44585319,10.40186112,8.456345302,13.87385551,7.155959474,8.48631327,8.000902987,7.709869293,BRCA
8.548755575,10.3906422,8.85945801,7.248831584,11.28858078,6.825598426,11.44938612,9.936402792,9.571942743,9.405376108,8.410834102,9.583572263,11.24175993,10.90604899,9.82934264,13.75810714,7.834346409,8.348994901,8.633341407,7.151707634,BRCA
5.682019293,10.09533805,8.562396156,7.865827785,10.42373077,6.053769117,11.0799649,10.68460862,10.38986015,8.548572569,8.102515268,11.24266817,10.57244471,9.953578497,8.818774784,13.06629278,7.382929013,8.092124337,7.269105927,6.715078527,Control
5.883872025,10.46466855,9.161560926,7.562645263,10.23164154,6.986129665,11.74370273,10.83114513,10.27514127,9.291833246,8.19761126,11.48354892,10.06332804,10.24263856,9.122000391,13.82037647,7.877393233,8.638129173,8.004727673,7.165582062,BRCA
8.022868681,10.55403266,8.516567879,8.04094875,10.43894285,7.015418188,11.89259415,10.35112727,9.93964941,8.791277783,8.034690481,10.85124954,10.65051801,10.03937186,9.614636753,13.35514394,7.925926933,8.435150511,8.136992553,6.321334851,BRCA
8.284235482,10.91120492,8.854962736,8.185050247,10.43397165,6.95878795,11.98839011,10.95619846,10.04378642,9.071644113,8.24165088,11.63162057,10.42231215,10.27226269,8.834290208,13.52549699,8.645614417,7.969762257,8.206820391,6.187394158,BRCA
5.557051033,9.730092696,8.76397678,8.046470767,10.55221305,6.239651629,11.52544754,10.35399067,10.19842697,8.682100191,8.151525421,11.4461297,10.2636862,9.809479209,8.524395895,13.29472201,7.378037131,8.106656009,7.265289495,6.9109323025,Control
7.827709683,9.738295441,8.725946564,8.128189149,10.45921159,6.213741562,11.36679226,10.39014238,10.40487575,8.551997661,8.449201404,11.65066148,10.51539952,10.01228971,8.911093174,13.34505663,7.952247829,7.600769885,7.832955068,7.028682193,Control
4.950948046,10.34249728,8.785060987,8.491293067,10.90909074,6.176079003,11.56454026,10.3854637,10.25917864,9.048433146,7.600769885,10.26632424,10.58989012,10.75842751,9.275193989,13.29267684,7.134480548,7.867095109,7.545854737,7.251956631,BRCA
8.439977457,10.30671996,8.893575423,8.908453514,10.3670273,6.453563362,12.06237178,10.44848316,10.19820901,9.226202111,8.100269585,10.83188538,11.18170219,11.09339134,9.378501395,14.09444395,7.650946042,8.130108627,8.061615728,7.227634509,BRCA
5.162201222,10.42883413,9.177744123,8.883942361,11.02431225,6.804263746,11.51317502,10.63789302,10.10402901,9.052718239,7.269456626,10.37600085,10.72826304,10.14225423,9.583290187,13.55973441,7.425386131,7.702624864,7.515426104,7.116226141,BRCA
5.290397907,10.73619497,8.872275583,8.717266109,10.85171413,6.505419075,11.2910039,10.2945062,10.08045152,9.275869075,7.53572469,10.43600385,10.58265505,10.32256509,8.917693647,13.41082367,7.314993564,7.893606611,7.711014946,7.1513184465,BRCA
8.097520105,10.11112299,9.327407315,9.169130251,11.09277384,6.63234502,11.52882293,10.76513712,10.29747263,9.726899797,8.106656009,10.57043948,10.62715107,10.77140304,9.378252108,13.72609363,7.187651778,8.117164017,7.831198166,7.273351208,BRCA
5.54798282,10.52528127,8.973504462,8.463688991,10.90246201,6.74812952,11.15959405,10.72311933,10.01863178,9.243632862,7.567730102,10.54691402,10.5728852,10.39899511,8.750607447,13.53124563,6.791557296,7.853326906,7.78141074,7.3427258535,BRCA
5.312983894,10.03174294,8.912530956,9.093002276,10.70683294,5.616777635,11.57408981,11.47828693,10.81469083,9.354762404,8.480033951,6.303329264,11.10672014,11.12646913,8.657381985,13.26439572,5.797798494,8.074838719,8.189751835,7.1332849255,BRCA
