@relation thedata

@attribute 10053 real
@attribute 10239 real
@attribute 10312 real
@attribute 10577 real
@attribute 10717 real
@attribute 1075 real
@attribute 10947 real
@attribute 11154 real
@attribute 1174 real
@attribute 1176 real
@attribute 1200 real
@attribute 1201 real
@attribute 1203 real
@attribute 1211 real
@attribute 1212 real
@attribute 1213 real
@attribute 130340 real
@attribute 138050 real
@attribute 1497 real
@attribute 1508 real
@attribute 1509 real
@attribute 1510 real
@attribute 1511 real
@attribute 1512 real
@attribute 1513 real
@attribute 1514 real
@attribute 1515 real
@attribute 1519 real
@attribute 1520 real
@attribute 1521 real
@attribute 1522 real
@attribute 162 real
@attribute 164 real
@attribute 175 real
@attribute 1777 real
@attribute 20 real
@attribute 22901 real
@attribute 23062 real
@attribute 23163 real
@attribute 23431 real
@attribute 23457 real
@attribute 23545 real
@attribute 23659 real
@attribute 245972 real
@attribute 2517 real
@attribute 2548 real
@attribute 256471 real
@attribute 2581 real
@attribute 2588 real
@attribute 26088 real
@attribute 2629 real
@attribute 26503 real
@attribute 26985 real
@attribute 27074 real
@attribute 2717 real
@attribute 2720 real
@attribute 2760 real
@attribute 2799 real
@attribute 285362 real
@attribute 2990 real
@attribute 3073 real
@attribute 3074 real
@attribute 3373 real
@attribute 3423 real
@attribute 3425 real
@attribute 3482 real
@attribute 3916 real
@attribute 3920 real
@attribute 3988 real
@attribute 4074 real
@attribute 410 real
@attribute 411 real
@attribute 4125 real
@attribute 4126 real
@attribute 427 real
@attribute 4668 real
@attribute 4669 real
@attribute 4758 real
@attribute 4864 real
@attribute 4891 real
@attribute 50617 real
@attribute 51172 real
@attribute 51606 real
@attribute 527 real
@attribute 53 real
@attribute 533 real
@attribute 535 real
@attribute 537 real
@attribute 54 real
@attribute 5476 real
@attribute 55353 real
@attribute 5538 real
@attribute 5641 real
@attribute 5660 real
@attribute 57192 real
@attribute 58511 real
@attribute 6272 real
@attribute 6448 real
@attribute 6556 real
@attribute 6609 real
@attribute 7805 real
@attribute 79158 real
@attribute 8120 real
@attribute 8218 real
@attribute 84572 real
@attribute 8546 real
@attribute 8722 real
@attribute 8763 real
@attribute 8905 real
@attribute 8907 real
@attribute 8943 real
@attribute 9114 real
@attribute 9179 real
@attribute 9374 real
@attribute 9476 real
@attribute 950 real
@attribute 9583 real
@attribute 967 real
@attribute 968 real
@attribute 9741 real
@attribute DependentVariable {BRCA,Control}

@data
6.388969257,9.214671934,7.42303548733,14.24957573,10.17875856,8.61366280275,9.572823899,7.320735406,9.30100447133,10.412142195,10.63133194,9.4225557175,10.28837619,9.38372377367,8.8823458495,6.414182583,4.949548063,5.85519127033,7.2979101,12.711362835,11.28752498,5.78941616333,10.18933693,9.9339753565,12.3398473,11.2840030997,7.226318559,8.9294146,7.09194077,6.525916664,11.75935364,8.592222961,9.8003749615,8.716786137,11.08036472,5.992773291,6.569556123,9.799800123,7.15388524833,8.732287115,7.19676348033,8.908123216,8.302274634,5.657219288,10.51117475,8.946425984,8.024476386,8.926840164,6.52916161,7.9449909082,10.475073405,6.057131398,8.341409173,6.267880837,10.14178182,8.962381825,8.180407884,13.8269571,10.7957761,10.82235197,7.107010728,12.91155214,7.1813138755,8.441669559,9.116266707,11.71614222,13.46367638,10.995710734,11.31253714,10.5183387,8.110277137,6.18648217375,9.086873394,10.52119828,7.0964976515,7.356058229,8.821208849,10.43781997,10.16511462,11.37306376,6.26836061725,8.765983136,8.0493835815,10.053703703,9.161296382,9.7025369205,11.02832761,12.25801543,9.048814559,10.40635945,11.686497445,11.60772112,9.893741597,13.93882125,10.43232295,5.61457297667,11.53262879,10.97854265,5.5377130695,7.33348393,10.73333763,7.585167924,5.828587949,6.538701534,11.04936549,11.23824666,11.06530861,6.527246801,10.928763925,11.19411678,8.37509091733,11.12822333,7.420867895,6.9472505425,6.707086875,13.31043176,8.290342754,9.57326901,10.1155347173,8.027575859,Control
6.59182572,8.797613807,7.16184052867,14.16199356,10.73217615,8.26385010175,10.10617723,6.802099894,8.733876752,9.324505732,10.42864835,9.5285822735,10.50876069,9.53175688367,8.8609266685,6.386384717,4.845755052,5.96126980733,6.41666240833,13.4878458,11.11911153,5.75891620833,10.52922583,10.0756826025,11.90213211,10.3254222647,7.325173042,9.39912896,7.768880894,6.239603899,10.593284,9.2814931165,10.226900679,9.206941772,10.83920007,6.5375701695,7.636300385,10.40311354,7.68055825167,8.34613819,7.51883737,9.281942267,7.998239409,5.741339733,10.19667623,9.155327297,8.054388779,8.610061033,6.113748025,8.3852787258,10.0971863685,6.012351476,8.46903646133,6.02238021,10.3034272,9.24060548533,8.107637037,13.24583793,10.37355608,10.97955044,7.267093607,12.58278655,7.317496405,8.66819761167,9.231161842,11.80411298,13.42972648,10.6655079378,10.46466855,10.6857083,6.9588790875,6.1697457535,9.863420138,10.03012262,6.6682528355,6.813207606,9.220572483,10.62985317,9.576229762,11.77608148,5.150193651,9.298601687,7.751518458,9.887081799,9.068832764,9.7024334125,11.2641671,12.76004735,9.302502487,9.896635567,11.81498014,11.85055617,9.00058412933,13.90343749,10.00680332,5.20906651,10.99825389,11.3294966,5.6271246685,7.2032596455,10.47880782,7.4297660355,6.87771703,6.4061365835,11.32669367,11.28307404,10.99511368,6.698639127,10.61215264,10.74445149,8.583547427,10.67386138,7.664111461,6.6562337785,6.637136088,13.19114487,9.234794159,10.08341986,9.47901319467,8.46082561,BRCA
6.497696684,8.766612656,7.09662416167,14.03490428,10.41961292,8.04149251175,10.04378642,7.251532413,9.78889699433,9.4887273615,10.94344908,10.0440445795,10.0236404,9.71986458233,8.8352614895,6.314475052,4.565547983,6.18322369933,6.92142625467,13.042590785,11.25129616,5.97772334267,7.615925915,10.2868983305,10.19377825,9.90724657,7.670304162,8.97466634,7.337267595,7.387675143,11.10487081,9.089230266,10.179820315,9.239646931,10.8933738,6.2801364595,7.500047382,10.52635279,7.431477313,8.289259417,7.76926939367,8.952028549,8.229997762,5.539167536,10.40311354,9.155392802,8.035817876,8.752500846,5.894703343,7.973976777,10.3290504665,6.095402957,8.72206431667,6.928690141,10.08948727,9.31805038867,8.748277668,13.03029388,10.47917172,10.95973052,7.144329712,12.7645524,6.73438031975,8.31374078033,9.507874464,11.81615379,13.62684124,10.9216150098,10.88188657,10.70325065,7.506209781,6.45674527675,9.643766526,10.59878323,6.509385796,7.077539768,8.541388151,10.6865533,10.18362643,12.48766051,6.23805264725,9.190584692,7.7668571805,9.97985062533,8.600155556,9.937090802,11.45530039,12.72627038,8.795634758,9.731446799,12.612070605,11.88931963,8.749633673,13.720332005,9.894916689,5.145499794,10.63274105,11.56304622,5.528820191,7.109604814,10.94976857,7.6672769755,7.996757515,6.0362348345,11.03103278,11.35799469,10.99713557,6.380249461,9.8452116845,10.24052337,8.77066734933,10.74445149,7.637931018,6.208460147,6.690001901,13.39262134,8.546914832,8.943482666,9.37536426067,8.344674427,BRCA
7.270204498,8.817688105,6.83358236733,13.96951021,10.65680049,6.99288076375,10.35399067,6.760291233,8.61758522733,7.849010927,10.67145286,10.391662945,10.23129353,9.798891922,8.6118201585,6.015142517,4.851263383,5.912420162,6.92705850933,13.15609815,10.50280226,6.11588919,7.252526182,9.589205307,9.876916366,10.0932319593,7.645246143,9.15137249,7.589016492,6.819320511,11.01557728,9.5572930835,9.084737844,9.776688453,10.94111386,6.609227061,7.965295308,10.29885335,7.37596371867,8.237641539,7.82279008733,9.045262156,8.609115122,5.655216748,10.24606989,9.275643019,7.732457674,8.185085028,6.143797084,7.9481525886,9.9498479915,6.047784427,8.00359984333,6.38389355,11.84647188,9.324015298,8.21182884,13.20549015,10.89280863,10.980761,7.302047389,12.23971048,7.0732479715,8.59604361567,10.04271995,12.16093036,13.44437567,10.6819980334,10.28978869,10.12513612,7.5089795765,5.84220441,9.665780528,10.2403087,6.174467902,5.682019293,9.445801762,10.61025923,9.646757202,12.62053951,6.6506835565,9.57788249,7.9660870325,10.0414921947,9.306267438,9.867455129,11.16747477,13.14121392,8.538519855,10.0391285,11.43759363,11.70152102,8.64356962067,13.81457891,10.48635768,5.46522651467,10.7627975,11.31253714,5.288537543,6.977965415,10.70325065,7.3320883925,7.158562039,5.5664947465,11.64755074,11.59799678,11.16113206,5.540408023,9.9373209245,10.86373739,8.82363806767,10.24482795,7.922348208,6.6690033245,7.339184439,13.54043264,8.068793222,9.900180431,9.44672261567,8.609115122,Control
6.539008037,9.111319012,7.034287691,13.75810714,9.900399337,8.23107307325,9.7906992,7.170078092,9.68873284933,9.6579811175,10.33713157,9.532565207,9.954407582,9.756818775,8.599359637,6.41397111,4.961867826,5.81078822233,7.13688616767,12.95934595,11.54446475,6.03848782033,10.09721281,10.1322468045,11.37070935,10.3571128263,7.119981526,9.564593058,7.958612343,7.028544634,11.10122084,9.0996435285,10.30333782,9.6382735,10.64114433,6.0579075775,6.816347305,10.45670378,7.38344028267,8.412867378,7.76423882,8.78216373,7.655389622,5.786799716,11.82768023,8.774689362,7.921247562,8.673273536,5.816798875,8.1273764162,10.3039485955,5.87289723,8.40558015333,6.7929662375,10.11346907,9.32807961533,7.774854787,12.8619748,10.78985172,10.81892586,7.176525051,12.64120964,6.57417408025,8.613600338,9.325879453,11.66377168,13.49883304,10.854324735,10.83038866,10.96296126,7.439335383,6.09568592725,9.665123195,10.1173058,6.6870181055,6.593656759,8.670409399,10.59770368,9.581709544,11.95582434,6.4756751745,8.720877917,8.271959177,10.1273749143,9.179860041,9.5511216355,10.96434468,12.16626519,9.028003503,9.665460782,12.162329445,11.77183206,9.38236160867,14.04593632,9.802791438,5.64506640133,11.04525817,10.97310559,4.8281878055,6.984410969,10.81714378,7.216102526,6.672712173,6.1128985555,11.05952041,11.46435444,11.19033879,6.773076963,10.08567151,10.11530417,8.71542419,10.595689,6.974073594,5.8743047445,7.176525051,12.9168993,8.298797049,10.19459101,9.61136006467,8.374019108,BRCA
6.69797923,8.635945819,8.20626490567,13.97428464,10.47788501,8.46671392525,9.805889394,6.737352562,8.76846916333,9.667815823,10.81555564,9.6890470385,10.20705738,9.413046261,8.8915464885,7.03100122,4.963718308,6.26469178467,7.55579319567,13.165759525,12.59449147,5.958914314,9.421265976,10.114702792,12.30387856,11.6437957137,7.912142541,9.727176426,8.013435914,5.97155002,11.48188533,9.013759983,10.508658115,9.294874074,10.05335613,5.9795051525,7.361507665,10.25398074,7.60111959967,7.959250151,7.30108488933,9.300890825,8.897861429,6.348733132,10.50921116,8.8442475565,8.231426558,9.5148617235,6.289470818,7.8850392116,10.776507045,5.756763955,8.77058568333,6.4350269795,10.35250175,9.41940201333,8.396766513,13.78998546,10.62399145,11.61638815,6.875169162,13.1958974,6.9855544905,8.87443405167,8.978067698,11.95519228,14.08054111,11.1940402242,13.10298289,11.35725248,6.5750042415,6.4376002175,9.834408286,9.865215603,7.253156792,7.735964025,8.563054308,11.08849694,9.846337043,11.48849306,6.19532666425,8.782818987,8.42511122,9.46283605167,9.175762306,9.713813107,11.58069917,12.72067933,10.9925633,10.06586077,12.294342695,12.21510531,9.836060365,14.42400432,10.03284165,6.42486590867,11.13812156,11.11718547,5.950090438,7.241088136,12.3196976,7.4333580265,6.172733142,6.2551336345,10.14832758,11.52942337,11.21453179,7.52642319,10.554185905,10.63888864,9.24479056333,11.56134298,7.827423888,6.6632091305,6.399090431,13.32090986,8.490982332,9.431320586,11.3706136343,8.187130734,BRCA
6.361071425,8.306085763,6.82923652933,14.24957573,10.30286483,6.738254711,10.21981018,6.637136088,8.418201138,8.4828341005,10.50898594,9.781167243,10.42071848,9.730725188,8.9956657065,5.952340119,5.072332275,6.40555929733,6.80823454033,13.51511545,10.69742832,5.80561919433,9.708299824,9.424010775,12.66642048,10.469422805,6.78836312,9.901093579,6.493219502,7.5011826,10.7975726,8.6343563875,9.6073954125,10.55758842,10.71141341,6.446424253,7.70179356,10.90549628,7.53194049767,7.328093974,7.90809851333,9.449938467,8.375757477,6.310935931,9.688110896,9.4942279505,7.392233961,8.031998948,5.883749862,7.7385907292,9.7435372145,5.705709271,8.09619035233,6.5305250025,10.47764726,9.45580298333,9.067401503,12.74633592,10.4568321,10.39899511,6.888624921,11.98494007,6.9299309225,8.584257213,10.08776153,12.47123454,13.26600764,10.5042276758,9.887518083,10.64717983,7.606135146,6.11147383525,9.524042672,9.640317758,6.4765995115,5.614644516,8.929717871,9.60410892,9.180941693,12.08864757,5.28243459925,8.695237972,7.6763489385,9.95078259833,9.094098227,9.5552307695,11.0837986,12.97797754,9.848568613,9.580372172,10.422393345,11.91053229,8.05991102133,13.946033785,10.34159141,5.36932364,9.742389917,11.41291396,5.5802124235,6.9806107165,10.54307802,7.544219907,6.397508323,6.0576423685,11.00576508,11.18792748,10.36908504,6.049582442,10.266256292,11.25022455,8.71866771633,10.44741935,6.840026094,5.976756701,5.907137786,13.12174076,8.595333135,10.38312675,9.95362727433,8.093524689,BRCA
6.08693831,8.539983786,7.38557779167,14.43740197,9.997137528,8.753979809,9.912253574,7.412106427,9.77823477233,10.757603225,11.08650467,9.5710797615,10.21367569,9.89617905533,8.823776494,6.394296014,4.783733416,6.25811610933,7.16008000433,12.706207075,11.48747845,5.92357056067,10.32396703,10.367942176,12.80741335,11.403473957,7.6514843,9.2389308,8.094514685,6.873785904,11.76992885,8.5778568495,9.845217114,9.400805339,11.19124141,6.244683107,7.482104333,10.1306771,7.19394272,8.612113902,7.30290373067,8.444746903,7.922645536,5.856370278,10.74240652,8.934226114,7.972923979,9.148329177,6.279105026,7.7110031878,10.50246504,5.703080794,8.63982013333,6.8128850985,10.52792683,9.46122339367,8.417790424,13.22427159,11.01488198,11.35119339,6.929261738,13.13613647,7.03294187175,8.23985807267,9.010990369,11.80861644,13.49469877,11.307513242,11.21556957,10.95483991,7.9548374655,6.1864730555,9.432119639,10.50506251,7.3763370605,7.44226163,7.901456932,10.67474424,9.862637793,11.37601291,6.51507373675,9.131343263,8.2414775895,10.3157405403,8.448953719,9.863898567,10.92822987,12.78312415,9.358629843,10.34787632,12.03652767,11.74892461,9.952717582,13.996914035,10.39216207,5.02277331633,10.7162281,11.08036472,5.53698537,6.649467034,10.76919343,7.3310306665,6.08693831,5.454934456,11.01806646,11.26252082,11.41932045,6.281888889,10.932619925,10.76123148,8.046266124,10.8824484,7.843734423,6.9327400165,6.122160836,13.2409799,7.88859277,9.743614735,10.2353786507,8.338826757,Control
6.640032041,8.152134131,7.26993613533,13.91249272,10.29060673,8.048472306,9.894151244,6.731764076,10.213135914,9.7453605085,10.35004996,9.831064036,10.03681963,10.0363647903,9.3589978265,6.61574411,4.435721265,5.78714939467,7.160729871,12.343195955,11.41706941,5.67006841567,8.22564262,10.3692766205,11.68974045,10.409830604,7.30286993,9.562295439,7.348243763,5.391468086,11.57959421,9.076509823,10.3013856,9.407427708,10.69485433,6.203298608,7.55679557,10.72897086,7.35491604533,8.197119763,7.798660944,9.285483787,7.841880566,5.422242462,10.4183642,9.1423037475,7.743893804,8.7699493475,6.255694865,7.9845334022,10.39194972,5.743764871,8.21259328833,6.569267333,10.72100969,9.04965058333,8.566540366,12.94623653,10.92270353,11.13292398,7.03656137,12.50103733,6.83416059875,8.28629662733,9.100426551,11.50810934,13.45429804,11.128678464,10.97507253,10.57425791,8.0253951365,6.274278696,9.661778599,10.43472755,7.118253504,7.025198058,8.802961484,10.75242897,9.669851091,12.00382718,7.5651842,8.68169621,8.4099228125,9.96693346267,9.316316114,10.062571699,11.30388933,12.65253473,9.877403442,9.875534783,12.32550106,12.07353083,8.88885329567,13.802555555,9.527897792,5.42214459667,10.42274839,10.83660293,5.127133633,6.9476114635,10.96207018,7.28253441,6.972293804,5.9226264655,10.34145242,11.29330224,11.19062121,6.859848837,9.8712755735,10.31926034,8.62830568967,11.01182496,7.552632837,6.265187564,7.051048821,13.2605396,8.633432232,9.730232835,9.13536127633,8.325711472,BRCA
6.95239509,8.736318314,6.82416031833,13.92451704,10.26387982,7.4906310675,9.979768545,6.680504137,9.401956753,9.071900331,10.39950254,10.455314245,10.43762494,9.884582852,8.828950772,6.052030675,4.476070854,6.01826908567,7.10477450767,13.14093698,11.09488611,6.09619051233,8.925377244,9.985216175,10.67230625,10.5668007327,6.377735987,9.251175332,7.288268864,6.452451811,11.34028702,8.909532721,10.10400826,9.333536174,10.99562604,6.068456054,8.288129114,10.46800313,7.59362743567,7.920146076,7.59258968567,8.681441469,8.47617015,5.501925733,10.38957787,9.5901498275,7.940168402,8.518423675,6.511243174,8.277862854,10.59557416,6.187011156,8.32695798467,6.280137556,10.28801852,9.121771254,7.327914395,13.58717103,11.09524225,10.84395463,7.095347239,12.53522562,6.811148142,8.41913262633,8.978553974,11.68668229,13.71343219,10.699223781,10.56955686,10.69048718,8.0332890255,5.72536828375,9.16863522,10.22872886,6.8930044005,6.554439682,9.154553037,10.51539952,9.099052616,11.99021932,6.188746425,9.099848212,8.0991276115,9.837469001,9.37470323,9.922587886,11.50780469,12.74918966,9.183449993,10.26509376,11.392311825,12.36769602,9.203962901,13.823465045,10.21367569,5.39632315767,11.42512686,11.33938254,5.131613837,7.4959601795,10.5728852,7.3873191775,6.651342802,5.840407166,10.94010821,11.23315994,11.39766944,7.061401234,9.9908152835,10.6279946,8.51118597267,11.08923878,7.525111873,6.6490791865,7.040183193,13.52332736,8.114030058,9.906853448,9.431627371,8.029730494,BRCA
6.316422399,8.456345302,7.34755362833,14.29890208,10.88129775,7.9732233755,10.05449278,7.356366407,9.26705535167,9.05980666,10.72897086,9.975532882,10.50776024,9.85483690933,9.2005478835,6.419459359,4.756771821,5.70524934033,7.18206280167,12.726973075,11.65981099,5.87277435533,11.67278344,10.9769095575,13.68697704,10.8083578873,7.767623558,9.312021348,7.250253703,7.443235995,11.68448358,9.257837879,9.5168692105,9.194320487,10.96031353,6.663093495,7.769145456,10.2112742,7.666998248,8.21023436,7.486408567,9.079012114,9.125000832,4.625306782,10.80671094,9.7232903965,7.873968686,8.1004535015,6.124127129,7.6734388622,10.87547767,6.142419181,8.37573343033,6.772036206,10.54494056,8.99843635,9.348219761,13.17957018,11.19776361,11.55255397,7.279241735,13.09870741,7.4600123775,8.656969342,9.449169865,11.27518768,13.64083637,10.3835013038,10.52777537,9.860280449,7.9344846895,5.90677048425,10.58027768,10.93699877,6.2469583145,6.716789029,9.872567588,10.6490498,8.86916284,11.19380271,6.377204089,9.380310145,7.8660149395,9.82615020933,9.6178674,10.026225493,11.46908991,12.75228661,10.20031661,10.97105152,11.50205147,11.71457622,9.93067222567,14.126065065,10.384293,5.43556155167,10.64364002,11.17512864,5.6593740835,7.497819783,11.94479817,7.2617557705,6.971345601,6.0643479355,10.91092396,11.35816506,12.12695617,6.554209422,10.33356066,11.16338255,8.82714287433,11.79683874,8.051536773,6.345784175,7.038867218,12.76570158,8.974530119,10.50334405,9.60562998633,8.717591714,BRCA
6.431878337,8.533243212,6.99702203667,14.70323068,10.27030734,8.86136766825,9.969027107,6.762286105,9.69184985067,10.13669328,10.66694764,9.7637312775,10.51411267,9.569893126,9.142903461,6.409565428,4.472233581,6.10650074267,6.92876402867,12.853272365,11.72083647,5.84371870067,10.21664921,10.2866283785,12.26010515,10.9290121593,7.8122433,9.379785083,7.947390198,6.863446419,11.81532136,8.9872279575,10.19841748,9.836169177,10.98367433,6.0530510735,7.150486375,10.31343892,7.26770972333,8.23663746,7.386197612,9.057342719,8.306290867,5.566214857,10.70994132,8.7542792805,8.256823295,8.9489487935,5.926480582,8.0727352992,10.4160391275,5.746589057,8.63945029133,6.335987193,10.20970043,9.19775566233,9.014572276,13.48222565,10.99802289,12.12614151,7.077032319,12.93044173,6.813610758,8.46822710367,9.067193079,12.11959782,13.50065522,11.192511272,11.74533621,10.70937274,7.652904961,6.38969878875,9.451314737,10.60435889,7.0901609175,7.279241735,8.986710369,10.56613044,9.794140105,11.92850738,6.68609253075,8.732388881,8.6339683625,9.93787003967,8.939638805,9.9286474195,11.34154956,12.67386451,10.06018966,9.890553519,12.063860195,11.7674087,9.64808263,13.933202025,10.03494719,6.163297476,10.83920007,10.72254311,5.522743213,6.996987173,11.15623181,7.375939405,6.43496645,5.7929204115,10.3854637,11.30576268,10.980761,6.784573096,10.89679642,10.74490974,8.46293638333,11.01054579,7.072912708,6.196803621,6.78103548,13.36098494,8.000734017,10.08093113,10.400114887,8.083972718,Control
