@relation thedata

@attribute 10157 real
@attribute 501 real
@attribute 51166 real
@attribute DependentVariable {BRCA,Control}

@data
7.284090025,11.42353215,6.0516986235,Control
7.7324115895,11.38356241,5.8341831485,BRCA
7.162245298,12.194507085,5.80072742625,BRCA
6.544338862,12.319046675,5.74855958025,Control
7.70946419,11.80913255,6.0280456735,BRCA
7.7132549075,11.679923925,5.770836244,BRCA
7.185207695,12.374971035,6.31927210725,BRCA
7.335695647,11.9777839,5.9912548135,Control
7.19970111,12.239160505,5.99477885725,BRCA
7.2153248765,11.5195314,5.5298484825,BRCA
7.059727495,11.25552666,6.05434925825,BRCA
7.5713975845,11.91318746,6.28885555725,Control
7.443994806,11.16129661,5.78881617,Control
7.1292032825,11.56956062,5.9433377395,BRCA
7.058127339,12.000347935,6.578158754,BRCA
7.154775134,12.03718381,6.325852791,BRCA
6.814293212,11.810188385,6.03808081825,BRCA
6.964712299,12.54199003,6.4323151235,BRCA
6.392061218,12.12512938,6.03582616375,BRCA
7.9351740705,10.3607049955,6.58917837375,BRCA
