@relation thedata

@attribute 1026 real
@attribute 2776 real
@attribute 4082 real
@attribute 4772 real
@attribute 4773 real
@attribute 4775 real
@attribute 4776 real
@attribute 5335 real
@attribute 5530 real
@attribute 5532 real
@attribute 5533 real
@attribute 5578 real
@attribute 5579 real
@attribute 6667 real
@attribute 6670 real
@attribute 801 real
@attribute 805 real
@attribute 808 real
@attribute DependentVariable {BRCA,Control}

@data
11.459753229,9.668318219,12.55838012,6.1646303325,5.358259724,7.5492931052,6.328365825,7.6745180755,7.181967161,11.8054921,9.584314798,8.688181342,6.21136540967,10.08912308,6.86716126975,13.11037161,13.59313376,12.33572539,Control
8.288611166,8.930930318,12.40857396,6.4733698555,5.287134046,7.2620358308,6.757360421,7.862876923,7.328338472,11.54241539,9.028818534,9.433471275,6.479820979,10.32795428,6.82215950225,12.75620088,13.5121695,12.47764072,BRCA
8.320702773,9.213384421,12.71111204,6.05907682475,5.0508794315,7.332988387,6.196140414,7.7021225845,7.238491368,11.24175993,8.789730168,8.48506563,5.889051372,10.30951646,6.71137290925,12.13760287,13.47944813,12.54827894,BRCA
8.2000896335,7.435526765,12.08918571,5.969107067,4.8161306655,7.1860203686,5.745177655,8.054801422,6.422323287,11.56978693,8.74769044,9.211511834,6.312672729,9.80247643,6.463374465,12.20536419,13.35270561,12.76004735,Control
7.875076566,9.924501194,12.68048706,6.17905477475,5.183721743,7.5168645844,6.162799782,7.930765467,7.7125980515,11.00452968,9.157246578,8.977409535,7.50900425433,10.75902287,7.07616876675,12.34682957,13.37889296,12.45248586,BRCA
10.112371314,10.54993411,12.9168993,7.79825655525,6.0739409315,7.5289073748,6.71596585,7.6687152575,7.745704965,11.73619062,9.836169177,8.467749328,6.98490046733,9.923045577,7.3080991205,13.11510467,13.71343219,12.66384721,BRCA
7.8281740715,7.39744174,11.96009799,5.88961529475,5.0860843655,7.3270793584,6.18408747,8.590203577,6.5896621115,11.41213066,7.747456426,9.024558716,6.81582852467,10.3743606,6.617944016,12.34260121,13.29267684,12.61750082,BRCA
9.436657679,9.665460782,13.11183912,5.9603886785,5.2291868665,7.3160751194,6.913221911,7.7549264415,7.480559564,11.39154181,9.508320259,8.419813926,6.87117032933,10.1003079,7.03650802525,12.57155186,13.44200721,12.74796537,Control
8.6840196725,9.303998235,12.80969082,6.02825469225,5.2554434645,7.4954770344,5.801553978,8.1175343725,7.5245411315,10.77439198,9.212004536,8.419971893,6.13414385767,10.31961599,6.97373267875,12.3148028,13.70458133,12.4865699,BRCA
8.5305745065,8.352640608,12.90048482,6.0078154565,4.4572839285,7.6296535984,6.110306469,8.2287174245,7.3344224225,11.36752411,9.015945424,8.01888328,6.39658479233,10.38034502,6.597579437,12.71572616,13.30755735,12.57561022,BRCA
8.836754421,6.808774778,12.69883927,7.27521674725,5.077444067,7.1477918822,7.073876788,8.709822916,7.1793537375,11.41782366,9.789998625,8.202296649,6.39932068633,9.685818029,6.73901245525,12.72208073,13.38150649,12.59449147,BRCA
9.0515115425,9.546605663,12.89900003,6.19438472475,5.346357517,7.3725677436,6.433089331,7.877739246,7.4303730355,11.31639767,9.291228915,8.474558864,6.68769140167,10.0436019,7.03410796025,12.77087865,13.60583775,12.7232493,Control
9.93093261,9.998851701,12.39041358,6.7272117865,5.298679987,7.3957099914,5.97717186,7.919144247,7.50153016,11.73097541,9.562295439,8.584390499,6.24070564267,10.24730484,6.73458088875,12.97797754,13.47298527,12.52742331,Control
9.024549301,9.061277435,12.89900003,6.759633327,4.997642808,7.2288002188,6.801647336,7.988942668,6.8933171905,11.62683849,10.13925432,7.646632733,6.35314852433,9.603413599,6.136864761,12.99135537,12.16391545,13.2860567,BRCA
8.423284332,9.803614982,12.76703924,6.23406257875,5.0933444835,7.5048108894,7.602329794,7.9147536295,7.408146448,12.04715639,9.726252704,7.883225397,6.73899581333,9.911706981,6.35283173275,13.22427159,12.44601199,13.16228672,BRCA
8.254945825,8.90929393,12.90439101,6.007950882,5.159575836,7.3174860408,7.275615009,7.7272309565,7.1208014865,11.78825759,9.678499404,8.420129842,6.39469361333,9.953964008,6.06625059275,12.53522562,12.2076581,13.15138292,BRCA
9.9223698205,8.5896522,12.99332148,6.538599406,4.8457210545,7.37350411,7.049334327,7.5975884795,6.752537335,11.72922572,10.00443156,7.621284726,6.135427533,9.999429686,6.045705561,12.56790862,12.15610687,13.15138292,BRCA
8.2659789275,8.886520521,12.99983714,6.491152042,5.0687373255,7.4063725076,6.966797061,7.531468856,7.0698721725,11.42322901,9.577046919,7.779918143,6.82794277033,9.758490207,6.33551429275,12.61931219,12.43207997,13.08540943,BRCA
8.414155895,8.45292188,12.67639685,6.4121055595,4.958492937,7.2996578948,6.658643958,7.8558007155,6.9466844905,11.4712435,9.812915765,7.098719371,6.69079792733,9.318317477,6.1855686625,12.52524557,12.39881323,13.04201932,BRCA
8.570169323,9.284894137,9.347278715,5.81851615,5.2986916435,7.1446693556,8.426328841,7.6793168875,7.9529606385,12.28769659,10.43684194,7.791197286,6.127634878,11.17596133,6.010628631,12.50816376,8.929717871,10.82365605,BRCA
