@relation thedata

@attribute 10728 real
@attribute 1081 real
@attribute 1082 real
@attribute 120227 real
@attribute 134429 real
@attribute 147323 real
@attribute 15 real
@attribute 1583 real
@attribute 1584 real
@attribute 1585 real
@attribute 1586 real
@attribute 1588 real
@attribute 1589 real
@attribute 1591 real
@attribute 1594 real
@attribute 1621 real
@attribute 1644 real
@attribute 1733 real
@attribute 1734 real
@attribute 1735 real
@attribute 240 real
@attribute 2488 real
@attribute 2638 real
@attribute 2687 real
@attribute 3283 real
@attribute 3284 real
@attribute 3290 real
@attribute 3293 real
@attribute 389434 real
@attribute 3972 real
@attribute 4036 real
@attribute 4048 real
@attribute 4056 real
@attribute 4363 real
@attribute 438 real
@attribute 5122 real
@attribute 5409 real
@attribute 5443 real
@attribute 5641 real
@attribute 5740 real
@attribute 5742 real
@attribute 5743 real
@attribute 64174 real
@attribute 6528 real
@attribute 6770 real
@attribute 6916 real
@attribute 7054 real
@attribute 7166 real
@attribute 7173 real
@attribute 7252 real
@attribute 8029 real
@attribute 80765 real
@attribute DependentVariable {BRCA,Control}

@data
9.008275328,6.069052954,6.32067026,8.448437571,4.742021934,4.742021934,5.089382945,7.930502474,4.7654509215,5.626155278,5.499695432,5.15709054133,6.572931815,4.866921886,5.968558082,5.78110476,6.023427942,5.12979122267,6.861782807,5.97762982,6.95411503633,5.3661768805,5.703219255,8.344163978,5.551986008,5.162704759,9.65777508967,5.651059765,5.006535067,5.089382945,7.27123219,11.65143532,7.423676151,6.6092351115,5.243565552,5.0236728415,4.972246049,6.17142705,9.893741597,11.21989318,6.9407233715,9.3930229045,7.722570406,5.26866948,5.760449912,9.338959802,5.5858837835,5.720012484,6.6685211385,5.28356184,7.919550328,6.9208933665,Control
9.241090049,5.157863534,5.553829893,8.60235659,4.464508151,4.408172626,5.002940155,7.070285,4.8854495585,5.59724157,5.214524337,5.43543742333,6.379383241,4.789483203,6.464101029,5.219566658,5.887288406,5.289029078,6.863966876,6.418236866,7.516489036,5.3150324935,5.124960054,8.730589968,5.282820861,5.663779561,7.068728997,6.190817922,4.975688932,5.394043544,8.270226548,11.87463956,7.722174812,5.771439849,5.76593995,5.385578421,5.438135838,6.1866653115,9.00058412933,10.1567155,7.140230465,8.8139773665,8.518260836,5.428620839,6.05648800867,8.92187152,5.125650212,6.29655434,6.6888767345,5.210049084,7.936109529,6.456964605,BRCA
9.214180142,5.186670157,6.382672115,8.838022945,4.213746022,5.117498954,4.997530935,7.580562199,4.922826352,5.90202005,5.442952823,5.38759982333,6.362211787,5.001702332,7.380766509,5.819930778,5.312711681,5.322851802,6.30451534,5.844744204,7.52469168767,5.385380039,5.648185886,7.53621054,5.707228834,5.270913157,5.702404908,5.403788568,4.939944983,5.283469238,8.435400577,12.43207997,7.1396241895,6.2028306405,5.442952823,5.2755735705,6.657715471,5.8836651175,8.749633673,7.940168402,7.072765053,8.056837029,7.411068419,5.249645622,6.01156302567,9.407427708,5.5904720335,5.609778043,5.1122915415,5.131148296,7.169627227,6.373619747,BRCA
8.739663439,5.377480603,7.047917653,9.099052616,5.515077886,4.795989381,4.989038216,8.063854951,4.3905643155,6.381331506,5.574564199,5.510095752,7.080127653,6.605705905,7.168674938,5.291135005,5.357737827,5.13221139767,8.7884368785,6.335306046,7.21264682,5.504518435,5.624840225,7.716855678,5.273526379,5.677798027,5.65916861833,5.927488357,5.066316611,6.198794315,9.485839935,12.19704319,6.886749857,5.299286888,5.249456007,5.468986063,8.841046241,5.826429837,8.64356962067,8.20904039,6.9325116935,7.8889224205,7.164708668,5.446761787,6.00506568633,8.769293322,5.8439838165,6.052574163,5.858600793,4.42789603,6.269599511,6.053037785,Control
9.860280449,5.971837379,6.131965608,8.413650273,4.554721148,5.224591417,5.163107462,7.910194676,5.3791610015,5.687908393,5.810386064,5.59586093667,6.603630517,5.476714818,7.504801363,5.249266367,5.297935366,5.05092626567,6.646810647,6.186714102,7.17533249833,5.240692364,10.27937295,7.695960982,5.518229233,5.406342144,6.98727481867,5.577890454,4.727936746,5.245087973,8.528904455,12.29943565,7.285822694,5.803377825,5.358792935,4.8284649475,4.694341356,6.1219312495,9.38236160867,8.695994791,7.0536377325,7.9471266005,6.974073594,6.29131404,5.64558207067,9.12926442,5.5701302945,5.947964885,5.905474916,5.259471408,7.722348399,6.401589547,BRCA
10.10402901,6.058214335,6.129494897,8.410834102,5.048989481,4.699347423,5.14017664,7.22451093,5.0492724515,5.823119603,5.577437325,5.10312416833,5.770572224,5.357033992,7.095347239,5.712053188,6.143337929,5.25623285567,6.85598397,6.601477856,7.26909411033,4.916072587,5.163308771,7.551018227,5.588872948,5.214330049,7.78200752633,5.831124321,5.275017526,5.298302041,7.472835254,12.43390104,6.70871126,6.4424979595,5.360374153,5.516102513,5.391639926,5.74631893,9.836060365,9.927193184,7.37406127,8.852128455,7.78527447,5.353244986,5.41879283233,9.457525103,4.992983245,6.338964187,6.1225401635,5.694818396,6.579810423,6.422945403,BRCA
8.127763684,6.35799673,5.895672973,8.093524689,4.872350143,5.129706745,4.987447357,8.641348343,5.1441596575,5.564234295,5.614644516,5.64127889433,6.742953157,4.976376524,6.757593772,5.447092526,4.720021333,5.31208021733,8.6974252945,6.537843983,7.13829554067,5.241293886,5.55659131,7.636409152,4.73770262,5.346080415,5.747225222,5.455665247,5.041123858,5.836246857,8.596218763,11.90894245,6.0320806245,5.555589806,5.610811697,5.086907559,7.655282277,5.964404679,8.05991102133,9.274833037,6.1559204335,7.978764199,8.453621618,4.927198693,6.20099171133,7.40164993,5.8633026145,5.721927133,5.87122828,5.507803557,7.224969077,6.946815296,BRCA
9.617614907,5.887897624,6.281888889,8.664234931,4.947679304,4.177862416,4.894103816,7.359993557,4.882252345,5.859479655,5.865554662,5.60759746067,6.240415109,6.091811548,6.031721187,5.89936372,5.665912346,4.97783181,7.517416261,5.517599514,6.82093143667,5.371841579,5.052688948,8.068417055,5.305616048,5.198308745,8.06822202767,5.388371455,4.613868688,5.443615974,8.283761058,12.00568429,7.8069242375,6.153071572,4.912902804,5.1696054505,6.336734717,5.404807758,9.952717582,11.29154789,7.1148430665,7.884541234,8.127286498,5.102039992,5.81689138433,9.777124244,5.423904716,6.119880723,5.673265489,5.464350722,6.252481536,7.050574401,Control
10.03012262,5.841225451,6.018595926,8.797321986,5.186273979,4.66393703,5.529517425,7.985615876,5.0970489625,6.089376987,5.39361462,5.40751594967,6.271841744,8.270226548,7.433086984,5.739855695,5.620154746,5.432740591,8.6793276615,6.524937838,6.92672964933,5.076587947,5.659076304,7.561385569,5.488973851,5.641409649,5.803413096,5.968442884,5.38371401,5.615748247,9.108133102,12.78312415,7.5650069595,6.069391638,5.241850906,5.2582671055,7.859086107,6.2184456665,8.88885329567,8.713129681,6.969180441,9.7271422725,6.574711303,5.057570761,5.57629417433,8.946263807,5.73397804,6.095613938,6.2420282615,5.197719213,6.000682441,6.5755160315,BRCA
9.524390447,5.593362174,6.075431682,8.595333135,5.238033268,5.177231401,5.476390801,7.921991334,5.4576375785,6.472573571,5.495064524,5.48548137333,6.627610941,5.149555339,6.579395613,5.764746385,5.154627002,5.44839904233,6.15198306,6.13976173,7.18510210533,4.9404298,5.340750292,7.160832288,5.546594509,5.159075364,8.22060742933,6.60637236,5.048771569,5.168332398,8.868152066,12.14240395,7.1628843975,6.3085827065,5.401230463,5.045598213,5.460424154,5.8213620425,9.203962901,8.780376645,6.8642442865,7.7737994165,7.060293663,5.168332398,5.89147224933,8.840700143,5.484697035,5.78136709,5.7454671095,4.863456876,7.391761545,6.199731172,BRCA
