@relation thedata

@attribute 10165 real
@attribute 1468 real
@attribute 2023 real
@attribute 2026 real
@attribute 2027 real
@attribute 2203 real
@attribute 226 real
@attribute 229 real
@attribute 230 real
@attribute 2597 real
@attribute 26330 real
@attribute 2805 real
@attribute 2806 real
@attribute 2821 real
@attribute 4190 real
@attribute 4191 real
@attribute 5091 real
@attribute 5105 real
@attribute 5106 real
@attribute 5207 real
@attribute 5208 real
@attribute 5209 real
@attribute 5210 real
@attribute 5223 real
@attribute 5224 real
@attribute 5230 real
@attribute 6576 real
@attribute 7167 real
@attribute 8402 real
@attribute 8604 real
@attribute 8789 real
@attribute DependentVariable {BRCA,Control}

@data
7.703023027,8.430934545,13.80581744,8.622089465,7.0297312535,9.817791564,9.302910139,6.633943811,11.16600002,12.6844159467,4.973491563,9.713172168,10.97008092,11.56304622,13.20549015,13.40233131,8.02890448425,6.6011960975,8.17760709933,8.302274634,5.89793947733,12.860869275,8.144302782,10.2392001365,6.953093871,10.338390488,10.83866841,12.28113954,8.086681778,8.807557082,4.721115721,Control
7.55779131,7.77350375,13.91614961,9.599439206,6.95254361,9.705218147,9.05009466275,6.015254046,11.56061002,12.91939868,4.9607302205,9.446732392,11.37383049,10.75019637,12.88068749,13.61228456,7.08243355375,6.243050775,7.58182517267,7.339674386,6.00853079767,11.395106815,8.962058135,9.246767501,6.58267313,10.27250685,10.98307218,12.207276755,7.94301456,9.181134316,5.007208117,BRCA
8.078352484,8.570103432,14.36769016,8.809576125,7.4917674455,11.01447057,9.2216218775,6.347404892,11.30927755,13.45214513,5.371577087,9.940893908,11.74755745,10.62223972,12.78039731,13.82374193,6.84818504575,4.9437518165,7.737379153,6.172033026,6.62894661367,10.58756278,9.069866689,9.457144404,5.976026323,10.0744231775,10.51786893,12.76766683,8.269805924,8.752306314,5.641120592,BRCA
8.914176655,8.806639133,14.42653276,9.001310457,7.5775286035,10.55781096,8.72951368675,5.633294061,11.64123906,13.3430374267,5.041684185,10.41429442,11.92672973,11.00318779,12.45547628,14.19932039,7.30033758125,5.411271404,7.29196366133,8.010459746,6.33544587,11.0525900495,9.566083123,7.5216111065,6.480229268,9.908934117,10.81058993,11.959395845,9.008163257,9.252807995,5.322298864,Control
7.829026784,8.424944257,14.29545473,8.518260836,7.17264948,9.992853784,9.2267888725,5.673988298,11.09066178,13.5577100067,4.7650865215,9.570406539,11.56729791,10.69578097,13.11936595,13.73376056,6.95938043775,6.487691694,8.07156570167,6.829662885,6.36337141333,12.04429709,8.311874446,9.8878031485,5.513025813,10.232792699,11.18554156,12.58298471,7.558059277,8.749786587,5.084076226,BRCA
8.516705752,7.395150919,14.66897057,8.960350342,7.0959895645,10.73619497,9.674859359,6.300403471,11.05254447,13.38763503,5.314477714,10.20351353,11.58210918,10.84878354,13.34505663,13.43914135,7.2790413045,6.3510124755,7.67560415833,6.745207494,6.54453151733,11.983715765,8.879339047,10.675590878,5.81083589,10.836185255,10.86302493,12.57389598,7.401308606,9.23553628,4.715910134,BRCA
9.253115391,8.362383449,13.98232431,8.386661295,7.369407483,10.35594598,8.4091391935,6.009555025,10.75224706,12.7194158033,4.9229992715,10.3362558,11.50616141,10.50240945,11.94573106,14.24008548,7.44534149475,5.0486747065,7.10096244633,5.155031965,5.731491637,9.850373524,9.981439248,8.181704127,5.832707292,9.5119033295,10.14918223,11.58436785,8.62066991,9.034882252,4.713162871,BRCA
7.808322499,8.058155641,13.83906107,8.567633975,6.629421509,10.49325532,9.4386490915,6.789080796,11.4091179,12.9823389233,4.475268063,9.869532589,11.31514972,10.36033166,13.15952927,13.43392773,7.0305105925,6.034652891,7.17891887367,6.732001603,6.087816793,11.298284455,8.078592657,10.413939738,6.206043042,10.4821506555,10.20782,12.56799589,8.035611711,8.457135749,5.447753778,Control
8.539760899,8.826040853,14.46406102,8.524131399,7.624277507,10.59030193,9.2676526785,5.976026323,11.08348284,13.7230500567,5.40757463,10.29228169,11.70655442,10.91468805,13.02515173,13.85125179,6.7835047855,5.1194799475,7.64453556567,5.977400858,6.26309315467,11.507428945,8.302091812,9.9792781645,5.947555852,10.4653746555,10.72053523,12.990043025,8.01888328,8.715139304,5.218598349,BRCA
8.318408504,8.623754517,13.91975024,8.940578709,7.5993496495,11.95147243,9.06991468275,6.773670433,11.9729763,13.0016920567,5.348476342,9.589230319,12.01315176,11.07513166,13.02515173,13.57316849,7.624444863,6.044721811,7.79989988667,8.431122648,6.37934042267,11.232332545,9.062910366,9.242925143,6.65292069,10.1579811735,11.32848436,12.555839805,8.512524314,8.441949357,4.748476814,BRCA
8.012681973,9.187525981,14.16199356,9.347167964,8.054317228,10.12919321,9.3263654105,6.715210855,12.15241487,13.38075223,5.234034486,9.98368522,11.50362218,11.66763062,13.26600764,13.44200721,7.64305548225,6.777279282,7.67853256367,8.324744376,6.103133411,10.961812267,8.455040631,9.101076985,7.771029062,10.3429898955,11.67867508,12.709175695,8.782311189,8.893893904,5.127128959,BRCA
7.786173431,8.158535374,14.07822256,8.531830892,7.127591822,10.37334401,9.2539445035,6.186565552,11.45733998,12.9782093367,4.885039006,10.36525103,11.18215551,10.82171841,13.50703833,13.69898245,7.1594113175,6.542964077,8.198871326,7.821807658,6.64747643967,11.70917814,8.33670864,10.385450336,5.468429566,10.537062895,10.54016222,12.55312885,7.582144099,8.889824199,5.243375136,Control
7.772530879,9.101214823,13.92451704,8.766463584,7.525066413,9.25541878,9.345662943,6.754490456,12.10791023,12.84124692,4.695180462,9.822925735,10.95100801,11.2498099,13.75148289,13.73376056,7.91827336,7.4641024005,8.21715890633,8.547261958,6.211690882,12.743131755,7.987919294,10.0489230955,7.026996771,10.49601531,11.18215551,12.45224766,8.172253881,8.862560746,5.151586144,Control
6.947084956,8.512879813,14.35403309,10.08069134,8.427364945,11.64430934,9.54160512575,7.377039403,10.97395222,12.9832074433,5.025179949,10.42590328,12.46042141,10.90219441,12.6014308,13.83559602,6.9522246965,5.814687283,7.781624593,7.697873054,6.552126854,10.938707434,9.10528726,9.7655558655,6.487080811,10.0404666825,10.37139037,12.7948595,8.202663968,9.078511853,4.734861022,BRCA
7.46131803,9.610425606,14.49088818,8.334453331,7.9228118275,10.16363116,9.24964886925,6.953850502,11.11828268,13.29910101,4.99733848,10.1079628,11.86567539,11.36247141,12.81938184,13.83906107,7.474168944,6.019516084,7.37750700233,7.567216718,6.50797233933,11.42927823,9.500653254,10.1755793975,5.421737703,10.052479598,10.00164081,12.335373285,8.274239672,9.399940699,5.05203679,BRCA
7.033371033,8.895530694,14.41536846,9.898586698,7.7424971865,11.63567744,9.30465203825,6.640176686,11.63297943,13.3958873067,5.405369226,10.35624868,12.10567621,11.15594258,12.79374357,13.93643461,6.668085811,5.446513976,7.799000873,6.763946394,6.484659393,10.7152440105,9.275589767,9.442624464,6.787253282,10.054922528,10.38135939,12.89503667,8.372017391,9.312894935,5.06588596,BRCA
6.905931861,8.458335989,14.08845827,9.80247643,8.1993781325,12.29172622,9.73198662975,6.821139774,11.19380271,13.26413214,4.942819753,10.16869754,12.41104094,10.89955162,12.83212363,13.94018008,6.99342098075,5.8678732615,8.26637811633,7.037687304,6.55113829467,10.719947743,9.32873165,9.864515267,6.404976011,10.110630198,10.45670378,12.883676395,8.186177549,9.583055082,5.154424477,BRCA
7.252857286,9.158313751,14.75649535,8.545892254,8.099684686,11.3345919,9.43448568775,6.50922523,11.97755909,13.56340191,5.1235822865,10.71990666,12.3239471,11.53030527,13.31403233,14.35403309,7.3878730535,5.9673170555,7.864735013,7.843483192,6.656141449,10.931663923,8.909121384,9.425735618,7.11681471,10.2906216975,10.50898594,12.95196407,8.566036076,9.073606794,4.832144764,BRCA
7.151425371,8.438086053,14.7817055,9.157246578,7.9640858885,11.15565329,9.62476860925,6.5890186,10.94914844,13.5598272267,5.1411577435,10.27801993,12.12695617,11.39624368,12.87743566,13.95070399,7.0851958235,5.321784583,8.21781843067,6.427443278,6.577842161,11.41841943,8.921618659,10.2208606765,5.95687633,10.2719336385,10.71515145,13.185500905,8.162140944,9.247975637,4.988243006,BRCA
6.51033347,10.30513296,14.58875125,10.09131343,7.207625284,6.779394753,9.5501818735,6.482691508,13.0331107,13.6582169367,4.781459781,10.15345105,12.11775357,9.521345799,12.9500565,13.86388477,6.2068217805,6.5614672555,7.75966795533,8.158535374,6.22984031133,11.913684245,9.332881953,10.073199747,6.130936659,9.0693429085,10.65747949,11.1259818395,9.107073927,9.565750015,4.891432858,BRCA
