@relation thedata

@attribute 10599 real
@attribute 10998 real
@attribute 213 real
@attribute 2172 real
@attribute 28234 real
@attribute 570 real
@attribute 6554 real
@attribute 6555 real
@attribute 6579 real
@attribute 8647 real
@attribute 8714 real
@attribute DependentVariable {BRCA,Control}

@data
5.101878389,6.701137054,7.7376573975,4.669381468,4.894103816,4.993687096,4.908706346,5.364932404,5.2019216324,5.817758343,7.716785011,Control
5.2265271105,7.221082271,9.7870700585,5.372144051,4.744715005,4.576912188,5.648473532,5.456322582,5.2911445826,5.152803256,7.650747482,BRCA
5.0449468895,8.427167336,12.62697937,4.747148143,5.042218873,5.48205062,5.690704299,5.117498954,6.1460431452,4.889243844,8.052154908,BRCA
5.9854039175,8.562873108,7.930471455,5.568131634,4.916490079,4.441925913,5.259471408,5.407702206,5.754767318,5.771893004,7.163384394,Control
5.2902147925,8.251531081,8.015173999,5.060435064,5.144465785,5.588723066,5.530141964,5.349976695,6.1058861592,5.963711807,7.965244826,BRCA
5.4356665065,6.425766121,6.9824236295,5.249617441,4.877267261,5.36773034,4.801690636,5.182306199,5.5909866782,5.889480387,7.6988737995,BRCA
5.883265422,6.913221911,6.9516337875,5.1707431075,5.622938584,4.899068355,4.145262653,6.101508918,5.0854369732,5.46859248,8.126866039,BRCA
5.3386342155,7.789307238,10.79455209,5.0590023175,4.771372469,4.703782956,5.273526379,4.894103816,5.6884673112,5.384232247,7.892094081,Control
5.272324469,8.442550769,6.0114515715,5.536406371,4.850513484,5.352274105,5.210049084,4.66791382,6.0827014726,5.224591417,7.3969158535,BRCA
5.3360874045,8.020912072,13.31266958,4.9430597495,4.854508448,5.250782787,4.661658909,5.964751666,5.1624705018,5.013139794,7.85338144,BRCA
5.104709621,8.053302965,8.503724095,5.405572051,5.091711732,5.011910695,4.946977895,5.287261033,5.6395278026,5.97637008,7.903924232,BRCA
5.6783286315,7.673046,6.912791493,5.055371676,5.20340796,4.977292804,5.091923254,4.805564985,5.337664602,5.582714993,7.842402382,Control
5.341986333,7.8694722,10.133388387,5.057897256,5.113545539,5.602298936,4.79000478,4.966489589,5.291147926,5.637792259,7.871263686,Control
5.4488891775,7.789437666,8.53871716,5.3426754645,4.828595108,4.933113756,5.089171051,4.764223297,5.490384506,5.309259193,8.7480356005,BRCA
5.308063998,7.378037131,11.72191125,5.4417573975,4.461934912,5.586322838,4.952579644,4.917683858,5.8127020372,5.069757204,7.711191308,BRCA
5.3259828865,8.28259169,10.791425545,5.352552435,4.909306588,4.518505219,5.02526278,5.123512303,5.2549399508,5.561792943,8.2752796725,BRCA
5.2786936645,8.153857416,8.1667364795,5.364703665,5.425938643,5.077041333,4.99911072,4.979809576,5.6692553992,5.414821571,8.16052831,BRCA
5.2220729085,8.602996767,10.57128421,5.453573065,5.090018442,4.931459981,4.991874681,5.346612346,6.0184162604,5.127954352,7.6317198585,BRCA
5.3910825315,8.47891229,7.090354371,5.5748439065,4.488522104,5.456322582,4.226628493,4.800785121,6.0566946712,5.394558084,7.4997982675,BRCA
5.748064128,8.992655946,8.2674938005,5.1732281645,4.904256777,4.586234078,4.162385722,5.279110251,5.0576149536,5.901899413,9.1710371135,BRCA
