@relation thedata

@attribute 10229 real
@attribute 27235 real
@attribute 3242 real
@attribute 51004 real
@attribute 51805 real
@attribute 6898 real
@attribute 84274 real
@attribute DependentVariable {BRCA,Control}

@data
8.556325108,9.412771537,5.464840793,7.75134126067,9.145958329,9.590026107,11.21374538,Control
8.584681754,8.958379527,5.36458228,7.58090398933,8.713421851,9.054591515,11.15374536,BRCA
8.375496855,9.344806934,5.321216715,7.70626879067,8.964023935,9.576891081,11.42741383,BRCA
8.926163377,9.300593442,5.602001935,7.64941239233,9.311260784,8.895061065,11.05354261,Control
8.05923781,9.430761509,5.432300734,7.45261498733,8.981339747,7.445824194,11.38801744,BRCA
8.561384495,9.174302247,5.260224473,7.30625538733,8.715654141,10.6672848,11.12517146,BRCA
8.071758815,9.591036594,5.328236218,7.40665666267,8.806469973,10.9783031,10.25788313,BRCA
8.05224351,9.406237498,5.77400374,7.75389809267,8.998647632,10.33226629,11.34542758,Control
8.376419679,9.682714233,5.708746799,7.79740791833,9.399289208,10.7819664,11.4712435,BRCA
8.4585103,8.990161504,5.853503721,7.69855675867,9.158654574,10.72311933,11.25078414,BRCA
8.439811279,9.45422789,6.535668564,7.58668854933,9.715593603,8.361287094,11.24026381,BRCA
7.973182359,9.619894919,8.213713165,8.00741891667,9.370535461,11.60242527,11.30328147,Control
8.32411429,9.369085347,5.955714558,7.81893809333,9.097124272,9.900855914,11.17512864,Control
8.619102198,9.31409667,5.99379393,7.89441654933,8.94185541,10.43324145,10.7819664,BRCA
8.35012274,9.230621608,5.869940017,7.807006355,8.637277967,11.36922669,11.1356742,BRCA
8.702935506,9.192157864,7.680959203,7.675774474,9.315772892,9.534133176,10.99163187,BRCA
9.062600116,9.090086692,5.744774144,8.080858344,9.151968584,12.46365343,11.07740677,BRCA
8.630450181,9.604322085,6.241511903,7.92687184633,9.324653748,12.49559531,11.09339134,BRCA
8.5572733,9.156677939,5.964751666,8.23807866633,8.783703111,12.08367055,11.09109172,BRCA
9.901357605,9.410706331,5.451714936,7.93988658833,9.482092544,5.842294551,10.76777295,BRCA
