@relation thedata

@attribute 10076 real
@attribute 10401 real
@attribute 1154 real
@attribute 3716 real
@attribute 3717 real
@attribute 3718 real
@attribute 5967 real
@attribute 6646 real
@attribute 8554 real
@attribute DependentVariable {BRCA,Control}

@data
6.7133100305,7.951053173,8.069115572,11.04382723,8.378404463,4.963024656,4.997982479,6.173532859,10.90219441,Control
6.4020379255,8.436358762,7.667965061,9.540845393,7.325982508,5.442455259,4.113464519,6.29655434,11.37070935,BRCA
6.719045451,8.70369695,7.904606211,10.145837,7.458490947,5.531000265,4.720021333,6.478652844,10.72311933,BRCA
6.520998898,9.028169309,9.707333731,7.64196344,6.114997467,5.259471408,5.051166787,6.15977612,10.37355608,Control
6.448476467,7.935814963,9.580758442,10.16184396,7.364180901,5.426609659,5.155031965,6.697180004,11.37439849,BRCA
6.2351880285,8.319853998,9.275729428,11.74013292,8.052107626,5.36773034,5.190230876,7.634849385,10.65722043,BRCA
7.2231956235,8.944200421,9.766537656,8.66980731,6.705498046,5.891547537,4.77796061,6.464509503,11.18913904,BRCA
6.501486998,8.72546095,7.846792788,10.70365297,8.158535374,4.806596392,5.392842236,6.159826567,10.70292179,Control
6.7729031425,8.134145359,9.912874791,10.41875948,7.011789475,5.157459364,4.835180387,6.672888927,10.74842792,BRCA
6.572986239,8.169275047,8.207967411,9.172928193,7.088605737,5.735326697,4.867663307,6.3947676,11.22708057,BRCA
6.6156340035,8.253104235,8.59931884,8.551815066,7.660782339,5.372961888,4.956069723,6.696275996,9.80990119,BRCA
6.537635364,8.249304446,8.721869154,10.93235154,7.948076801,5.313437469,4.87013196,7.031745651,10.53462901,Control
6.5352634785,8.569856676,8.354404912,11.03036559,7.573687183,4.716458988,4.341403747,6.63379854,10.34145242,Control
7.3863270135,9.830864202,6.475494819,10.52922583,8.115591386,5.186075849,4.866427394,6.248170117,10.87277127,BRCA
7.3616244335,9.398503824,8.916656615,10.46394351,8.41854957,5.421737703,5.443947436,6.516177208,10.4210605,BRCA
7.149018369,9.140766596,7.825374032,9.622015717,7.821265561,5.43205013,5.321216715,6.31542641,10.91980209,BRCA
7.2131919075,9.665123195,7.754388358,10.1691111,8.145615208,5.476876799,5.425938643,6.438214347,11.08987103,BRCA
7.4901425165,9.108433714,9.037520272,9.546605663,7.912322211,5.35439155,4.91887665,6.643499529,10.46257413,BRCA
7.2874422305,9.715593603,8.849390342,10.84149381,8.111841355,5.16642548,5.339058306,6.607778312,10.64603237,BRCA
7.675454023,9.320829383,8.3077144,9.58528234,6.034420016,4.953976689,5.726021414,6.520033725,7.997322226,BRCA
