@relation thedata

@attribute 3566 real
@attribute 3596 real
@attribute 3597 real
@attribute 3598 real
@attribute 3716 real
@attribute 3717 real
@attribute 7297 real
@attribute DependentVariable {BRCA,Control}

@data
7.9598688595,5.014814152,12.43921023,5.862210374,11.04382723,8.378404463,11.21515091,Control
7.5780798575,5.076613872,12.26420808,5.066101302,9.540845393,7.325982508,11.36612562,BRCA
7.6972575105,5.241660263,12.01701203,5.275017526,10.145837,7.458490947,11.54144891,BRCA
8.2079323255,5.402254249,11.94205636,5.273526379,7.64196344,6.114997467,11.88081762,Control
7.8440426925,5.759829109,11.89117053,4.790786791,10.16184396,7.364180901,10.88698849,BRCA
8.179923014,5.148742216,12.66269848,5.745917133,11.74013292,8.052107626,11.4712435,BRCA
8.4037176925,4.541660082,11.30524968,8.637622132,8.66980731,6.705498046,12.03158587,BRCA
7.667921317,5.007208117,12.20355304,5.330209918,10.70365297,8.158535374,11.23283777,Control
7.6272357545,5.032113243,11.9729763,4.711787202,10.41875948,7.011789475,10.99013608,BRCA
8.3888894545,5.679206489,12.07584355,5.570775033,9.172928193,7.088605737,11.51681803,BRCA
7.573889673,4.847259412,11.77322176,5.431465218,8.551815066,7.660782339,11.57353372,BRCA
7.829537058,5.622060057,12.29564706,5.927251297,10.93235154,7.948076801,11.18554156,Control
7.343454662,4.802724808,12.39294532,5.530063912,11.03036559,7.573687183,11.45329393,Control
8.2605585175,4.854508448,12.21133327,5.021270114,10.52922583,8.115591386,12.30980751,BRCA
7.5265620785,5.541492575,11.92740031,5.369825236,10.46394351,8.41854957,12.32769025,BRCA
8.0140964065,5.740665359,12.35101106,5.398154738,9.622015717,7.821265561,12.03792277,BRCA
7.9397725765,5.349799819,11.91937371,5.049425205,10.1691111,8.145615208,12.05450776,BRCA
7.982761652,5.838454683,11.81929108,4.96464266,9.546605663,7.912322211,11.744773,BRCA
7.9352348665,5.467777725,11.95442182,5.310713879,10.84149381,8.111841355,11.59290561,BRCA
7.958005403,5.279110251,12.31729538,5.762422735,9.58528234,6.034420016,12.55486108,BRCA
