ID	116	117	2642	2641	1395	2740	59345	9340	1394	10203	1392	8321	8322	8323	8324	8643	8325	8326	5741	94235	7484	89780	5746	7483	5745	5744	7976	7482	7481	7480	3549	6608	80326	51764	54361	10268	7471	6469	10267	133	10266	7476	2788	7477	2787	7478	7479	7472	2784	2783	7473	6343	2786	7474	6344	2785	7475	2790	2791	2792	2695	2793	2696	54331	55970	11211	7855	50846	799	10681	797	2778	796	3375	2692	5727	2691	51384	2782	7434	79924	7433	7432	2535	113091	DependentVariable
Instance1	6.732544377	5.023267828	5.023267828	5.006535067	4.958159726	5.651059765	7.4230773135	4.75276401	6.2726735215	8.742226161	6.312388929	8.4127934705	12.92825655	6.628121512	9.781251189	5.127232159	8.129954133	7.522230622	4.9682478005	5.641987591	5.361953639	5.019047182	8.593784309	6.21830228	9.900180431	8.788718287	8.286605263	6.293385	8.050720878	5.568040657	4.889243844	7.53572469	6.221109164	5.232287804	6.536989745	10.083847385	5.105815554	5.768456458	6.2950853	13.85986526	8.925557862	5.461406798	8.735353884	5.96163024	8.440434347	5.1257211795	4.195262102	6.801873633	5.893611729	8.698011038	7.070982613	5.836309985	5.516024013	6.978971021	6.089906589	5.692518737	6.035630095	9.885094283	12.98372673	5.028139516	5.629364816	6.38362276	5.539477758	9.177283189	10.1038422	6.106961344	7.552824933	6.3034206	6.502239591	6.888464479	5.291135005	8.533866741	5.72117192133	5.492342928	4.86535052567	7.71697568	5.276321016	6.0174776375	13.02719506	7.190568257	7.699071153	10.44381412	6.929158006	8.156868221	5.386389566	Control
Instance2	5.99820185	4.632736581	6.593544722	5.663779561	4.157634474	5.394043544	8.3643319965	4.881923051	6.469974421	8.130108627	5.97717186	7.970974812	11.95883643	6.469157955	9.9445751115	5.22439848	8.674016666	7.524935635	5.1257663835	5.277995204	4.998208198	5.629656239	8.863614158	5.703911357	8.951110652	7.525499921	10.23351816	6.3775425145	6.954781196	5.853378958	4.682873814	8.178840509	5.899424146	5.31868854	6.708673956	9.4417166025	5.044843524	5.61353994	5.718917257	12.78963253	8.6325233155	5.488009811	9.217703977	6.5420415765	8.487841164	5.3490236965	4.107208013	6.015254046	6.113748025	8.720142595	7.58331058	5.726293954	5.853378958	8.003125914	5.932044187	5.195063332	6.017928169	8.481901451	12.07225833	5.682862067	5.301232095	6.120295558	5.157863534	7.381134364	9.681370693	6.301135476	6.443942775	6.001414528	5.808134829	7.24025073833	5.171138007	8.84345400733	5.14634821233	5.263796174	5.55012419033	8.485226676	4.584732512	6.386601371	13.00956452	6.750074255	7.321479719	10.90932705	6.5731092635	9.139008401	5.633294061	BRCA
Instance3	6.640176686	5.418452458	4.774274953	5.862458365	4.532217038	5.539167536	7.196995946	4.364995254	6.4758247385	6.69676284	5.79507289	8.9020220415	10.66919979	6.461893267	10.3791014185	5.042218873	9.326666054	7.582708643	4.8225809915	5.72110688	5.832137623	5.098043929	7.068969348	5.403788568	7.791685689	7.897931486	9.746254447	5.94640926	5.371568663	5.14017664	5.062004299	8.941760064	6.289378595	5.206732344	6.94477391	7.9017104695	5.430127385	6.18913825	5.883261105	10.42417183	7.742845697	5.228252321	10.16381668	6.2859438955	8.83146649	5.597986393	4.596993252	6.16058305	6.074361597	8.686203838	7.909009687	5.929560972	5.92077637	8.217486565	5.838328613	5.30807618	5.375570566	8.913937397	10.57663577	4.963487128	5.336114869	6.323194968	5.224205518	6.36768175	9.362086899	6.174432011	5.784511344	5.788040457	5.383800396	6.84021840933	5.672716149	9.29076107	5.35110594467	6.667754223	4.68426129367	8.548167949	5.48205062	6.2636479175	12.9979954	6.281193427	7.863289793	11.19856953	5.9170928285	8.941760064	5.30807618	BRCA
Instance4	6.183293584	4.608266403	5.28559757	5.646026713	4.615634874	5.03343539	6.7231615275	5.264171629	6.8753822375	5.776111392	5.480516577	8.301028863	11.24400418	5.651059765	10.4243668365	5.391983545	9.130687109	8.287101846	5.4807129795	5.842043069	5.259471408	4.932877618	7.723082599	5.884360575	9.329135442	10.60241829	9.135068667	6.525127691	6.583162235	5.931571523	5.218404609	8.976493329	6.480229268	4.790526167	9.607256848	9.0655112035	4.65909244	5.129088497	5.985392981	11.47762688	8.502443557	4.97385375	10.21758854	6.3290375325	8.646667718	5.2926478335	5.357737827	6.340211188	5.455665247	9.066695429	8.31872483	5.967866753	5.504788206	6.034364988	6.209020126	5.693773551	6.848156962	6.563810693	9.832676886	5.29683478	5.341462114	6.198794315	5.446761787	4.851263383	7.986995525	6.848156962	5.994246645	6.125832527	5.123512303	6.610917172	6.225261069	8.629147321	5.51017349	5.549369797	4.99576198533	8.9807973	4.707928514	6.557150138	13.11510467	6.569935808	8.390288414	11.2641671	5.7632563765	8.857282118	6.212477538	Control
Instance5	6.447005198	5.412113573	5.213747029	5.421401099	4.550123556	5.218210843	9.010303599	5.361953639	6.6465269855	8.058155641	6.963477375	8.160096299	11.24903656	7.072805548	10.218524836	5.384232247	9.079885486	7.458244852	5.434860365	5.615159695	4.665926218	5.305251227	7.684435024	5.65593226	8.247323644	9.7934389245	9.68543261	6.3892088105	6.019930513	5.305251227	5.241660263	7.892711475	6.502915818	4.850263431	6.628559001	8.296105902	5.580832327	6.009890885	5.835046906	12.06768485	8.4627555425	5.108327117	9.669660678	6.528179593	9.506942805	5.31991114	5.218210843	6.29655434	5.954086504	8.97289446	7.647208586	5.170937787	5.228252321	7.516174992	5.856743757	5.349976695	5.939585825	9.337042659	11.68740205	5.536217098	5.305251227	6.63172683	5.315340927	7.573687183	9.546605663	5.971837379	6.805650779	6.131965608	5.435804628	6.84786461333	6.117700885	9.35589447533	5.52152172833	6.252197663	4.77573736233	7.782082724	5.55659131	6.141871814	12.87743566	6.100668251	8.12528576	10.97395222	5.540574562	8.899010276	5.228252321	BRCA
Instance6	6.582334422	5.405661632	6.161087152	5.614718124	4.277714943	5.357033992	7.9243325035	4.895316255	6.860768317	8.429543916	5.730647597	8.8413044935	11.81385744	7.764773957	10.2149243505	4.727392239	8.003378941	8.27508986	4.4193713495	5.093825554	4.963718308	5.925887445	7.466690585	6.147821182	7.919550328	9.6944623525	9.687454914	6.322112195	7.179961635	4.851513263	5.417777635	7.968884369	6.149651232	5.178725843	6.314610999	8.7132275515	5.331285345	6.26810275	6.246603446	12.29328779	7.5522545465	5.316879984	9.433805075	6.7096565605	8.217135121	5.522063219	4.985513237	6.649547651	6.143337929	8.838889641	7.076257446	5.840847932	5.268482349	7.323192435	5.840847932	6.086619917	6.202961886	9.258413586	11.15310882	5.717272857	4.357563839	6.186714102	5.206341637	8.547261958	11.06412655	6.004058206	6.2694125	6.044290968	6.177524808	6.695170111	5.891547537	9.078168623	5.59871499867	5.727111263	5.15349024433	7.808161583	4.82223464	5.981941758	12.98372673	6.080237268	7.454322173	10.58888352	5.9152111805	8.597597398	5.048989481	BRCA
Instance7	6.009555025	5.895672973	5.129706745	5.319230665	4.224335417	5.544509535	8.7523926965	4.765549899	7.0372553135	7.275475337	5.996847001	7.9387998355	9.729417293	6.085982922	10.7153715	5.22439848	9.196074082	7.542028015	4.808218898	5.486079796	5.297201735	5.544509535	8.041126769	5.507803557	9.904710301	12.05566756	9.356848698	7.6792712795	6.156291057	5.614644516	4.927198693	9.00775693	6.460337629	4.959319531	10.10422562	7.759543745	5.246418775	6.101508918	8.582331246	11.22396264	8.592360747	5.560264997	9.675551824	6.005130752	8.678425073	5.255997126	5.388199225	8.60580462	5.821334729	7.985772397	8.658881899	5.757564188	5.66903474	5.887288406	5.520352508	5.86196234	6.268944869	6.875906358	10.10831572	5.442621133	5.242422681	7.026996771	5.575925867	6.049582442	9.132211242	5.328236218	5.910919251	6.583763983	5.259377247	7.252915346	5.328236218	8.46320594233	5.36635519667	5.062651968	5.56439935567	9.382883972	4.688758955	6.181744451	12.64120964	8.260379892	8.574301293	11.2211885	5.076891434	10.67558245	9.775339133	BRCA
Instance8	7.17689899	4.923875634	5.431465218	5.632130956	5.042218873	5.796890531	7.0132000305	5.052688948	6.823676148	8.299953361	6.764676316	9.4795098715	11.56819616	6.861958852	10.168160634	5.833339995	8.942852506	7.021149678	4.9778266905	5.42266296	4.636656248	5.431465218	9.417926928	5.920180882	9.284477768	10.379087075	8.882827291	6.0879494895	7.075909955	6.028906829	4.81315432	8.200139826	5.917199751	5.229406468	8.009312352	8.662827402	4.835559392	6.082846929	6.776831487	12.82636383	8.940444787	6.007201809	8.751335778	5.6952999385	9.414337005	5.5709618885	5.154424477	7.44476877	6.338875075	8.510330132	7.059834177	5.256643908	5.967463325	7.743893804	6.409989636	5.380600673	5.682019293	10.49178825	12.76004735	5.865554662	5.368952732	6.403016818	4.559000855	8.11035427	10.18190731	6.001358226	5.78751817	5.850631456	5.748602952	6.439102376	5.585722157	8.875123686	5.52759608267	6.026363672	4.96261588333	6.919939268	4.846005888	5.639734946	12.98945487	6.326973765	7.984462786	11.0280651	5.85198214	8.944537203	5.202820508	Control
Instance9	6.496818333	4.991194438	5.484791683	5.894703343	5.215495384	5.469406774	7.2793614545	4.809043025	6.521811759	7.437109373	6.66163961	9.2720875485	10.63456176	7.375346026	10.3979483055	5.346612346	8.239957816	8.065471505	4.964014359	5.104977394	5.338434442	5.706952669	7.182992972	5.735529792	7.940975873	11.191888465	8.876978171	6.2086577505	5.998653184	5.508596024	5.02526278	8.523063126	6.150616157	5.411944154	8.103682692	9.0856134675	5.524354632	6.40165233	6.354959533	10.61443405	7.852648975	4.778749175	9.919504381	5.4468612975	8.843419494	5.548760095	5.250403832	6.476183696	6.092128797	9.04011237	7.258003273	5.901054678	5.496742949	7.196481948	5.922323489	5.789736585	6.479825221	9.495266002	11.3442156	5.659076304	4.889243844	5.886008211	4.958159726	6.738839176	9.085353696	6.167925508	6.388711011	5.563776856	6.1022441	6.907508702	5.615748247	9.29028807333	5.35697918767	6.044345618	5.53576535167	7.892544524	5.354744155	6.289543783	12.96993872	5.635327242	8.027271741	10.95483991	5.878580744	8.612961657	5.329851264	BRCA
