@relation thedata

@attribute 10858 real
@attribute 1545 real
@attribute 1581 real
@attribute 1582 real
@attribute 1583 real
@attribute 1584 real
@attribute 1585 real
@attribute 1586 real
@attribute 1588 real
@attribute 1589 real
@attribute 1593 real
@attribute 1595 real
@attribute 51302 real
@attribute 9420 real
@attribute DependentVariable {BRCA,Control}

@data
7.069103653,9.562295439,5.019047182,5.178526673,7.930502474,4.7654509215,5.626155278,5.499695432,5.15709054133,6.572931815,10.7221503,6.879341631,6.456568394,5.927073476,Control
7.099981891,9.503697124,5.862210374,5.201056716,7.070285,4.8854495585,5.59724157,5.214524337,5.43543742333,6.379383241,11.02832761,6.631326684,6.445892764,5.394043544,BRCA
6.774659006,9.321038041,5.995434345,5.182504847,7.580562199,4.922826352,5.90202005,5.442952823,5.38759982333,6.362211787,11.28307404,6.316874894,7.029139294,5.383800396,BRCA
7.252526182,10.09354338,6.340211188,5.000914074,8.063854951,4.3905643155,6.381331506,5.574564199,5.510095752,7.080127653,11.11355354,6.261818145,6.9302706035,5.233822166,Control
6.062214149,8.8794769,5.415666779,5.326799101,7.910194676,5.3791610015,5.687908393,5.810386064,5.59586093667,6.603630517,10.93731517,6.777719287,6.7706665135,5.744774144,BRCA
6.590366699,9.242996091,5.743764871,5.222467693,7.22451093,5.0492724515,5.823119603,5.577437325,5.10312416833,5.770572224,11.89018267,7.098824623,6.982590593,5.413806667,BRCA
8.050339969,10.55561035,5.836246857,5.630093262,8.641348343,5.1441596575,5.564234295,5.614644516,5.64127889433,6.742953157,10.84461576,6.816347305,6.01779139,5.544509535,BRCA
6.47143593,10.31838495,5.808263565,5.528970731,7.359993557,4.882252345,5.859479655,5.865554662,5.60759746067,6.240415109,10.92031584,6.353195907,7.0861768335,5.439466268,Control
6.424171013,11.19831015,5.430796457,5.425183376,7.985615876,5.0970489625,6.089376987,5.39361462,5.40751594967,6.271841744,11.30129057,6.83687446,7.471796476,5.886008211,BRCA
7.861042112,8.197955209,5.303973626,5.622938584,7.921991334,5.4576375785,6.472573571,5.495064524,5.48548137333,6.627610941,10.6623838,7.252526182,7.009118688,5.438884356,BRCA
7.842619252,10.39480059,6.086619917,5.732683853,9.177744123,4.9864844825,6.264916969,5.263890047,5.56133875533,6.520348088,11.55806922,7.013967798,6.307228857,5.944279407,BRCA
7.121484628,10.23019795,5.451879748,5.291135005,7.408841599,5.3912241155,5.981059894,5.664419727,5.494171808,6.475656937,11.13168997,6.898090799,6.537252681,5.406852318,Control
7.506131263,9.374290255,5.457225929,5.593287468,8.031385719,5.477321663,6.289378595,5.485435883,5.51675636433,6.140477679,10.5503671,6.502239591,6.300763877,5.788040457,Control
7.780213504,8.657212253,5.507962085,5.463533568,7.804520085,4.674861496,5.619861398,5.545359333,5.425696196,7.349106756,11.03869289,5.718369332,6.541109169,5.317422789,BRCA
7.871937763,10.02857645,5.461570507,4.966374225,8.260238737,4.800635275,5.666480557,5.179522246,5.48049904433,7.162394161,10.47812272,5.149758548,7.137136477,5.203016352,BRCA
7.70535786,8.874183054,5.579701547,5.332538997,8.323506447,5.3730539435,5.738235001,5.352627229,5.57420269633,6.805457319,11.34599024,5.859106883,6.722669948,5.398154738,BRCA
7.730336178,7.670764447,5.744774144,5.37304892,7.756141175,4.817268527,5.785165535,5.122477305,5.16198559333,7.054091788,11.0826449,6.019596982,6.1684757915,5.559423936,BRCA
7.6746533,9.933580429,5.334685584,5.136490053,8.568812243,5.1865139995,5.810900139,5.123512303,5.743690292,6.076287179,10.85568242,6.298388541,6.739456546,5.651777341,BRCA
7.809512721,8.976679481,5.888750097,5.657505139,7.962261434,5.133775527,6.116193835,5.335221732,5.583055926,6.225020007,10.94183646,6.037608037,6.8994632645,5.406001929,BRCA
7.43588092,7.19165425,4.941119518,4.842490216,8.920026109,5.234068039,5.666764579,5.113545539,5.49712143033,7.100665295,11.24345683,6.51033347,6.6454742555,5.052688948,BRCA
