@relation thedata

@attribute 10005 real
@attribute 10599 real
@attribute 10858 real
@attribute 10998 real
@attribute 11001 real
@attribute 1109 real
@attribute 1581 real
@attribute 1582 real
@attribute 1593 real
@attribute 213 real
@attribute 2172 real
@attribute 23600 real
@attribute 28234 real
@attribute 3295 real
@attribute 51302 real
@attribute 570 real
@attribute 6342 real
@attribute 6554 real
@attribute 6555 real
@attribute 6579 real
@attribute 6718 real
@attribute 80270 real
@attribute 8309 real
@attribute 8647 real
@attribute 8714 real
@attribute 9023 real
@attribute 9420 real
@attribute DependentVariable {BRCA,Control}

@data
7.184878131,5.101878389,7.069103653,6.701137054,6.963246156,5.519645097,5.019047182,5.178526673,10.7221503,7.7376573975,4.669381468,6.93423366833,4.894103816,11.09730811,6.456568394,4.993687096,7.2964269455,4.908706346,5.364932404,5.2019216324,9.815758405,9.315874762,10.04737654,5.817758343,7.716785011,11.35660343,5.927073476,Control
6.722504021,5.2265271105,7.099981891,7.221082271,6.033319063,5.911818141,5.862210374,5.201056716,11.02832761,9.7870700585,5.372144051,6.402667179,4.744715005,10.91180038,6.445892764,4.576912188,7.1981423495,5.648473532,5.456322582,5.2911445826,10.1462129605,8.748411858,10.33515616,5.152803256,7.650747482,7.947653191,5.394043544,BRCA
7.383663527,5.0449468895,6.774659006,8.427167336,6.053334703,6.040021845,5.995434345,5.182504847,11.28307404,12.62697937,4.747148143,7.403785913,5.042218873,11.12068843,7.029139294,5.48205062,6.9330807505,5.690704299,5.117498954,6.1460431452,9.7177441945,8.598444418,9.571573066,4.889243844,8.052154908,7.459720794,5.383800396,BRCA
7.59548338,5.9854039175,7.252526182,8.562873108,5.504788206,6.006528756,6.340211188,5.000914074,11.11355354,7.930471455,5.568131634,6.13048027067,4.916490079,10.55438287,6.9302706035,4.441925913,6.8103280455,5.259471408,5.407702206,5.754767318,10.085094788,8.500683687,9.638010974,5.771893004,7.163384394,5.62000808,5.233822166,Control
7.197317764,5.2902147925,6.062214149,8.251531081,7.801322174,5.572595075,5.415666779,5.326799101,10.93731517,8.015173999,5.060435064,6.97442544467,5.144465785,10.87758344,6.7706665135,5.588723066,7.8570900495,5.530141964,5.349976695,6.1058861592,9.820262273,8.888919105,9.562147541,5.963711807,7.965244826,7.456192424,5.744774144,BRCA
6.738737864,5.4356665065,6.590366699,6.425766121,6.354474751,6.052356793,5.743764871,5.222467693,11.89018267,6.9824236295,5.249617441,7.389363753,4.877267261,11.02017803,6.982590593,5.36773034,8.003273693,4.801690636,5.182306199,5.5909866782,10.3744482785,9.232481563,10.19564323,5.889480387,7.6988737995,8.647639314,5.413806667,BRCA
6.00034443,5.883265422,8.050339969,6.913221911,5.857863615,5.850631456,5.836246857,5.630093262,10.84461576,6.9516337875,5.1707431075,5.992893276,5.622938584,10.02722219,6.01779139,4.899068355,7.3238721285,4.145262653,6.101508918,5.0854369732,10.0252553475,8.560448556,10.0436019,5.46859248,8.126866039,8.010809379,5.544509535,BRCA
7.218444873,5.3386342155,6.47143593,7.789307238,6.539938605,5.805041697,5.808263565,5.528970731,10.92031584,10.79455209,5.0590023175,7.81210927067,4.771372469,11.38105635,7.0861768335,4.703782956,7.7267805215,5.273526379,4.894103816,5.6884673112,9.394676109,8.880724644,10.15840177,5.384232247,7.892094081,9.486312704,5.439466268,Control
7.478610125,5.272324469,6.424171013,8.442550769,6.196730592,5.967059784,5.430796457,5.425183376,11.30129057,6.0114515715,5.536406371,7.17517287233,4.850513484,11.10564356,7.471796476,5.352274105,7.2983490845,5.210049084,4.66791382,6.0827014726,9.764335427,9.225244272,9.238668129,5.224591417,7.3969158535,8.322898347,5.886008211,BRCA
7.31211405,5.3360874045,7.861042112,8.020912072,6.560107813,5.98664487,5.303973626,5.622938584,10.6623838,13.31266958,4.9430597495,6.94116491067,4.854508448,10.93055646,7.009118688,5.250782787,6.892680553,4.661658909,5.964751666,5.1624705018,9.6444656875,8.656086161,9.636706687,5.013139794,7.85338144,7.199527884,5.438884356,BRCA
7.686537513,5.104709621,7.842619252,8.053302965,6.227958227,5.648042042,6.086619917,5.732683853,11.55806922,8.503724095,5.405572051,6.57899015267,5.091711732,10.94417051,6.307228857,5.011910695,6.1855141455,4.946977895,5.287261033,5.6395278026,9.717226957,9.914968493,10.2712474,5.97637008,7.903924232,9.420287182,5.944279407,BRCA
6.954723045,5.6783286315,7.121484628,7.673046,10.01166444,6.018929689,5.451879748,5.291135005,11.13168997,6.912791493,5.055371676,7.72611715267,5.20340796,11.25727898,6.537252681,4.977292804,8.2746413025,5.091923254,4.805564985,5.337664602,11.7979114495,8.276055905,10.13811214,5.582714993,7.842402382,9.254793094,5.406852318,Control
6.984051329,5.341986333,7.506131263,7.8694722,7.693802512,5.992094983,5.457225929,5.593287468,10.5503671,10.133388387,5.057897256,7.31500335067,5.113545539,11.3989816,6.300763877,5.602298936,7.187060127,4.79000478,4.966489589,5.291147926,9.663585797,8.568565267,10.62352057,5.637792259,7.871263686,10.06320668,5.788040457,Control
6.935197837,5.4488891775,7.780213504,7.789437666,6.738636546,5.7012796,5.507962085,5.463533568,11.03869289,8.53871716,5.3426754645,7.316624831,4.828595108,11.71363365,6.541109169,4.933113756,7.3284529625,5.089171051,4.764223297,5.490384506,9.8470855375,8.937801287,9.77458988,5.309259193,8.7480356005,6.885455777,5.317422789,BRCA
6.951521137,5.308063998,7.871937763,7.378037131,6.930918032,6.043635001,5.461570507,4.966374225,10.47812272,11.72191125,5.4417573975,7.72856936133,4.461934912,11.47374394,7.137136477,5.586322838,6.7016055775,4.952579644,4.917683858,5.8127020372,9.757492651,8.826954486,10.38826519,5.069757204,7.711191308,9.247797668,5.203016352,BRCA
