@relation thedata

@attribute 1964 real
@attribute 1965 real
@attribute 1968 real
@attribute 2197 real
@attribute 27335 real
@attribute 3646 real
@attribute 3921 real
@attribute 6187 real
@attribute 6188 real
@attribute 6189 real
@attribute 6191 real
@attribute 6192 real
@attribute 6193 real
@attribute 6194 real
@attribute 6201 real
@attribute 6203 real
@attribute 6204 real
@attribute 6205 real
@attribute 6206 real
@attribute 6207 real
@attribute 6208 real
@attribute 6209 real
@attribute 6210 real
@attribute 6217 real
@attribute 6218 real
@attribute 6222 real
@attribute 6223 real
@attribute 6224 real
@attribute 6227 real
@attribute 6228 real
@attribute 6229 real
@attribute 6230 real
@attribute 6231 real
@attribute 6232 real
@attribute 6233 real
@attribute 6234 real
@attribute 6235 real
@attribute 8661 real
@attribute 8662 real
@attribute 8663 real
@attribute 8664 real
@attribute 8665 real
@attribute 8666 real
@attribute 8667 real
@attribute 8668 real
@attribute 8669 real
@attribute 8894 real
@attribute DependentVariable {BRCA,Control}

@data
7.491517143,9.04464761,12.54698855,14.39776555,12.42907592,14.31196895,10.2504743335,14.53140294,14.73750669,13.296521865,14.333989405,5.817758343,14.33556484,14.28777857,8.3671903135,14.46406102,14.68689306,14.83944618,15.09455403,13.97885659,14.38798195,10.802858728,13.37174968,14.76041434,13.789307945,13.69550076,14.07822256,13.7976418,10.81670392,12.50103733,10.894268005,14.92253006,8.839242791,14.79865761,13.680641355,11.83377967,13.6339928875,10.15199993,11.6039443047,6.537496642,13.0474759,12.96993872,12.79847895,12.71275703,12.33286882,8.84018084,8.011871746,Control
7.52201113033,9.062600116,12.41355925,14.49088818,12.12152875,14.40827668,10.146329171,14.59584327,14.89141327,13.723634955,14.292347115,5.166927545,14.5376428,14.277329135,7.082032104,14.68689306,14.75233937,14.75649535,15.01930687,14.02134875,14.59035656,10.4791884545,13.3027079533,14.81988894,13.4605581,14.24390588,14.3830917,14.11030021,11.03579075,12.0234322,10.766447547,14.5197155,9.431396543,14.91163964,13.697108495,12.90048482,13.60243687,10.55192478,11.8650927,6.529625831,13.53466038,12.90873886,13.14121392,12.63872105,11.92850738,8.44588509,8.206820391,BRCA
7.46186956433,8.757715954,12.58650212,14.68689306,12.45678569,14.41536846,10.4684346385,14.680525785,15.15765011,13.674886375,14.688771895,5.93905684,14.7141304,14.525874365,8.072835856,14.93557532,14.95604237,14.76041434,14.95162692,14.12251745,14.751665665,11.245975866,13.7136097233,14.77756767,13.861277655,14.14988842,14.36402692,14.19099059,11.29220962,12.5850741,11.240544044,15.13382676,9.419149102,14.48484431,13.765286815,12.88068749,13.719770805,10.43144566,12.26400334,6.8058617365,13.93643461,13.41290062,13.24869779,13.11936595,12.42339047,9.000521984,8.451284404,BRCA
7.40046677867,9.881236778,12.32689017,14.43231028,12.22228482,14.62098412,9.882382732,14.65953424,14.81650173,14.09924312,14.066865485,5.833276737,14.61638775,14.01633132,6.828156093,14.69079602,15.06752912,14.72963536,15.09455403,13.96600025,14.7142796,10.833132375,13.53029059,14.79865761,13.83205083,14.43740197,14.64660991,13.95070399,10.82495499,13.146867,10.4620465075,11.73219511,8.914451988,14.89547873,13.64515005,13.56248158,13.9782802975,10.82735881,12.24473759,7.3949852685,13.85125179,12.58650212,13.53768073,12.93836212,11.52315285,7.56044963,8.088365735,Control
7.92156834767,9.021133451,12.61750082,14.85146139,12.69358176,14.42029878,10.4448508545,14.50556589,15.06752912,13.99790725,14.8781703,5.989826604,14.91163964,14.629290115,7.501273195,15.09455403,14.81650173,14.79427981,14.20597115,14.36402692,14.899729645,10.983560639,13.60197935,14.12961268,13.894844035,14.2201119,14.6085367,14.48484431,11.29402062,12.78312415,10.784970193,15.11026186,9.8051737385,14.14988842,13.74617703,13.06629278,13.502602855,10.64364002,12.0634002333,6.4189299225,13.43573605,13.47298527,13.41082367,13.13613647,12.22131078,9.098072313,8.132963791,BRCA
7.66904226933,9.234303192,12.56435203,13.70458133,11.82768023,14.39263877,10.0969501995,14.63618546,14.5376428,13.677992005,14.52995559,5.797863326,14.43231028,14.408070605,6.667889515,14.29545473,14.76343364,14.53323483,15.00532806,13.52808598,14.22847167,10.0771614655,12.3484049467,14.74286599,13.05018086,13.35514394,14.04737959,13.64744159,8.99655902,12.62461163,10.250568292,14.80269307,8.706601069,14.8574397,13.206743185,11.51840741,12.7402358212,10.49374317,12.5611553533,6.5841513705,13.53466038,13.0689563,12.69961914,12.6048903,12.12322914,9.768664506,8.582933341,BRCA
7.812048658,10.27966894,11.89363345,14.2201119,11.24502395,14.81202536,10.1364097915,14.167034365,14.81988894,14.099065465,13.354369595,5.682019293,14.29545473,13.397046395,5.8780288995,14.23655206,14.97508152,13.78304532,14.91431039,13.58717103,14.833283845,10.2873022255,13.23063829,14.79865761,13.475049795,14.63577141,14.50260592,12.06588572,10.92148787,12.17272761,9.8334458855,7.870921229,9.286039329,14.76041434,13.023498525,13.80946823,14.0088453075,11.32464765,11.7620672513,8.469538924,13.46667112,11.81348272,13.08056861,11.729846,11.11355354,7.170228349,7.481256805,BRCA
7.684917063,8.729128822,12.82346582,14.77272825,12.3398473,14.29890208,10.4522655585,14.79429825,15.20465253,13.84660278,14.92983043,5.115211455,14.70692253,14.48710829,8.299274479,15.15765011,14.89141327,14.78933242,14.65913186,14.11502538,14.78945957,10.7429406095,13.8266030633,14.3830917,13.868128,14.19099059,14.46865842,13.90556143,11.41782366,12.72627038,11.4905999285,15.01930687,8.8958862165,14.600699,13.69375863,12.34365079,13.74948887,10.02146624,11.4081303207,6.5946992415,13.42972648,13.35753005,13.0381217,12.89557628,12.08048622,8.833563055,7.476667486,Control
7.66442430367,8.943233566,12.62461163,14.64352734,12.92639149,14.72492149,10.212736975,14.551965195,14.87065828,13.868957515,14.98307943,5.59156816,14.72963536,14.506684105,8.322835621,15.11026186,14.7141304,14.89141327,14.70323068,14.57543497,14.92190928,11.4341691735,13.6665179633,14.33042537,13.693872405,14.09890062,14.64104867,14.18524172,11.06412655,13.03029388,11.470756209,14.85146139,9.9101121475,14.29890208,13.85771228,12.86518429,13.5659501975,10.68061031,12.4028457067,6.9115197875,13.68255687,13.57316849,13.50983997,13.15952927,12.5506675,9.282324614,8.36573313,BRCA
7.911450455,9.041249229,12.52393564,14.39776555,12.47906411,14.36769016,10.294883467,14.654804885,14.95604237,13.940091655,14.414777965,5.388199225,14.53323483,14.439438795,7.7921308595,14.57543497,14.8317704,14.73750669,15.00968454,14.11030021,14.53815348,11.0375990315,13.3633085433,14.70026172,13.83685094,14.1393823,14.35837925,14.12961268,10.95619846,12.76703924,10.968513153,14.99189227,9.645905693,14.73243538,13.80406666,13.19114487,13.7775477425,10.13612637,11.9663518167,6.7969048565,13.34981755,12.7295762,13.23871974,12.66642048,12.15346979,8.279449386,7.620111894,BRCA
