ID	2747	64902	9945	1373	27165	18	159	158	2746	2744	435	259307	2875	2673	84706	8528	122622	91703	2571	2572	2806	189	2752	56954	2805	790	8659	445	7915	440	5471	443	DependentVariable
Instance1	7.436838787	5.862210374	9.221031882	8.143716264	5.69462499	5.38116950267	9.5476228025	11.70928645	12.60350703	9.170414035	5.83683751267	5.3139324875	9.335234645	9.9380304435	11.7416567	6.211149067	7.00916001233	5.158974417	5.38304633667	5.784118687	10.97008092	6.299304767	6.847425386	9.786939812	9.713172168	8.449314912	9.4251470335	9.37872430833	7.8745592845	8.373101223	8.620110863	8.215073211	Control
Instance2	7.060293663	5.636777762	8.663425681	7.287899629	5.939855093	5.576464594	9.6123935465	11.59532989	12.26503342	9.182904002	6.53944862067	5.3868104	8.59117741	9.34545895	10.66176054	5.86328205133	6.77223276467	5.229406468	5.555093649	5.641409649	11.37383049	5.823883874	6.340358172	9.792209165	9.446732392	8.559186941	7.7223137215	9.09953169133	7.8522675325	8.344108418	8.290227544	7.109650796	BRCA
Instance3	7.610602489	5.084076226	7.009271932	8.409816389	6.6881603085	5.47866963533	9.7215995865	12.23463043	12.46516723	8.632641862	5.98821381033	5.5205412945	8.119798553	9.29320491	10.78342824	5.819707848	6.368644342	5.595452376	5.46421904767	5.149148835	11.74755745	5.346612346	6.09350492933	9.978374813	9.940893908	9.537820753	7.61603788025	8.95238432333	7.988364494	8.681968469	9.23553628	5.911578492	BRCA
Instance4	7.461604526	5.535750687	7.497774262	7.885118455	6.1309256235	5.55787428767	8.856270335	12.55220564	12.32574401	9.160338576	6.36214884633	6.1854901165	9.022313104	9.2711507935	11.05900997	5.41386779067	6.515340765	5.739855695	5.54813415467	5.850631456	11.92672973	6.281471652	5.982867673	9.90843808	10.41429442	9.358629843	8.46760880925	8.914729651	7.499128527	8.885774078	9.075560123	6.16330311	Control
Instance5	7.260334165	5.612950486	7.738600872	6.87375515	6.0827064	5.70309750667	9.7284822005	11.78113439	12.52393564	8.660014728	6.114856599	5.8195336145	8.747589748	10.2137771165	10.35208789	6.00241781533	6.829527269	5.607338636	5.30357325	5.651059765	11.56729791	5.878916116	6.25608953533	9.910005977	9.570406539	8.493376264	7.51554119025	9.52809618633	8.203099012	8.841565019	8.962217233	6.499092958	BRCA
Instance6	7.518655368	4.836948221	9.604535218	7.456952162	6.4528711575	5.51417857267	10.562819107	11.69454954	13.08801473	9.003350039	5.974517017	6.2042813735	8.058060912	10.046922905	10.2853274	6.10535258233	7.06778512333	5.37052286	5.448684967	5.703219255	11.58210918	5.625863148	6.86925192467	9.592513625	10.20351353	8.155856887	7.8936350345	9.076458916	8.18123385	8.7349808115	8.876809389	6.914268889	BRCA
Instance7	6.776041872	4.726030068	8.010809379	8.442136029	5.73579942	5.851328677	8.988691264	11.90579323	11.7646924	9.145690907	5.881244417	5.2726163765	8.143282598	9.1164030025	10.68519142	5.0667107	6.844981819	5.587223392	5.79339804	6.046584505	11.50616141	6.365014999	5.78809716133	9.822443813	10.3362558	9.011158142	7.90536199975	8.28704044033	7.502647819	9.3170075525	7.585190017	5.219373048	BRCA
Instance8	7.352023833	5.313437469	9.578250555	7.263459649	5.882841981	5.58262949933	9.8667531445	12.10010062	12.46187723	8.939837117	5.579635892	5.680256454	7.836604479	9.725809339	10.31037169	5.97049618367	6.66753475033	5.770704357	5.31003055167	5.820441464	11.31514972	6.176228636	7.01721220833	10.28488803	9.869532589	8.488313278	7.86128788125	8.62891855233	7.818463286	8.6209947135	8.573761846	7.953456048	Control
Instance9	7.189481445	5.520745364	8.240840365	7.997717391	6.375538511	5.77540273467	10.0259546485	12.28491381	12.55220564	8.727649179	6.26025557633	6.08065771	7.825119583	9.6142033185	10.01191249	5.89527711833	6.42085294333	5.784053233	5.29941082167	5.821079567	11.70655442	6.092128797	6.22851342967	10.12484543	10.29228169	8.867071067	8.279317676	9.17265771767	8.232125413	8.817805313	9.401680126	6.061674282	BRCA
Instance10	7.344298405	5.328236218	7.178916585	7.895849595	6.4923185605	5.54244468267	9.249646524	11.66204091	13.07861622	8.884385094	6.00934849367	5.6441686615	8.816600606	9.3968847235	11.29724747	5.80908172033	6.76847749733	5.871604195	5.29248360533	5.921252584	12.01315176	6.382499203	6.17874161233	9.84355253	9.589230319	8.570644248	9.359944147	8.96241375	8.225429243	8.937979761	8.551228685	6.875107712	BRCA
Instance11	7.856660706	4.567069008	9.559215089	7.706394352	5.887125938	5.46368062267	8.949406684	11.97142151	12.61090263	9.272280513	6.522050235	6.1814092435	9.106458987	8.911960349	11.00370783	5.52711569133	6.76343131833	6.036729286	5.39489482267	5.662640784	11.50362218	6.590404128	5.94488913233	10.33896506	9.98368522	9.0607102	9.150107904	9.15629376133	7.8351804095	9.3537623735	8.694463343	7.519284627	BRCA
Instance12	7.043905282	4.853011634	8.709412238	7.655604287	5.72459314	5.72402898633	9.799297095	11.68597092	12.66507944	9.119292054	6.20883152767	5.430295187	8.369773038	9.7916942555	11.2564654	5.75943133167	6.60655091067	5.251351034	5.59080149	5.613687265	11.18215551	5.709849771	6.91717498833	10.32139858	10.36525103	8.021647846	8.97581802725	9.333983926	8.0140720395	8.742100967	8.45863333	7.223738985	Control
