@relation thedata

@attribute 10720 real
@attribute 10941 real
@attribute 1109 real
@attribute 1312 real
@attribute 1543 real
@attribute 1545 real
@attribute 1551 real
@attribute 1576 real
@attribute 1577 real
@attribute 1581 real
@attribute 1583 real
@attribute 1584 real
@attribute 1585 real
@attribute 1586 real
@attribute 1588 real
@attribute 1589 real
@attribute 1645 real
@attribute 1646 real
@attribute 3283 real
@attribute 3284 real
@attribute 3290 real
@attribute 3291 real
@attribute 3292 real
@attribute 3293 real
@attribute 3294 real
@attribute 412 real
@attribute 51144 real
@attribute 51478 real
@attribute 54490 real
@attribute 54575 real
@attribute 54576 real
@attribute 54577 real
@attribute 54578 real
@attribute 54579 real
@attribute 54600 real
@attribute 54657 real
@attribute 54658 real
@attribute 54659 real
@attribute 64816 real
@attribute 6715 real
@attribute 6716 real
@attribute 6718 real
@attribute 6783 real
@attribute 6820 real
@attribute 7363 real
@attribute 7364 real
@attribute 7365 real
@attribute 7366 real
@attribute 7367 real
@attribute 7923 real
@attribute 79644 real
@attribute 79799 real
@attribute 8630 real
@attribute 8644 real
@attribute 9420 real
@attribute DependentVariable {BRCA,Control}

@data
6.6481657865,5.564691589,5.519645097,10.199895182,5.821079567,9.562295439,5.264922245,5.081735071,6.026142315,5.019047182,7.930502474,4.7654509215,5.626155278,5.499695432,5.15709054133,6.572931815,5.077255017,7.0794282458,5.551986008,5.162704759,9.65777508967,7.247787805,7.224100886,5.651059765,7.27123219,7.209651052,11.82770003,12.06237178,5.745513828,4.989378887,5.316518,5.692518737,5.34774693033,5.533260613,5.048771569,4.917445181,4.845504173,5.73309076,5.1516093565,7.623042188,5.968558082,9.815758405,5.468103682,7.39423259233,6.04208923,7.321999924,5.057462456,4.938324343,5.67688054775,9.708558488,5.37574431,5.218245385,5.991017948,13.78053775,5.927073476,Control
7.937870279,5.301232095,5.911818141,9.9770209485,8.886611969,9.503697124,5.501288856,5.119990277,6.015254046,5.862210374,7.070285,4.8854495585,5.59724157,5.214524337,5.43543742333,6.379383241,4.696429422,6.9267507466,5.282820861,5.663779561,7.068728997,6.764178682,6.331817721,6.190817922,7.950032561,6.800385888,11.913543025,13.42222975,6.918449222,4.255773643,5.34066129,5.789606185,4.89087691633,4.569042829,5.420053896,5.442455259,4.95444207,5.773212576,5.3758344395,6.949333936,5.549369797,10.1462129605,5.335400404,7.080219934,4.716563977,9.04325120967,5.346080415,5.1072423805,5.59827444375,10.19459101,6.040460285,5.033900371,5.796955404,12.8554292,5.394043544,BRCA
5.9412922905,5.932280461,6.040021845,10.598358996,4.844123557,9.321038041,5.245658467,4.806596392,5.190428437,5.995434345,7.580562199,4.922826352,5.90202005,5.442952823,5.38759982333,6.362211787,4.753299027,5.7849735652,5.707228834,5.270913157,5.702404908,7.438170414,6.389313513,5.403788568,9.603918899,6.023760589,11.93555904,12.86342169,5.001702332,4.277092785,5.275017526,4.689178439,5.20032288667,5.629656239,5.535750687,5.664561948,5.301049141,5.568952692,4.715631588,8.537035018,5.48205062,9.7177441945,5.823119603,7.235542349,4.95623024,7.92662426633,4.428384769,5.8333037745,6.06882033,10.31612343,5.434470814,4.7157349535,5.527329405,10.86064494,5.383800396,BRCA
6.1921094465,5.062004299,6.006528756,9.758461361,7.345363384,10.09354338,5.402254249,5.584068992,5.203995173,6.340211188,8.063854951,4.3905643155,6.381331506,5.574564199,5.510095752,7.080127653,4.876039551,6.6181491636,5.273526379,5.677798027,5.65916861833,7.253991924,7.036891003,5.927488357,9.000641691,6.360369215,11.334466695,13.52808598,5.460424154,4.845002284,5.693773551,4.681187829,5.147294809,4.851263383,5.62000808,4.832651143,5.464840793,5.490579154,5.1616151485,9.052976298,5.91205775,10.085094788,5.402254249,7.10305779833,4.8851370905,7.682566087,4.978894894,4.908600668,6.086641113,10.28695653,4.868898162,4.9021860855,5.470383322,12.50103733,5.233822166,Control
5.8896958225,5.518229233,5.572595075,10.292968008,6.454345052,8.8794769,5.588723066,5.197326058,5.567432314,5.415666779,7.910194676,5.3791610015,5.687908393,5.810386064,5.59586093667,6.603630517,5.166927545,6.3932367372,5.518229233,5.406342144,6.98727481867,8.083640375,7.086616932,5.577890454,10.57174817,6.210628123,11.734859075,13.00468928,5.185877691,5.022158329,4.694341356,4.980952113,4.743827314,6.02414858,4.854508448,5.409060987,4.708756286,5.902080364,5.041888608,6.900447596,5.470546015,9.820262273,5.524354632,7.49678391567,5.519435083,6.35246380333,5.671725924,5.2005104115,5.3441354815,9.889405521,6.407145055,4.401800999,5.6098519,11.91738897,5.744774144,BRCA
10.6100650295,5.79064906,6.052356793,9.973521814,5.743764871,9.242996091,5.028139516,5.342529189,6.100931012,5.743764871,7.22451093,5.0492724515,5.823119603,5.577437325,5.10312416833,5.770572224,5.591867317,7.0057374884,5.588872948,5.214330049,7.78200752633,6.725540512,6.270627633,5.831124321,7.830200053,6.672712173,12.0985541,12.21133327,10.67589996,4.769786816,5.67695229,4.774802056,5.01757128133,5.688048317,5.291135005,5.186075849,4.63288196,5.591867317,4.9272180185,7.539955806,5.572291894,10.3744482785,5.268482349,7.102286024,5.5416179735,10.0165137127,6.729624567,5.3544884755,5.24320125275,9.439779534,6.109888752,4.847091857,6.750811228,12.57220763,5.413806667,BRCA
10.034899063,5.98687237,5.850631456,9.369944756,5.981059894,10.55561035,5.072332275,4.649642211,5.646674804,5.836246857,8.641348343,5.1441596575,5.564234295,5.614644516,5.64127889433,6.742953157,4.574191652,6.1647024626,4.73770262,5.346080415,5.747225222,8.809664544,6.769246515,5.455665247,7.269082544,6.612246051,11.531619695,13.69061737,9.510754836,4.189689145,5.51191964,5.129706745,5.09458734533,4.276931831,5.057462456,4.547045185,5.229406468,5.197326058,5.4155921825,9.570249982,5.567888595,10.0252553475,5.744303238,7.35432209967,5.387177849,9.33237919567,5.391983545,5.1462816115,5.4831119085,9.14242692,5.410418489,4.800901095,5.42627419,12.89900003,5.544509535,BRCA
5.402536842,5.341462114,5.805041697,10.7434536345,5.859479655,10.31838495,4.846005888,5.364932404,5.517599514,5.808263565,7.359993557,4.882252345,5.859479655,5.865554662,5.60759746067,6.240415109,4.693784032,6.661811901,5.305616048,5.198308745,8.06822202767,7.310024508,7.126784799,5.388371455,8.77081346,6.769907663,11.44760216,11.74803988,5.167931151,5.384232247,5.167931151,5.536217098,5.15894364167,4.937828406,4.348143714,4.840729162,4.867045482,5.384232247,5.2353643615,7.620478507,5.167931151,9.394676109,5.585722157,7.32141161633,5.5091785575,6.291945442,5.265109838,6.692204361,6.5300702935,10.00927618,6.028906829,4.96422506,6.446550384,12.34859823,5.439466268,Control
9.5456637855,5.0188247,5.967059784,10.5473334345,5.167931151,11.19831015,5.686368332,5.835425946,6.274732813,5.430796457,7.985615876,5.0970489625,6.089376987,5.39361462,5.40751594967,6.271841744,4.375364145,5.8277763424,5.488973851,5.641409649,5.803413096,7.505535937,6.688464074,5.968442884,8.686046221,6.397679445,11.877638085,12.26010515,8.923536316,4.528802152,4.749683847,4.347200447,5.13439949667,5.582188094,5.221694654,5.298485344,5.011910695,5.766072507,5.3230765195,8.736318314,5.17573541,9.764335427,5.596496342,7.47034702767,5.2415956165,9.392384844,5.836814906,5.208036869,5.400347364,10.68266132,6.034089818,4.6728027165,5.604153814,10.89668076,5.886008211,BRCA
7.292380092,5.2209212,5.98664487,10.1931478575,5.856743757,8.197955209,5.787909903,4.854508448,5.970169897,5.303973626,7.921991334,5.4576375785,6.472573571,5.495064524,5.48548137333,6.627610941,4.607083101,7.2922838314,5.546594509,5.159075364,8.22060742933,7.076818602,7.550383421,6.60637236,6.609773888,7.187503325,11.77448187,13.36098494,6.730983353,4.618426738,4.656520763,4.799361019,4.71463742167,5.557663769,4.790265497,4.73770262,4.958159726,4.981865493,5.4861945155,7.564418422,5.408721412,9.6444656875,5.476390801,7.61152564367,5.5971585195,8.53381039433,5.888750097,6.387905425,6.45814549825,10.27226269,5.689586587,5.034665276,5.800260087,13.47298527,5.438884356,BRCA
