@relation thedata

@attribute 10411 real
@attribute 107 real
@attribute 11261 real
@attribute 114 real
@attribute 1387 real
@attribute 163688 real
@attribute 2033 real
@attribute 23236 real
@attribute 27330 real
@attribute 2776 real
@attribute 2890 real
@attribute 2891 real
@attribute 2902 real
@attribute 2903 real
@attribute 2904 real
@attribute 2905 real
@attribute 2906 real
@attribute 2911 real
@attribute 2915 real
@attribute 3265 real
@attribute 369 real
@attribute 3708 real
@attribute 3709 real
@attribute 3710 real
@attribute 3845 real
@attribute 4659 real
@attribute 468 real
@attribute 4893 real
@attribute 51806 real
@attribute 5330 real
@attribute 5331 real
@attribute 5332 real
@attribute 5499 real
@attribute 5500 real
@attribute 5501 real
@attribute 5502 real
@attribute 5530 real
@attribute 5532 real
@attribute 5533 real
@attribute 5534 real
@attribute 5535 real
@attribute 5566 real
@attribute 5567 real
@attribute 5568 real
@attribute 5578 real
@attribute 5579 real
@attribute 5582 real
@attribute 5594 real
@attribute 5595 real
@attribute 5604 real
@attribute 5605 real
@attribute 5613 real
@attribute 5894 real
@attribute 5906 real
@attribute 5908 real
@attribute 6195 real
@attribute 6196 real
@attribute 6197 real
@attribute 63928 real
@attribute 673 real
@attribute 775 real
@attribute 801 real
@attribute 805 real
@attribute 808 real
@attribute 810 real
@attribute 814 real
@attribute 815 real
@attribute 816 real
@attribute 817 real
@attribute 818 real
@attribute DependentVariable {BRCA,Control}

@data
9.235386689,8.2081635635,8.635084252,5.645450388,9.174412855,5.118745153,9.886672502,6.8772890085,7.366412106,9.668318219,5.716930037,6.607852271,6.288309337,5.73309076,5.765475903,5.84424205,5.451055498,5.2209212,5.631985502,7.4423513115,10.17550624,10.99802289,9.844635599,11.35799469,6.8286116825,6.899843656,10.153974076,8.74899041,9.095911979,7.476788978,5.876585242,6.9141724395,9.5855365545,8.643298361,12.32080063,12.04611629,7.181967161,11.8054921,9.584314798,11.95847307,5.326799101,6.36946717,5.4829326402,5.48205062,8.688181342,6.21136540967,5.313256056,8.27215776867,11.634256725,10.49127719,11.44994835,8.2742311235,10.11570732,7.005431822,6.582741757,6.75911088,7.65857270567,6.52702968625,5.580455499,6.513534664,7.11619091,13.11037161,13.59313376,12.33572539,7.680836167,5.12403454,4.967873236,6.3931703428,6.71763387475,8.533227316,Control
8.739072693,6.3425008425,8.66542575,5.65593226,9.719195242,5.98658799,10.41990782,6.8906417385,6.20906888,8.930930318,5.301232095,6.469157955,6.079541724,5.420053896,5.287261033,5.934994833,5.066101302,5.277995204,4.856999696,7.8897640555,10.06599536,10.75503384,9.525335383,12.08864757,6.4300637355,7.207676014,9.57262420067,8.474680533,6.451092084,7.453231788,6.036839159,7.100683958,9.3156588355,8.8289253025,12.28120423,10.727993,7.328338472,11.54241539,9.028818534,11.93616504,4.255773643,6.0929297895,5.5428379012,5.804719114,9.433471275,6.479820979,5.115003321,7.85669691467,11.27623323,9.559434991,11.52169626,8.137035193,10.34726733,6.434568757,6.355006684,6.746992115,7.51923145167,6.64235424625,6.026363672,5.99820185,6.780445033,12.75620088,13.5121695,12.47764072,7.335080175,5.020239923,5.03365563,6.9553527598,6.8818081325,8.715636586,BRCA
8.061480724,7.5711783515,8.278880489,6.0290173,9.441990946,5.757030749,9.740911174,6.771545835,6.385953509,9.213384421,5.633294061,5.777427112,6.23418041267,6.089429956,5.469732364,5.79507289,5.387682411,4.95444207,5.93905684,7.856102429,10.30533535,11.137683,10.74066222,12.01135666,6.720661627,6.986414135,9.80783744233,8.690112479,8.606850376,7.462177348,5.98687237,6.8982166245,9.882436552,8.7021055945,12.38431166,9.759147978,7.238491368,11.24175993,8.789730168,11.74088764,4.77953729,5.9034588485,5.4641368762,5.527329405,8.48506563,5.889051372,5.434470814,8.11094053067,11.198356615,9.65317699,11.72288448,9.1235010805,10.45388564,6.699751273,6.466000385,7.136685014,7.197314467,6.2422901355,5.379561399,6.84843868,6.671085011,12.13760287,13.47944813,12.54827894,10.35235277,4.850435434,5.935819934,8.109608713,6.405921396,8.2596790005,BRCA
9.674898929,7.0913602235,8.829493729,5.876032641,9.0089772035,6.492979261,9.510601559,7.226006717,5.838328613,7.435526765,5.123512303,7.10371039,6.45691638667,5.327517838,4.645326303,6.340211188,4.736756024,4.707928514,5.763551833,8.398114105,10.35265071,10.00164081,9.439182162,11.97218475,6.243898751,6.777620669,9.12714489533,8.847629866,9.664661106,7.601141445,6.1476177,7.2768077175,9.0515971275,8.09322379,11.76334944,10.45072699,6.422323287,11.56978693,8.74769044,11.09993968,4.978894894,6.323322532,5.1156792046,5.655216748,9.211511834,6.312672729,5.36790503,7.98209816267,11.274247985,9.580847928,11.42772678,9.2078924525,10.09500831,5.6556447465,6.3700012095,7.5978930125,6.97936211167,6.33404855075,5.229406468,6.723630657,6.621982704,12.20536419,13.35270561,12.76004735,9.938977155,4.9603811275,5.198898037,8.725184586,6.1456479,7.7082282335,Control
7.997322226,7.084991265,9.132211242,5.824138541,9.6688997565,4.93618003,10.27748534,6.848015995,6.471354636,9.924501194,5.692518737,6.060539901,6.003456948,5.588723066,5.518229233,5.778741634,5.206341637,4.948613986,4.850263431,7.697637374,10.14697308,10.864964,9.689574849,11.58766984,6.8833304115,7.487842294,9.608528428,8.770532686,6.345898074,6.773076963,5.887775801,6.6548276045,9.717115444,8.772392971,12.25537394,11.33541843,7.7125980515,11.00452968,9.157246578,11.83833739,4.801431976,6.52394041,5.466218321,6.407145055,8.977409535,7.50900425433,5.333791561,7.82991936767,11.21839075,9.966174165,11.8471671,8.5157239865,10.22872886,6.4308542,6.499527711,7.021079646,7.28840672033,6.76922237325,5.458948931,6.818713579,6.262194115,12.34682957,13.37889296,12.45248586,7.089109133,4.957250341,5.062220221,6.9100805066,7.045711086,8.3252183155,BRCA
8.241317194,6.50402659,8.695716467,6.352798794,9.509274839,5.660645761,9.934575887,6.727722821,7.104889949,10.54993411,5.665201768,5.684966848,6.12810835567,5.70895367,4.569953748,6.064587171,4.512547026,5.186075849,5.79064906,7.3388634815,10.77106872,11.45443311,9.814991395,12.06588572,7.019536675,8.005541922,10.5461605397,9.445243095,5.930448326,7.658927519,5.94872421,6.9752829565,10.080564477,8.845409366,12.55486108,10.61404749,7.745704965,11.73619062,9.836169177,12.08138533,5.048989481,5.9174340255,5.6759717936,5.625863148,8.467749328,6.98490046733,4.940884687,8.18650002,11.07534033,10.23164154,11.5852209,8.0343196725,10.624983,7.3002942325,6.8410633585,7.5246001185,7.361977291,7.19245125,5.749206573,6.520033725,6.244178877,13.11510467,13.71343219,12.66384721,5.996451597,4.630667642,5.093825554,6.3166102882,7.03324440275,8.4054699995,BRCA
9.018235741,6.201503818,7.344808806,5.779661087,9.006275549,5.548136995,10.17277787,7.4861886795,6.745442819,7.39744174,5.396614413,8.097585943,6.32230220733,5.832707292,5.188253784,5.472984221,5.072332275,5.009001383,5.66903474,7.9742866725,10.66411416,9.557684409,7.511675823,12.23463043,6.6232326,6.393867165,8.68348982967,9.358008891,9.276724119,6.111350232,5.48205062,6.945356743,8.7738660505,7.6550504095,11.42710081,8.35098461,6.5896621115,11.41213066,7.747456426,11.2413041,5.077041333,6.330484187,5.5322651396,6.430289978,9.024558716,6.81582852467,5.832707292,8.451561107,11.151396135,8.977681421,11.16076662,8.079817226,9.961088297,7.2132301705,7.062352436,6.923040761,7.46619594767,6.5621458705,5.183299167,6.949071249,6.679695168,12.34260121,13.29267684,12.61750082,10.40794251,5.102706884,5.754494213,9.356122659,6.55286557675,7.7168387545,BRCA
7.568927286,7.6188571805,8.7216983,5.862458365,8.7304792815,5.655646098,9.744439113,6.719520862,7.289814009,9.665460782,4.93252334,5.682019293,6.325284749,5.54798282,5.185481295,6.498295252,4.93252334,5.286521953,4.93252334,7.7095138065,10.26119615,10.66388964,9.583290187,11.37383049,7.0670465565,7.472185401,10.3256012193,8.993477034,9.164543144,6.898937271,6.202570157,6.5861642735,9.8100499835,8.1397640245,12.22401684,10.04198116,7.480559564,11.39154181,9.508320259,11.67233485,4.963487128,5.9718598575,5.3094441946,5.233822166,8.419813926,6.87117032933,5.495064524,8.171538624,11.40345044,10.00443156,11.28922369,8.116304847,10.12277013,6.7375606535,6.2456860685,6.824884907,7.49696018667,6.575528975,5.064162066,6.880413479,6.842353879,12.57155186,13.44200721,12.74796537,9.572823899,4.781675766,5.619127766,7.580338669,6.064234489,8.729778512,Control
8.057817296,8.092918242,8.761435816,5.813403636,9.1075112315,5.375570566,9.125801619,6.995146243,6.640032041,9.303998235,5.422242462,6.672888927,6.57114183333,6.068139401,5.511603435,6.179665925,5.172938736,5.438135838,5.596496342,7.94496816,10.30631839,10.78521972,10.67301333,11.74966846,6.5497902615,7.28012379,10.227199369,8.769533015,9.148261195,7.321975714,5.352274105,7.024481502,10.06551331,8.4208763975,12.63995684,9.445501764,7.5245411315,10.77439198,9.212004536,11.67233485,5.391468086,6.3825279205,5.291675395,5.844493149,8.419971893,6.13414385767,5.606746643,7.91861634733,10.99057863,9.452231522,11.82274022,9.095386554,9.9831294,6.6237057305,6.516538676,7.242305488,6.894570391,6.443440984,5.668822064,6.894518054,6.535201976,12.3148028,13.70458133,12.4865699,8.367000914,4.710335668,5.662925563,7.4789113804,6.4879534175,8.057131251,BRCA
8.457730865,7.599297253,8.594083007,5.659004925,9.532397347,5.442621133,9.827664684,6.432879816,6.268944869,8.352640608,4.233626673,7.038153897,6.591071042,5.538702079,5.190230876,6.031666056,4.049108953,4.35562555,5.312893162,8.148239231,10.44466839,11.44285036,9.67905828,11.77144213,6.1985753455,6.764278222,9.523841594,8.271931157,8.922124336,7.469827229,5.586623085,7.1430110225,9.747962555,8.873365133,11.96551025,12.14395163,7.3344224225,11.36752411,9.015945424,11.71789713,4.441438586,6.3457281585,5.3589494338,5.913135501,8.01888328,6.39658479233,5.139972076,7.74245236133,11.551814785,9.69476318,11.64681981,8.399665163,10.28660429,6.458550254,6.496219087,6.8978346455,6.81342298733,6.26822091,5.431298057,6.877072814,6.666902575,12.71572616,13.30755735,12.57561022,9.331471853,4.9414115465,4.482788153,7.9155472442,6.59589787525,8.3082798515,BRCA
