@relation thedata

@attribute 1147 real
@attribute 207 real
@attribute 2308 real
@attribute 2309 real
@attribute 2688 real
@attribute 2690 real
@attribute 3320 real
@attribute 3551 real
@attribute 356 real
@attribute 4303 real
@attribute 4790 real
@attribute 4792 real
@attribute 5170 real
@attribute 5290 real
@attribute 5294 real
@attribute 5295 real
@attribute 5515 real
@attribute 572 real
@attribute 5970 real
@attribute 7533 real
@attribute 842 real
@attribute 8517 real
@attribute DependentVariable {BRCA,Control}

@data
9.004698798,9.746089281,11.59105257,8.65713445933,4.9401627535,11.24231983,11.0093826917,7.1307406325,5.714184545,9.212004536,12.34771002,15.00532806,7.1007852408,6.685313404,6.299304767,7.0703331436,11.688477345,7.546352606,8.69026092,13.24583793,7.924560768,10.2072374,Control
8.974945912,9.68028616833,10.97151861,8.61943654367,5.5583015695,10.80325148,11.030777654,7.787354885,6.1044474,9.251175332,12.34109771,13.91249272,7.4312568682,7.098719371,7.09127967,7.6111323212,11.725137905,7.48196166867,8.669346719,13.03973478,7.7506065195,10.39985497,BRCA
8.986710369,9.69256516467,11.02198648,8.11911474133,5.161659393,9.676966886,11.1437694107,7.4532495275,6.144867877,8.82901003,12.51631937,14.51605303,7.2445861642,6.212526175,6.323194968,7.448654099,11.639330205,7.496409352,9.073024297,12.90606669,8.1061247785,10.04121461,BRCA
8.742495656,9.98949733167,10.90909074,7.89001782067,5.015434408,11.09488611,10.6939344647,7.4011955135,6.331145921,10.06056798,12.26985874,14.35403309,6.9971733014,5.584068992,6.299945779,7.6522265588,11.80875598,7.166098701,7.67194989,12.89668817,7.389583129,10.50969117,Control
8.684828488,9.506100771,10.63211394,8.43841214667,4.993587548,10.81962051,11.2182175033,7.5245616955,6.16425895,9.04746554,12.37603319,13.73047547,7.3395574808,7.405441727,7.300126299,7.950268865,11.458095575,7.33013335533,9.268495874,12.87894279,7.637528126,9.78258103,BRCA
9.33884841,9.688092646,11.37439849,8.37121987433,5.1560254935,11.03306523,11.374489615,7.5689740425,5.609260937,8.339762197,12.87483063,13.77694807,7.3955993004,7.460253403,6.725540512,7.4183463498,12.40345346,6.96976629,9.673230059,13.51771248,8.5459358775,10.54285319,BRCA
8.17437786,10.0480993307,11.02648906,8.43731510867,4.7891483805,9.946226836,10.4929184813,7.550193916,5.032113243,9.180127421,12.52075501,15.02279519,7.3536038904,6.662423158,7.476910459,8.3350079456,12.072677105,6.54175895867,7.262755244,12.11865571,6.9179834015,10.10111594,BRCA
8.824657385,9.436876068,11.33417845,8.18545797233,5.3029978645,10.30423184,10.7716702567,7.4520617975,5.582112807,8.872275583,12.20475003,14.22362506,7.0445753338,6.020263967,6.726903149,7.757716558,11.932399345,7.84441516067,9.194320487,13.15586736,8.3320404855,10.4077487,Control
8.659854224,9.58057105933,10.66032156,8.21589430233,5.3465564695,10.67333141,11.3126835957,7.530604743,6.069858551,8.632069254,12.42766909,14.37348409,7.1591884674,7.205282841,6.426437217,7.6719006758,11.55756824,7.80894971567,9.012625324,13.13820464,7.7930385845,9.861979055,BRCA
8.645245129,9.75364579767,10.90549628,8.183937528,4.844160348,11.34089896,10.9901063043,7.6541093245,5.434637608,9.629630344,12.09766027,13.54172225,7.3339069032,7.606018576,6.76752611,7.3060563712,11.593713005,7.79374473733,8.33670864,12.77284039,7.6247556515,10.22738163,BRCA
8.670710349,9.592833039,11.12353964,7.53120278467,5.376043373,10.53118676,10.8381684493,7.53597724,6.110410879,9.030874784,12.2590489,13.43573605,6.4696508394,6.657000843,6.847562044,6.9076540764,11.25085226,8.04104994467,8.687254178,13.27043919,8.198860636,10.6073352,BRCA
8.807082076,9.66262953467,11.03306523,8.066354955,5.1543811595,11.08411429,11.034315424,7.4402145165,5.613687265,9.043410897,12.38541089,14.39776555,7.150559257,6.822223857,6.739109305,7.509195938,11.817863435,7.56627437633,8.875473781,13.19781415,7.692121379,10.68519142,Control
9.155780297,9.935713008,11.53060643,8.55696415067,5.323379751,11.56454026,10.7678923323,7.3412959795,5.647898183,8.575786096,12.24889125,14.10537413,7.2121520398,6.672535396,6.521369295,7.3656981534,11.68167441,7.59129591867,8.978067698,13.03258307,7.8122716905,10.55664043,Control
9.260861404,10.2127518167,11.71011775,8.37001555233,5.6971127665,9.075466531,10.9296346363,7.5914915015,5.601853411,9.919347951,12.29388695,14.13459319,6.5523992454,4.904979261,5.09930704,7.1534205814,11.736023615,7.66188804867,9.226388785,13.58717103,8.7262881565,10.78787423,BRCA
9.241179451,10.3303371883,10.80422,8.055316251,5.4444316465,9.499477756,10.482276888,7.946295334,5.964982644,8.417938067,12.41257918,13.98232431,6.8318493608,5.472171943,6.107798352,7.0222287176,11.7690989,7.66703628367,8.761435816,13.1958974,8.6813768815,10.64411791,BRCA
