@relation thedata

@attribute 122011 real
@attribute 1452 real
@attribute 1453 real
@attribute 1454 real
@attribute 1455 real
@attribute 1456 real
@attribute 23291 real
@attribute 2619 real
@attribute 27148 real
@attribute 2735 real
@attribute 2736 real
@attribute 2737 real
@attribute 2932 real
@attribute 353500 real
@attribute 3549 real
@attribute 4036 real
@attribute 50846 real
@attribute 51384 real
@attribute 51684 real
@attribute 51715 real
@attribute 53944 real
@attribute 54361 real
@attribute 5566 real
@attribute 5567 real
@attribute 5568 real
@attribute 5613 real
@attribute 5727 real
@attribute 64399 real
@attribute 6469 real
@attribute 650 real
@attribute 652 real
@attribute 653 real
@attribute 654 real
@attribute 655 real
@attribute 656 real
@attribute 6608 real
@attribute 7471 real
@attribute 7472 real
@attribute 7473 real
@attribute 7474 real
@attribute 7475 real
@attribute 7476 real
@attribute 7477 real
@attribute 7478 real
@attribute 7479 real
@attribute 7480 real
@attribute 7481 real
@attribute 7482 real
@attribute 7483 real
@attribute 7484 real
@attribute 7546 real
@attribute 80326 real
@attribute 81029 real
@attribute 8643 real
@attribute 8945 real
@attribute 89780 real
@attribute DependentVariable {BRCA,Control}

@data
5.0125336045,8.30671666533,9.5726450965,9.99675948967,10.62072869,7.50367085767,7.85186237925,10.952072514,10.59236386,7.232999148,7.431374588,9.83034927,10.00381342,5.197719213,4.889243844,7.27123219,6.3034206,6.0174776375,5.422410676,7.43813652175,6.880654786,6.536989745,6.36946717,5.4829326402,5.48205062,8.2742311235,7.71697568,5.186551462,5.768456458,9.874758982,7.513696958,6.343235137,7.685013514,6.736879227,6.461565904,7.53572469,5.105815554,6.801873633,7.070982613,6.978971021,6.035630095,5.461406798,5.96163024,5.1257211795,4.195262102,5.568040657,8.050720878,6.293385,6.21830228,5.361953639,5.536217098,6.221109164,6.958304858,5.127232159,6.7640108625,5.019047182,Control
5.2303041935,7.80192216633,9.7658327395,10.121046267,11.00102128,7.165850501,7.7012832345,10.0328267645,11.01404508,7.277522502,7.931344923,10.72311933,10.79867858,4.73770262,4.682873814,8.270226548,6.001414528,6.386601371,5.874189107,6.890075917,7.01067791933,6.708673956,6.0929297895,5.5428379012,5.804719114,8.137035193,8.485226676,5.104157411,5.61353994,8.461460134,7.28736730967,6.13986403,7.106173262,6.483780011,6.94063991,8.178840509,5.044843524,6.015254046,7.58331058,8.003125914,6.017928169,5.488009811,6.5420415765,5.3490236965,4.107208013,5.853378958,6.954781196,6.3775425145,5.703911357,4.998208198,6.180660712,5.899424146,6.24364539,5.22439848,6.8141713125,5.629656239,BRCA
5.5514138815,8.00283101967,9.921162789,9.99088858467,11.18741411,7.33976138967,7.78868036775,9.609636669,11.34894542,7.091808574,7.247787805,10.70667324,10.42204403,4.806596392,5.062004299,8.435400577,5.788040457,6.2636479175,6.666405549,7.1272213065,6.996520645,6.94477391,5.9034588485,5.4641368762,5.527329405,9.1235010805,8.548167949,5.0795493445,6.18913825,7.020066336,6.67579258533,6.319135243,6.236545833,7.260169478,6.590104667,8.941760064,5.430127385,6.16058305,7.909009687,8.217486565,5.375570566,5.228252321,6.2859438955,5.597986393,4.596993252,5.14017664,5.371568663,5.94640926,5.403788568,5.832137623,5.447257868,6.289378595,7.481342095,5.042218873,6.8509701385,5.098043929,BRCA
5.538959144,7.198746738,9.766847145,10.1361144867,11.81310789,6.74438551467,7.4104157105,9.044455655,11.62609927,6.848156962,6.943573046,10.25669849,11.11828268,5.04506203,5.218404609,9.485839935,6.125832527,6.557150138,5.863140121,6.72340003525,6.79541218733,9.607256848,6.323322532,5.1156792046,5.655216748,9.2078924525,8.9807973,5.403702224,5.129088497,7.454260475,6.87085903867,6.20496783,6.797081494,7.957045617,6.225261069,8.976493329,4.65909244,6.340211188,8.31872483,6.034364988,6.848156962,4.97385375,6.3290375325,5.2926478335,5.357737827,5.931571523,6.583162235,6.525127691,5.884360575,5.259471408,5.606746643,6.480229268,7.099714536,5.391983545,6.6247603795,4.932877618,Control
4.6785973305,8.15957440267,9.519034593,10.062116718,10.50005538,7.234281227,7.7034571775,10.300951849,10.22215524,6.837442263,8.012179127,10.24783886,10.40311354,4.953045476,5.241660263,8.528904455,6.131965608,6.141871814,6.042212717,6.8658878895,7.15191527033,6.628559001,6.52394041,5.466218321,6.407145055,8.5157239865,7.782082724,5.0083331755,6.009890885,7.394079193,6.834550255,5.714253246,7.043467888,6.198401453,6.720624337,7.892711475,5.580832327,6.29655434,7.647208586,7.516174992,5.939585825,5.108327117,6.528179593,5.31991114,5.218210843,5.305251227,6.019930513,6.3892088105,5.65593226,4.665926218,5.902080364,6.502915818,6.7795235205,5.384232247,6.936615278,5.305251227,BRCA
5.362738248,9.10636748233,10.62802831,9.944659956,10.54782505,7.71806069567,7.82878580175,10.893453066,10.81089715,7.539955806,7.619194955,9.644000959,9.953578497,5.053014917,5.417777635,7.472835254,6.044290968,5.981941758,6.314610999,7.4469027695,7.069253909,6.314610999,5.9174340255,5.6759717936,5.625863148,8.0343196725,7.808161583,5.1215840525,6.26810275,8.045051277,6.66611098567,6.265901564,7.013074525,6.579810423,6.485028763,7.968884369,5.331285345,6.649547651,7.076257446,7.323192435,6.202961886,5.316879984,6.7096565605,5.522063219,4.985513237,4.851513263,7.179961635,6.322112195,6.147821182,4.963718308,5.899484569,6.149651232,6.7122212035,4.727392239,6.691972956,5.925887445,BRCA
5.190889659,8.10197230767,9.8079983875,10.2499751947,11.25727898,7.02485805267,7.5817404885,10.3849790865,12.10196099,7.900989228,9.683889902,10.87489706,12.02630394,5.464677455,4.927198693,8.596218763,6.583763983,6.181744451,5.69405225,7.45834473975,7.20423407833,10.10422562,6.330484187,5.5322651396,6.430289978,8.079817226,9.382883972,5.5491283855,6.101508918,7.310160874,7.068686977,6.146803484,6.107065996,8.391824767,7.859629707,9.00775693,5.246418775,8.60580462,8.658881899,5.887288406,6.268944869,5.560264997,6.005130752,5.255997126,5.388199225,5.614644516,6.156291057,7.6792712795,5.507803557,5.297201735,5.025927152,6.460337629,7.350022204,5.22439848,6.403455599,5.544509535,BRCA
5.490841048,8.555092425,10.017162089,9.48759794033,9.77458988,7.64079488867,7.91805861725,11.29890859,10.6577385,7.606499831,7.688427138,9.495266002,9.584981814,5.216465777,4.81315432,8.283761058,5.850631456,5.639734946,5.709505183,7.84489222625,6.71412478233,8.009312352,5.9718598575,5.3094441946,5.233822166,8.116304847,6.919939268,5.06995083,6.082846929,9.143294637,7.67043700767,5.982771878,7.367853991,7.211745052,5.455829609,8.200139826,4.835559392,7.44476877,7.059834177,7.743893804,5.682019293,6.007201809,5.6952999385,5.5709618885,5.154424477,6.028906829,7.075909955,6.0879494895,5.920180882,4.636656248,5.814365364,5.917199751,6.8666681815,5.833339995,6.8512917035,5.431465218,Control
5.285888403,8.41138566833,10.1947464435,10.1070979907,10.8409276,7.38249050533,7.159765952,10.1176173795,11.00102128,7.120059311,7.229254138,9.445501764,9.460251675,5.151586144,5.02526278,9.108133102,5.563776856,6.289543783,6.11956952,7.2972966055,7.154714833,8.103682692,6.3825279205,5.291675395,5.844493149,9.095386554,7.892544524,5.1077719705,6.40165233,7.508510113,7.07698836933,6.112810233,6.682998532,6.987125066,6.608591658,8.523063126,5.524354632,6.476183696,7.258003273,7.196481948,6.479825221,4.778749175,5.4468612975,5.548760095,5.250403832,5.508596024,5.998653184,6.2086577505,5.735529792,5.338434442,5.511603435,6.150616157,7.1606421125,5.346612346,6.6180162235,5.706952669,BRCA
5.163048975,8.086490535,9.633999665,10.0974339573,10.35359929,6.68535097467,7.71503952475,9.5963010895,11.2167627,7.207456398,7.346604868,10.83762027,11.10846093,5.380427513,4.643307374,8.868152066,5.101199635,6.151935758,5.946971318,6.81864508725,7.03701752567,6.325445444,6.3457281585,5.3589494338,5.913135501,8.399665163,8.144506733,5.37280218,5.495064524,7.890965121,7.39845840867,6.110306469,6.659179352,6.560107813,6.911335432,8.371037278,5.488652576,5.622938584,8.23715154,8.057817296,6.347936335,5.2209212,5.9866957335,5.3123810235,4.240367614,5.703911357,6.805747499,6.512368537,5.714253246,5.118745153,5.039150733,5.651490354,6.801250569,6.018484655,6.6715821615,5.495064524,BRCA
5.3941380875,7.625895131,9.698028099,9.68199218,10.88857795,6.831874575,7.33887043175,10.460287611,10.94796217,7.88859277,7.383922678,9.107570921,9.583290187,5.119160314,5.079816751,7.240841706,5.954668163,6.2087691455,6.283556631,7.32024956225,6.780212508,6.816347305,6.5859397695,5.0578073466,6.287994543,8.521216589,7.57716656,5.258407859,5.507882823,8.088683742,7.17009913333,6.273707613,7.037604949,6.735729052,6.77998563,9.140606848,4.502465777,7.378774139,6.746249355,6.600809135,6.568682467,5.39078052,5.876340674,5.474794685,4.842238769,6.484948231,7.192591495,6.529762925,6.034309958,5.03343539,7.74183962,6.13976173,6.8632386525,6.459190295,6.3808690505,5.830490646,BRCA
