@relation thedata

@attribute 1543 real
@attribute 1544 real
@attribute 1548 real
@attribute 1551 real
@attribute 1553 real
@attribute 1555 real
@attribute 1557 real
@attribute 1558 real
@attribute 1559 real
@attribute 1562 real
@attribute 1565 real
@attribute 1571 real
@attribute 1572 real
@attribute 1576 real
@attribute 1577 real
@attribute DependentVariable {BRCA,Control}

@data
5.821079567,5.147928634,5.667190506,5.264922245,5.0553050655,4.8997521625,5.011016147,6.137611747,5.45451419,5.831251023,6.1045471795,6.68951277,5.316843255,5.081735071,6.026142315,Control
8.886611969,4.98710623,5.039150733,5.501288856,5.1448679035,5.2804050785,4.771900633,5.899424146,5.214524337,4.888269882,6.036831682,8.113873832,5.465835985,5.119990277,6.015254046,BRCA
4.844123557,4.747402994,5.033215116,5.245658467,5.6510240955,5.2980693585,4.525994391,5.960124324,5.112503363,5.135874705,6.521229341,7.258945501,5.430688356,4.806596392,5.190428437,BRCA
7.345363384,5.677798027,5.229406468,5.402254249,5.6412953675,5.437870183,4.92244912,5.633294061,5.144669712,5.460424154,6.0570922065,7.334946144,5.181175634,5.584068992,5.203995173,Control
6.454345052,4.841735742,5.130324729,5.588723066,5.841531388,5.543792467,5.200272115,6.060539901,5.494584616,4.714811949,6.1063090835,6.64810992,5.0931555565,5.197326058,5.567432314,BRCA
5.743764871,5.040904755,5.234397132,5.028139516,5.4400429355,5.113218362,5.861342069,5.679488016,4.519748404,5.377480603,5.9247114275,7.022259953,5.1821067405,5.342529189,6.100931012,BRCA
5.981059894,4.981180512,4.948613986,5.072332275,5.3621893625,4.864967766,4.904497645,6.488889022,5.219373048,4.342031665,5.923097401,8.564912682,4.5491187455,4.649642211,5.646674804,BRCA
5.859479655,5.273526379,5.273526379,4.846005888,5.520568082,5.1632701255,6.007201809,6.190817922,4.607083101,5.506693372,5.410974137,7.459003511,5.0378674725,5.364932404,5.517599514,Control
5.167931151,5.241850906,5.391468086,5.686368332,5.724689425,5.0189983305,5.287261033,6.337091664,5.352274105,4.948613986,5.897486223,6.695997726,4.965573006,5.835425946,6.274732813,BRCA
5.856743757,5.542111953,6.009890885,5.787909903,5.267633249,5.511947247,5.246228736,6.152087694,5.32446073,5.408721412,5.867366683,7.517947124,5.058433046,4.854508448,5.970169897,BRCA
8.159670966,4.547045185,4.990967619,4.990967619,5.277469767,5.4108585,5.224977213,5.967866753,4.541969328,5.404469963,5.80432452,6.949129628,5.434572367,5.083225336,6.427778475,BRCA
5.535906174,5.255511354,5.328415757,5.432467779,5.087437039,5.254808295,5.555211263,5.955133321,4.124871089,5.321036278,5.826151982,7.158612528,5.0326773865,4.32324994,5.532793245,Control
5.702942321,5.249645622,5.6098519,5.968097233,5.5021896915,5.295894453,4.642152489,6.252481536,4.542585892,5.100463921,5.7394451015,7.435526765,5.2168619935,5.346257748,5.939585825,Control
6.167423791,5.109999067,5.580003175,5.831124321,5.40722417,5.0142821485,5.354567863,7.119696279,4.081589455,5.481404906,6.238366589,7.982196629,5.3721938995,5.172738766,5.652064272,BRCA
5.718232318,4.619453945,4.981066318,5.537460123,5.6716993555,5.083882626,5.472171943,7.055936178,4.911105817,5.307438771,5.5730734195,8.248557517,4.9614504165,4.981066318,5.297201735,BRCA
5.401571806,4.134646682,5.43205013,5.829222461,5.3663148385,5.1433287845,5.06588596,6.735729052,5.258529523,5.097833303,5.8043075705,7.924457909,4.754818018,4.816870089,4.816870089,BRCA
5.357737827,5.176533465,5.233246971,5.249456007,5.5671360405,4.7014211325,5.10518698,7.053766063,5.31868854,4.949548063,6.1013077275,7.879431812,5.1694771565,5.666764579,5.603041174,BRCA
5.897368259,4.931459981,5.442621133,5.666480557,5.401148199,4.950476999,5.297385178,6.909896458,5.08524538,5.682019293,6.0513102565,7.718586173,4.894650869,5.391639926,5.50716927,BRCA
5.737829543,4.878003385,4.833536883,5.402254249,5.2443677925,4.8352454725,5.290582217,6.716857607,5.196441066,4.944168843,5.9497075315,7.413672616,5.3239278925,5.499376536,5.597539553,BRCA
6.130936659,5.113545539,4.941119518,4.953976689,5.51746625,4.8152796915,4.586234078,5.233438728,5.388199225,5.587673458,6.1499235805,8.392683551,4.9659954515,5.377654117,5.088959125,BRCA
