@relation thedata

@attribute 10203 real
@attribute 10266 real
@attribute 10267 real
@attribute 10268 real
@attribute 10681 real
@attribute 11211 real
@attribute 113091 real
@attribute 116 real
@attribute 117 real
@attribute 133 real
@attribute 1392 real
@attribute 1394 real
@attribute 1395 real
@attribute 2535 real
@attribute 2641 real
@attribute 2642 real
@attribute 2691 real
@attribute 2692 real
@attribute 2695 real
@attribute 2696 real
@attribute 2740 real
@attribute 2778 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 3375 real
@attribute 3549 real
@attribute 50846 real
@attribute 51384 real
@attribute 51764 real
@attribute 54331 real
@attribute 54361 real
@attribute 55970 real
@attribute 5727 real
@attribute 5741 real
@attribute 5744 real
@attribute 5745 real
@attribute 5746 real
@attribute 59345 real
@attribute 6343 real
@attribute 6344 real
@attribute 6469 real
@attribute 6608 real
@attribute 7432 real
@attribute 7433 real
@attribute 7434 real
@attribute 7471 real
@attribute 7472 real
@attribute 7473 real
@attribute 7474 real
@attribute 7475 real
@attribute 7476 real
@attribute 7477 real
@attribute 7478 real
@attribute 7479 real
@attribute 7480 real
@attribute 7481 real
@attribute 7482 real
@attribute 7483 real
@attribute 7484 real
@attribute 7855 real
@attribute 796 real
@attribute 797 real
@attribute 7976 real
@attribute 799 real
@attribute 79924 real
@attribute 80326 real
@attribute 8321 real
@attribute 8322 real
@attribute 8323 real
@attribute 8324 real
@attribute 8325 real
@attribute 8326 real
@attribute 8643 real
@attribute 89780 real
@attribute 9340 real
@attribute 94235 real
@attribute DependentVariable {BRCA,Control}

@data
8.742226161,8.925557862,6.2950853,10.083847385,6.888464479,6.106961344,5.386389566,6.732544377,5.023267828,13.85986526,6.312388929,6.2726735215,4.958159726,8.156868221,5.006535067,5.023267828,5.276321016,4.86535052567,5.629364816,5.539477758,5.651059765,8.533866741,13.02719506,8.698011038,5.893611729,5.692518737,5.516024013,8.440434347,8.735353884,9.885094283,12.98372673,5.028139516,6.38362276,5.492342928,4.889243844,6.3034206,6.0174776375,5.232287804,9.177283189,6.536989745,10.1038422,7.71697568,4.9682478005,8.788718287,9.900180431,8.593784309,7.4230773135,5.836309985,6.089906589,5.768456458,7.53572469,6.929158006,10.44381412,7.190568257,5.105815554,6.801873633,7.070982613,6.978971021,6.035630095,5.461406798,5.96163024,5.1257211795,4.195262102,5.568040657,8.050720878,6.293385,6.21830228,5.361953639,7.552824933,5.72117192133,5.291135005,8.286605263,6.502239591,7.699071153,6.221109164,8.4127934705,12.92825655,6.628121512,9.781251189,8.129954133,7.522230622,5.127232159,5.019047182,4.75276401,5.641987591,Control
8.130108627,8.6325233155,5.718917257,9.4417166025,7.24025073833,6.301135476,5.633294061,5.99820185,4.632736581,12.78963253,5.97717186,6.469974421,4.157634474,9.139008401,5.663779561,6.593544722,4.584732512,5.55012419033,5.301232095,5.157863534,5.394043544,8.84345400733,13.00956452,8.720142595,6.113748025,5.195063332,5.853378958,8.487841164,9.217703977,8.481901451,12.07225833,5.682862067,6.120295558,5.263796174,4.682873814,6.001414528,6.386601371,5.31868854,7.381134364,6.708673956,9.681370693,8.485226676,5.1257663835,7.525499921,8.951110652,8.863614158,8.3643319965,5.726293954,5.932044187,5.61353994,8.178840509,6.5731092635,10.90932705,6.750074255,5.044843524,6.015254046,7.58331058,8.003125914,6.017928169,5.488009811,6.5420415765,5.3490236965,4.107208013,5.853378958,6.954781196,6.3775425145,5.703911357,4.998208198,6.443942775,5.14634821233,5.171138007,10.23351816,5.808134829,7.321479719,5.899424146,7.970974812,11.95883643,6.469157955,9.9445751115,8.674016666,7.524935635,5.22439848,5.629656239,4.881923051,5.277995204,BRCA
6.69676284,7.742845697,5.883261105,7.9017104695,6.84021840933,6.174432011,5.30807618,6.640176686,5.418452458,10.42417183,5.79507289,6.4758247385,4.532217038,8.941760064,5.862458365,4.774274953,5.48205062,4.68426129367,5.336114869,5.224205518,5.539167536,9.29076107,12.9979954,8.686203838,6.074361597,5.30807618,5.92077637,8.83146649,10.16381668,8.913937397,10.57663577,4.963487128,6.323194968,6.667754223,5.062004299,5.788040457,6.2636479175,5.206732344,6.36768175,6.94477391,9.362086899,8.548167949,4.8225809915,7.897931486,7.791685689,7.068969348,7.196995946,5.929560972,5.838328613,6.18913825,8.941760064,5.9170928285,11.19856953,6.281193427,5.430127385,6.16058305,7.909009687,8.217486565,5.375570566,5.228252321,6.2859438955,5.597986393,4.596993252,5.14017664,5.371568663,5.94640926,5.403788568,5.832137623,5.784511344,5.35110594467,5.672716149,9.746254447,5.383800396,7.863289793,6.289378595,8.9020220415,10.66919979,6.461893267,10.3791014185,9.326666054,7.582708643,5.042218873,5.098043929,4.364995254,5.72110688,BRCA
5.776111392,8.502443557,5.985392981,9.0655112035,6.610917172,6.848156962,6.212477538,6.183293584,4.608266403,11.47762688,5.480516577,6.8753822375,4.615634874,8.857282118,5.646026713,5.28559757,4.707928514,4.99576198533,5.341462114,5.446761787,5.03343539,8.629147321,13.11510467,9.066695429,5.455665247,5.693773551,5.504788206,8.646667718,10.21758854,6.563810693,9.832676886,5.29683478,6.198794315,5.549369797,5.218404609,6.125832527,6.557150138,4.790526167,4.851263383,9.607256848,7.986995525,8.9807973,5.4807129795,10.60241829,9.329135442,7.723082599,6.7231615275,5.967866753,6.209020126,5.129088497,8.976493329,5.7632563765,11.2641671,6.569935808,4.65909244,6.340211188,8.31872483,6.034364988,6.848156962,4.97385375,6.3290375325,5.2926478335,5.357737827,5.931571523,6.583162235,6.525127691,5.884360575,5.259471408,5.994246645,5.51017349,6.225261069,9.135068667,5.123512303,8.390288414,6.480229268,8.301028863,11.24400418,5.651059765,10.4243668365,9.130687109,8.287101846,5.391983545,4.932877618,5.264171629,5.842043069,Control
8.058155641,8.4627555425,5.835046906,8.296105902,6.84786461333,5.971837379,5.228252321,6.447005198,5.412113573,12.06768485,6.963477375,6.6465269855,4.550123556,8.899010276,5.421401099,5.213747029,5.55659131,4.77573736233,5.305251227,5.315340927,5.218210843,9.35589447533,12.87743566,8.97289446,5.954086504,5.349976695,5.228252321,9.506942805,9.669660678,9.337042659,11.68740205,5.536217098,6.63172683,6.252197663,5.241660263,6.131965608,6.141871814,4.850263431,7.573687183,6.628559001,9.546605663,7.782082724,5.434860365,9.7934389245,8.247323644,7.684435024,9.010303599,5.170937787,5.856743757,6.009890885,7.892711475,5.540574562,10.97395222,6.100668251,5.580832327,6.29655434,7.647208586,7.516174992,5.939585825,5.108327117,6.528179593,5.31991114,5.218210843,5.305251227,6.019930513,6.3892088105,5.65593226,4.665926218,6.805650779,5.52152172833,6.117700885,9.68543261,5.435804628,8.12528576,6.502915818,8.160096299,11.24903656,7.072805548,10.218524836,9.079885486,7.458244852,5.384232247,5.305251227,5.361953639,5.615159695,BRCA
8.429543916,7.5522545465,6.246603446,8.7132275515,6.695170111,6.004058206,5.048989481,6.582334422,5.405661632,12.29328779,5.730647597,6.860768317,4.277714943,8.597597398,5.614718124,6.161087152,4.82223464,5.15349024433,4.357563839,5.206341637,5.357033992,9.078168623,12.98372673,8.838889641,6.143337929,6.086619917,5.268482349,8.217135121,9.433805075,9.258413586,11.15310882,5.717272857,6.186714102,5.727111263,5.417777635,6.044290968,5.981941758,5.178725843,8.547261958,6.314610999,11.06412655,7.808161583,4.4193713495,9.6944623525,7.919550328,7.466690585,7.9243325035,5.840847932,5.840847932,6.26810275,7.968884369,5.9152111805,10.58888352,6.080237268,5.331285345,6.649547651,7.076257446,7.323192435,6.202961886,5.316879984,6.7096565605,5.522063219,4.985513237,4.851513263,7.179961635,6.322112195,6.147821182,4.963718308,6.2694125,5.59871499867,5.891547537,9.687454914,6.177524808,7.454322173,6.149651232,8.8413044935,11.81385744,7.764773957,10.2149243505,8.003378941,8.27508986,4.727392239,5.925887445,4.895316255,5.093825554,BRCA
7.275475337,8.592360747,8.582331246,7.759543745,7.252915346,5.328236218,9.775339133,6.009555025,5.895672973,11.22396264,5.996847001,7.0372553135,4.224335417,10.67558245,5.319230665,5.129706745,4.688758955,5.56439935567,5.242422681,5.575925867,5.544509535,8.46320594233,12.64120964,7.985772397,5.821334729,5.86196234,5.66903474,8.678425073,9.675551824,6.875906358,10.10831572,5.442621133,7.026996771,5.062651968,4.927198693,6.583763983,6.181744451,4.959319531,6.049582442,10.10422562,9.132211242,9.382883972,4.808218898,12.05566756,9.904710301,8.041126769,8.7523926965,5.757564188,5.520352508,6.101508918,9.00775693,5.076891434,11.2211885,8.260379892,5.246418775,8.60580462,8.658881899,5.887288406,6.268944869,5.560264997,6.005130752,5.255997126,5.388199225,5.614644516,6.156291057,7.6792712795,5.507803557,5.297201735,5.910919251,5.36635519667,5.328236218,9.356848698,5.259377247,8.574301293,6.460337629,7.9387998355,9.729417293,6.085982922,10.7153715,9.196074082,7.542028015,5.22439848,5.544509535,4.765549899,5.486079796,BRCA
8.299953361,8.940444787,6.776831487,8.662827402,6.439102376,6.001358226,5.202820508,7.17689899,4.923875634,12.82636383,6.764676316,6.823676148,5.042218873,8.944537203,5.632130956,5.431465218,4.846005888,4.96261588333,5.368952732,4.559000855,5.796890531,8.875123686,12.98945487,8.510330132,6.338875075,5.380600673,5.967463325,9.414337005,8.751335778,10.49178825,12.76004735,5.865554662,6.403016818,6.026363672,4.81315432,5.850631456,5.639734946,5.229406468,8.11035427,8.009312352,10.18190731,6.919939268,4.9778266905,10.379087075,9.284477768,9.417926928,7.0132000305,5.256643908,6.409989636,6.082846929,8.200139826,5.85198214,11.0280651,6.326973765,4.835559392,7.44476877,7.059834177,7.743893804,5.682019293,6.007201809,5.6952999385,5.5709618885,5.154424477,6.028906829,7.075909955,6.0879494895,5.920180882,4.636656248,5.78751817,5.52759608267,5.585722157,8.882827291,5.748602952,7.984462786,5.917199751,9.4795098715,11.56819616,6.861958852,10.168160634,8.942852506,7.021149678,5.833339995,5.431465218,5.052688948,5.42266296,Control
7.437109373,7.852648975,6.354959533,9.0856134675,6.907508702,6.167925508,5.329851264,6.496818333,4.991194438,10.61443405,6.66163961,6.521811759,5.215495384,8.612961657,5.894703343,5.484791683,5.354744155,5.53576535167,4.889243844,4.958159726,5.469406774,9.29028807333,12.96993872,9.04011237,6.092128797,5.789736585,5.496742949,8.843419494,9.919504381,9.495266002,11.3442156,5.659076304,5.886008211,6.044345618,5.02526278,5.563776856,6.289543783,5.411944154,6.738839176,8.103682692,9.085353696,7.892544524,4.964014359,11.191888465,7.940975873,7.182992972,7.2793614545,5.901054678,5.922323489,6.40165233,8.523063126,5.878580744,10.95483991,5.635327242,5.524354632,6.476183696,7.258003273,7.196481948,6.479825221,4.778749175,5.4468612975,5.548760095,5.250403832,5.508596024,5.998653184,6.2086577505,5.735529792,5.338434442,6.388711011,5.35697918767,5.615748247,8.876978171,6.1022441,8.027271741,6.150616157,9.2720875485,10.63456176,7.375346026,10.3979483055,8.239957816,8.065471505,5.346612346,5.706952669,4.809043025,5.104977394,BRCA
7.078740911,8.3733873235,6.859786731,9.3125107395,6.995387545,6.002821343,5.279296008,6.040295886,5.300134022,12.54945867,6.456564386,6.861965543,4.113464519,8.780097726,5.308713308,5.238033268,5.303973626,5.25756880567,4.883390185,5.127025752,5.163308771,8.55731348,13.02126635,8.934008606,6.563963185,6.135253322,5.619861398,8.872952717,9.681765982,8.717951507,11.6604752,4.958159726,6.083910741,5.784773056,4.643307374,5.101199635,6.151935758,4.607083101,7.211063618,6.325445444,8.350852048,8.144506733,5.0405371825,9.1589297235,9.07033641,8.42512265,7.9356885615,5.422747045,6.169980729,5.495064524,8.371037278,5.5959234515,11.13223641,6.187011156,5.488652576,5.622938584,8.23715154,8.057817296,6.347936335,5.2209212,5.9866957335,5.3123810235,4.240367614,5.703911357,6.805747499,6.512368537,5.714253246,5.118745153,6.835675032,5.413186665,5.897973236,9.416323125,5.641120592,7.804520085,5.651490354,8.0537247955,12.22921997,6.663490948,9.8941227365,9.20272449,6.456564386,6.018484655,5.495064524,5.109790179,5.034976365,BRCA
