	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
MajorityVoteEnsemblePredictor	0.5986622073578596	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.37314388120839725	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	80.51432641846806	0.5558739510600266	115.71587439403625	23	13	0.0
MaxProbabilityEnsemblePredictor	0.6822742474916388	0.6944444444444444	0.36111111111111116	0.05555555555555558	NA	0.3055555555555556	0.18852459016393439	0.32205647646445923	2.0	2.0	0.0	34.0	23.0	11.0	13.0	2.0	11.0	23.0	23.0	0.0	0.05555555555555555	1.0	0.0	0.9444444444444444	0.6764705882352942	0.3235294117647059	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	1.0	0.0	69.49105044217355	0.5123458021002933	106.65465141709291	25	11	0.15384615384615374
MeanProbabilityEnsemblePredictor	0.6254180602006689	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44694981413926826	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.43964443888312	0.4747336928580155	98.82496610718673	23	13	0.0
SelectBestEnsemblePredictor	0.4983277591973244	0.5555555555555556	0.36111111111111116	-0.08333333333333326	NA	0.4444444444444444	-0.03225806451612891	0.43783728759028545	9.0	3.0	6.0	27.0	17.0	10.0	13.0	3.0	10.0	23.0	17.0	6.0	0.25	0.3333333333333333	0.6666666666666666	0.75	0.6296296296296297	0.37037037037037035	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.7391304347826086	0.2608695652173913	94.47340842642123	0.5530269835345212	115.12322324361436	20	16	-0.030100334448160515
SimpleWeightedMeanProbabilityEnsemblePredictor	0.6321070234113713	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44712330653858956	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.4770793919228	0.4751356558835399	98.90864245662519	23	13	0.0
SimpleWeightedVoteEnsemblePredictor	0.5334448160535117	0.3611111111111111	0.36111111111111116	-0.27777777777777773	NA	0.6388888888888888	0.0	0.510005343242351	36.0	13.0	23.0	0.0	0.0	0.0	13.0	13.0	0.0	23.0	0.0	23.0	1.0	0.3611111111111111	0.6388888888888888	0.0	NaN	NaN	0.3611111111111111	1.0	0.0	0.6388888888888888	0.0	1.0	110.04531696459563	0.5120297674196986	106.5888627084583	13	23	0.0
StackedEnsemblePredictor_weka_svm_rbf_Classes	0.5551839464882943	0.5833333333333334	0.36111111111111116	-0.05555555555555547	NA	0.41666666666666663	0.014598540145985467	0.4561111111111111	8.0	3.0	5.0	28.0	18.0	10.0	13.0	3.0	10.0	23.0	18.0	5.0	0.2222222222222222	0.375	0.625	0.7777777777777778	0.6428571428571429	0.35714285714285715	0.3611111111111111	0.23076923076923078	0.7692307692307693	0.6388888888888888	0.782608695652174	0.21739130434782608	98.41640378548895	0.4874272025418543	101.46736474701068	21	15	0.013377926421404673
StackedEnsemblePredictor_weka_svm_rbf_Probabilities	0.560200668896321	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.07874015748031475	0.44755555555555543	4.0	2.0	2.0	32.0	21.0	11.0	13.0	2.0	11.0	23.0	21.0	2.0	0.1111111111111111	0.5	0.5	0.8888888888888888	0.65625	0.34375	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.9130434782608695	0.08695652173913043	96.57034700315457	0.48169913385385654	100.27495687188579	23	13	0.06688963210702337
utahontario1_BIOCARTA_41BB_PATHWAY_weka_svm_weights_r_svm_rbf	0.47491638795986624	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.45322955844700374	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.79464289518945	0.4850848290848592	100.97975457528615	23	13	0.0
utahontario1_BIOCARTA_41BB_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.3870286576168929	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.44220972085839966	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	102.29619009019308	0.47486135333120727	102.26758825460973	85	39	0.0
utahontario1_BIOCARTA_ACE2_PATHWAY_weka_svm_weights_r_svm_rbf	0.3210702341137124	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4556699342541886	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	98.32120978860097	0.48845220421659424	101.68073859700257	23	13	0.0
utahontario1_BIOCARTA_ACE2_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5601809954751131	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.018668831168830863	0.42618220729685613	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	98.58855206997458	0.4617814695464534	99.45066462009282	84	40	-0.0117647058823529
utahontario1_BIOCARTA_ACH_PATHWAY_weka_svm_weights_r_svm_rbf	0.6387959866220736	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.06299212598425197	0.43695078296622797	3.0	1.0	2.0	33.0	21.0	12.0	13.0	1.0	12.0	23.0	21.0	2.0	0.08333333333333333	0.3333333333333333	0.6666666666666666	0.9166666666666666	0.6363636363636364	0.36363636363636365	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9130434782608695	0.08695652173913043	94.2821247788328	0.47161729477168185	98.1762277937034	22	14	-0.010033444816053505
utahontario1_BIOCARTA_ACH_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6609351432880844	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.11712353150587383	0.4069975383729642	12.0	6.0	6.0	112.0	79.0	33.0	39.0	6.0	33.0	85.0	79.0	6.0	0.0967741935483871	0.5	0.5	0.9032258064516129	0.7053571428571429	0.29464285714285715	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9294117647058824	0.07058823529411765	94.15057061799224	0.45123203620122593	97.17870650410633	85	39	0.08325791855203635
utahontario1_BIOCARTA_ACTINY_PATHWAY_weka_svm_weights_r_svm_rbf	0.451505016722408	0.5277777777777778	0.36111111111111116	-0.11111111111111105	NA	0.4722222222222222	-0.1612903225806451	0.48021986717551485	8.0	2.0	6.0	28.0	17.0	11.0	13.0	2.0	11.0	23.0	17.0	6.0	0.2222222222222222	0.25	0.75	0.7777777777777778	0.6071428571428571	0.39285714285714285	0.3611111111111111	0.15384615384615385	0.8461538461538461	0.6388888888888888	0.7391304347826086	0.2608695652173913	103.61841928960636	0.5423642437640116	112.9035684934184	19	17	-0.1070234113712375
