# Order in which each feature was ranked by the feature-selection algorithm. When cross-validation was used, the values represent average ranks across the folds. Note that these values are calculated on the assumption that all features received a rank, whereas some feature-selection algorithms do not assign ranks to all.
Feature	Rank
71	1.5
7454	2.1666666666666665
81027	4.722222222222222
51807	4.833333333333333
3688	5.0
10093	6.388888888888889
999	9.0
7430	9.944444444444445
10552	10.38888888888889
10092	13.5
4690	13.555555555555555
4691	13.61111111111111
998	13.61111111111111
1499	15.055555555555555
84790	18.833333333333332
3059	19.5
84617	20.166666666666668
60	20.27777777777778
387	20.555555555555557
8440	22.055555555555557
2534	22.333333333333332
7846	22.88888888888889
9475	24.88888888888889
25	25.0
5578	25.27777777777778
7277	26.055555555555557
10095	26.88888888888889
23643	27.11111111111111
929	27.38888888888889
79861	30.0
2017	30.0
10376	30.444444444444443
10109	31.833333333333332
10971	32.333333333333336
9076	32.833333333333336
347733	34.72222222222222
8976	35.0
10382	35.166666666666664
6093	35.5
7099	36.166666666666664
81873	36.888888888888886
10094	39.27777777777778
7280	39.388888888888886
9181	40.94444444444444
7100	42.0
